target_id,target_symbol,target_name,prio_geneticConstraint,prio_hasHighQualityChemicalProbes,prio_hasLigand,prio_hasPocket,prio_hasSafetyEvent,prio_hasSmallMoleculeBinder,prio_isInMembrane,prio_isSecreted,prio_maxClinicalStage,prio_mouseKOScore,prio_mouseOrthologMaxIdentityPercentage,prio_paralogMaxIdentityPercentage,prio_tissueDistribution,prio_tissueSpecificity,prio_geneEssentiality,prio_isCancerDriverGene,prio_hasTEP
ENSG00000187486,KCNJ11,potassium inwardly rectifying channel subfamily J member 11,0.1905129619415333,1.0,1.0,0.0,255.0,1.0,0.0,0.0,1.0,-0.8256221153453464,0.7948700000000002,-0.23718,0.0,0.5,0.0,,
ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8,-0.2401544401544402,1.0,1.0,0.0,255.0,1.0,0.0,0.0,1.0,-0.2635707820230229,0.7722949999999997,-0.1967099999999998,0.0,0.75,0.0,,
ENSG00000106633,GCK,glucokinase,-0.177826806398235,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,-0.922305020944208,0.7957000000000001,0.0,0.0,0.5,0.0,,
ENSG00000132170,PPARG,peroxisome proliferator activated receptor gamma,-0.5346938775510204,1.0,1.0,1.0,255.0,1.0,0.0,0.0,1.0,-0.9812084574342594,0.9157899999999998,0.0,0.0,0.5,0.0,255.0,
ENSG00000171105,INSR,insulin receptor,-0.6252619966905681,1.0,1.0,1.0,255.0,1.0,1.0,0.0,1.0,-0.9211979829372364,0.7250349999999998,0.0,-1.0,-1.0,0.0,,
ENSG00000275410,HNF1B,HNF1 homeobox B,-0.9318257032542748,,0.0,0.0,,0.0,0.0,0.0,,-0.681454758943373,0.5870750000000001,0.0,0.0,0.5,0.0,,
ENSG00000135100,HNF1A,HNF1 homeobox A,-0.7123000551571981,,0.0,0.0,,0.0,0.0,0.0,,-0.9497585121248404,0.7305849999999999,0.0,0.5,0.75,0.0,255.0,
ENSG00000101076,HNF4A,hepatocyte nuclear factor 4 alpha,-0.7523441809156095,,1.0,0.0,255.0,1.0,0.0,0.0,1.0,-0.8975101676580024,0.6570799999999999,-0.2035399999999999,0.5,0.75,0.0,,
ENSG00000109501,WFS1,wolframin ER transmembrane glycoprotein,0.7615002757859901,,0.0,0.0,,0.0,0.0,0.0,,-0.7407455288547526,0.3426949999999998,,0.0,-1.0,0.0,,
ENSG00000112164,GLP1R,glucagon like peptide 1 receptor,-0.6955322669608384,,1.0,0.0,255.0,1.0,1.0,0.0,1.0,-0.271069112694145,0.60043,0.0,0.5,0.5,0.0,,
ENSG00000163581,SLC2A2,solute carrier family 2 member 2,-0.1907335907335907,,1.0,0.0,,1.0,1.0,0.0,,-0.7806290245255942,0.0935099999999998,0.0,0.5,1.0,0.0,,
ENSG00000105221,AKT2,AKT serine/threonine kinase 2,-0.7965802537231108,1.0,1.0,1.0,255.0,1.0,0.0,0.0,1.0,-0.7157962501206744,0.906445,-0.5322250000000001,-1.0,-1.0,0.0,255.0,
ENSG00000115159,GPD2,glycerol-3-phosphate dehydrogenase 2,-0.2942084942084941,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7888429076592104,0.6630000000000003,,-1.0,-1.0,0.0,,
ENSG00000164756,SLC30A8,solute carrier family 30 member 8,-0.0819635962493104,,0.0,0.0,,0.0,1.0,0.0,,-0.2849917124074505,0.0243899999999996,0.0,0.5,1.0,0.0,,
ENSG00000148737,TCF7L2,transcription factor 7 like 2,-0.7158301158301159,,1.0,0.0,255.0,1.0,0.0,0.0,,-0.8841823322477599,0.7334400000000002,0.0,-1.0,-1.0,0.0,255.0,
ENSG00000106331,PAX4,paired box 4,0.1589630446773304,,0.0,0.0,,0.0,0.0,0.0,,-0.7208680696754449,0.0,0.0,,,0.0,,
ENSG00000164258,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,0.6965250965250964,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.9211005013496032,0.4,0.0,-1.0,-1.0,0.0,,
ENSG00000010310,GIPR,gastric inhibitory polypeptide receptor,0.7607280750137893,,1.0,0.0,255.0,1.0,0.0,0.0,1.0,-0.1918770117413384,0.0,0.0,0.0,0.5,0.0,,
ENSG00000162992,NEUROD1,neuronal differentiation 1,-0.4519580805295091,,0.0,0.0,,0.0,0.0,0.0,,-0.8743903670838238,0.8876399999999997,0.0,0.5,0.75,0.0,,
ENSG00000198888,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,,,0.0,0.0,255.0,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,,,
ENSG00000197594,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,-0.3964699393270822,,1.0,0.0,,1.0,1.0,1.0,,-0.9712997410684234,0.0,0.0,0.0,0.5,0.0,,
