rank_by_score,disease_id,evidence_mode,target_id,target_symbol,target_name,association_score,ds_clinical_precedence,ds_gwas_credible_sets,ds_eva,ds_genomics_england,ds_eva_somatic,ds_europepmc,prio_geneticConstraint,prio_hasHighQualityChemicalProbes,prio_hasLigand,prio_hasPocket,prio_hasSafetyEvent,prio_hasSmallMoleculeBinder,prio_isInMembrane,prio_isSecreted,prio_maxClinicalStage,prio_mouseKOScore,prio_mouseOrthologMaxIdentityPercentage,prio_paralogMaxIdentityPercentage,prio_tissueDistribution,prio_tissueSpecificity,prio_geneEssentiality,ds_impc,ds_gene_burden,ds_uniprot_variants,ds_uniprot_literature,prio_isCancerDriverGene,ds_expression_atlas,prio_hasTEP
1,MONDO_0005148,direct_only,ENSG00000187486,KCNJ11,potassium inwardly rectifying channel subfamily J member 11,0.8651421397012851,0.9984995303029797,0.9409313915418738,0.9145725163362355,0.865457038266544,0.7133145042531812,0.921228327080409,0.19051296194153333,1,1,0,255,1,0,0,1,-0.8256221153453464,0.7948700000000002,-0.23718000000000003,0,0.5,0,,,,,,,
2,MONDO_0005148,direct_only,ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8,0.8648497626926691,0.9984995303029797,0.9081901825779761,0.9406759222557879,0.9066612367713315,0.6189714963749121,0.7451875913653228,-0.2401544401544402,1,1,0,255,1,0,0,1,-0.2635707820230229,0.7722949999999997,-0.19670999999999986,0,0.75,0,0.6047921859992851,,,,,,
3,MONDO_0005148,direct_only,ENSG00000106633,GCK,glucokinase,0.8612340179356642,0.6097469493464107,0.7369579153899929,0.9033637394077025,0.865457038266544,,0.9141134251509129,-0.177826806398235,1,1,1,,1,0,0,1,-0.922305020944208,0.7957000000000001,0,0,0.5,0,0.7407161861763361,0.9902327367751212,0.607930797611621,0.607930797611621,,,
4,MONDO_0005148,direct_only,ENSG00000132170,PPARG,peroxisome proliferator activated receptor gamma,0.8486094742593474,0.9970828321891484,0.8842978611619482,0.8475039768737684,0.9190679877429972,,0.9019771606788647,-0.5346938775510204,1,1,1,255,1,0,0,1,-0.9812084574342594,0.9157899999999998,0,0,0.5,0,0.5736654536829061,0.26178815367486796,,,255,,
5,MONDO_0005148,direct_only,ENSG00000171105,INSR,insulin receptor,0.7887370813323916,0.9979912394828367,0.7363251681341715,0.616036541579776,,0.19453785523571876,0.39037187142106605,-0.6252619966905681,1,1,1,255,1,1,0,1,-0.9211979829372365,0.7250349999999998,0,-1,-1,0,0.5515063761099624,,0.4137306817079088,0.3039653988058105,,,
6,MONDO_0005148,direct_only,ENSG00000275410,HNF1B,HNF1 homeobox B,0.7845862621103779,,0.8805259280466547,0.9035850013823753,0.932319565700195,,0.6077414614144626,-0.9318257032542747,,0,0,,0,0,0,,-0.681454758943373,0.5870750000000001,0,0,0.5,0,,,0.3039653988058105,0.3039653988058105,,,
7,MONDO_0005148,direct_only,ENSG00000135100,HNF1A,HNF1 homeobox A,0.7796412149128071,,0.885408320083747,0.8993539262936334,0.8274613634158176,0.24610727383978453,0.9549452326382186,-0.7123000551571981,,0,0,,0,0,0,,-0.9497585121248403,0.7305849999999999,0,0.5,0.75,0,,0.8539084276359897,,,255,,
8,MONDO_0005148,direct_only,ENSG00000101076,HNF4A,hepatocyte nuclear factor 4 alpha,0.7763132041013777,,0.9094747603307126,0.8819536171415432,0.7599134970145264,0.19757750922377684,0.42040671074691427,-0.7523441809156095,,1,0,255,1,0,0,1,-0.8975101676580024,0.6570799999999999,-0.20353999999999992,0.5,0.75,0,0.4129673908175742,0.5697686144054676,0.3039653988058105,0.3039653988058105,,,
9,MONDO_0005148,direct_only,ENSG00000109501,WFS1,wolframin ER transmembrane glycoprotein,0.7695112851857363,,0.916338265581879,0.9341673782706041,0.8274613634158176,,0.5227917285104585,0.7615002757859901,,0,0,,0,0,0,,-0.7407455288547526,0.3426949999999998,,0,-1,0,0.5075799985892028,,,,,,
10,MONDO_0005148,direct_only,ENSG00000112164,GLP1R,glucagon like peptide 1 receptor,0.7667004144705459,0.9977667725629762,0.8989740721269414,0.19453785523571876,,,0.9892402435260198,-0.6955322669608384,,1,0,255,1,1,0,1,-0.271069112694145,0.60043,0,0.5,0.5,0,0.5639925992142412,,,,,,
11,MONDO_0005148,direct_only,ENSG00000163581,SLC2A2,solute carrier family 2 member 2,0.7421463864988622,,0.8358525499901824,0.904799702580104,0.793687430215172,0.19892846655180269,0.5611851372588211,-0.19073359073359075,,1,0,,1,1,0,,-0.7806290245255942,0.09350999999999984,0,0.5,1,0,0.3316262500971393,,,,,0.01451421064690412,
12,MONDO_0005148,direct_only,ENSG00000105221,AKT2,AKT serine/threonine kinase 2,0.7175050307656363,,0.3986061091364385,0.7711000157301373,0.8860591375189377,,0.5911056641391622,-0.7965802537231108,1,1,1,255,1,0,0,1,-0.7157962501206744,0.9064450000000001,-0.5322250000000001,-1,-1,0,0.7078103996049905,,,0.607930797611621,255,,
13,MONDO_0005148,direct_only,ENSG00000115159,GPD2,glycerol-3-phosphate dehydrogenase 2,0.7068921905305894,0.9986081372456911,,0.6173874989078019,,,0.13634460502362294,-0.29420849420849415,,0,0,,0,0,0,1,-0.7888429076592104,0.6630000000000003,,-1,-1,0,0.36560958168362895,,,,,,
14,MONDO_0005148,direct_only,ENSG00000164756,SLC30A8,solute carrier family 30 member 8,0.6974093822415375,,0.9421368941525055,0.7308814240352514,,,0.7534117353877728,-0.08196359624931049,,0,0,,0,1,0,,-0.2849917124074505,0.024389999999999645,0,0.5,1,0,0.44685953278442203,,,,,,
15,MONDO_0005148,direct_only,ENSG00000148737,TCF7L2,transcription factor 7 like 2,0.6772682024701681,,0.9147530751135547,0.28424142181663353,,,0.9643456312284826,-0.7158301158301159,,1,0,255,1,0,0,,-0.8841823322477599,0.7334400000000002,0,-1,-1,0,0.46028635992833866,,,0.607930797611621,255,,
16,MONDO_0005148,direct_only,ENSG00000106331,PAX4,paired box 4,0.6761979218577042,,0.8905301631829737,0.6637189284512575,,,0.3828212160647135,0.15896304467733047,,0,0,,0,0,0,,-0.7208680696754449,0,0,,,0,,,0.3039653988058105,0.3039653988058105,,,
17,MONDO_0005148,direct_only,ENSG00000164258,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,0.6749684045061369,0.9986081372456911,0.4466545428894468,,,,,0.6965250965250964,,0,0,,0,0,0,1,-0.9211005013496032,0.4,0,-1,-1,0,,,,,,,
18,MONDO_0005148,direct_only,ENSG00000010310,GIPR,gastric inhibitory polypeptide receptor,0.6743302170705993,0.9683703958849756,0.4925379228235705,,,,0.5615911207733489,0.7607280750137893,,1,0,255,1,0,0,1,-0.19187701174133848,0,0,0,0.5,0,0.41898590571392924,,,,,,
19,MONDO_0005148,direct_only,ENSG00000162992,NEUROD1,neuronal differentiation 1,0.671465857855922,,,0.674063159034177,0.8274613634158176,,0.37370690766265185,-0.45195808052950914,,0,0,,0,0,0,,-0.8743903670838238,0.8876399999999997,0,0.5,0.75,0,,,0.607930797611621,0.607930797611621,,,
20,MONDO_0005148,direct_only,ENSG00000198888,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,0.6556905258463207,0.9986081372456911,,,,,0.17827377545849124,,,0,0,255,0,0,0,1,,0,,-1,0.5,,,,,0.3039653988058105,,,
21,MONDO_0005148,direct_only,ENSG00000197594,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,0.6538895558580068,,,0.8894598169441027,,0.24452327637267426,0.5589518597546279,-0.3964699393270822,,1,0,,1,1,1,,-0.9712997410684234,0,0,0,0.5,0,,,,0.607930797611621,,,
22,MONDO_0005148,direct_only,ENSG00000197635,DPP4,dipeptidyl peptidase 4,0.6432827162361505,0.9981950138708703,,,,,0.954188839355206,-0.11715388858246001,1,1,1,,1,1,1,1,-0.8838034952024245,0.22323999999999983,0,0,0.5,0,0.5511044663048749,,,,,,
23,MONDO_0005148,direct_only,ENSG00000213619,NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3,0.6427179016186971,0.9986081372456911,0.22109446101330793,,,,0.15031764449611346,-0.19349145063430773,,0,0,,0,0,0,1,-0.7604864403007968,0.3560600000000001,,-1,0.5,0,,,,,,,
24,MONDO_0005148,direct_only,ENSG00000053918,KCNQ1,potassium voltage-gated channel subfamily Q member 1,0.6355195912918692,,0.8725203545198673,,,,0.9395287550350934,-0.09167126309983453,1,1,0,255,1,1,0,1,-0.9432403169533373,0.38609500000000024,0,0,0.5,0,,,,0.607930797611621,,,
25,MONDO_0005148,direct_only,ENSG00000140675,SLC5A2,solute carrier family 5 member 2,0.6351936842498059,0.9974377552980216,,,,,0.9481524613249462,0.40154440154440163,1,1,0,,1,1,0,1,-0.3508419754899991,0.53125,0,0.5,1,0,,,,,,,
26,MONDO_0005148,direct_only,ENSG00000113161,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,0.6342492877983139,0.9085867500093789,0.46761554622642576,,,,0.8010576605938883,-0.7436293436293436,1,1,1,255,1,0,0,1,-0.3074028175658705,0.6734250000000003,,-1,0.5,-1,,,,,,,
27,MONDO_0005148,direct_only,ENSG00000145996,CDKAL1,CDKAL1 threonylcarbamoyladenosine tRNA methylthiotransferase,0.6301224563431727,,0.8496053534412038,0.2279740491043579,,,0.7668072629862864,-0.514396028681743,,0,0,,0,0,0,,-0.7857486610232586,0.5250450000000001,0,-1,-1,0,,,,0.607930797611621,,,
28,MONDO_0005148,direct_only,ENSG00000166136,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,0.6288540501591654,0.9986081372456911,0.13660499871878812,,,,0.07459986365358603,-0.05350248207391062,,0,0,,0,0,0,1,-0.4870861386104308,0.05914000000000001,,-1,-1,0,,,,,,,
29,MONDO_0005148,direct_only,ENSG00000185002,RFX6,regulatory factor X6,0.6247057987125729,,0.8238474259167556,,,,0.36725997868269045,-0.44600110314396024,,0,0,,0,0,0,,-0.660054523539604,0.3696100000000001,0,0.5,0.75,0,0.4129673908175742,0.7599134970145264,,,,,
30,MONDO_0005148,direct_only,ENSG00000186010,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13,0.618703076068161,0.9986081372456911,0.07536500550878289,,,,0.012158615952232422,0.5127413127413127,,0,0,,1,0,0,1,-0.5786753726513527,0.1666649999999997,,-1,-1,-1,,,,,,,
31,MONDO_0005148,direct_only,ENSG00000186951,PPARA,peroxisome proliferator activated receptor alpha,0.6178173993845495,0.9640407276737233,0.14606556014244124,,,,0.45276002944738947,-0.4211803640375069,1,1,1,255,1,0,0,1,-0.9589030378978264,0.6153849999999998,-0.0064099999999999826,-1,0.5,0,0.45154059992603157,,,,,,
32,MONDO_0005148,direct_only,ENSG00000128609,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,0.6174892005795394,0.9986081372456911,0.05873194658761143,,,,0.1094275435700918,0.6111417539988968,,0,0,,0,0,0,1,,0.13793000000000005,,-1,0.5,0,,,,,,,
33,MONDO_0005148,direct_only,ENSG00000165264,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6,0.6168825853298671,0.9986081372456911,0.03985184735815274,,,,0.23377781548042054,0.9526751241036955,,0,0,,0,0,0,1,,0,,-1,-1,0,,,,,,,
