rank_by_score,disease_id,evidence_mode,target_id,target_symbol,target_name,association_score,ds_clinical_precedence,ds_gwas_credible_sets,ds_eva,ds_genomics_england,ds_eva_somatic,ds_europepmc,prio_geneticConstraint,prio_hasHighQualityChemicalProbes,prio_hasLigand,prio_hasPocket,prio_hasSafetyEvent,prio_hasSmallMoleculeBinder,prio_isInMembrane,prio_isSecreted,prio_maxClinicalStage,prio_mouseKOScore,prio_mouseOrthologMaxIdentityPercentage,prio_paralogMaxIdentityPercentage,prio_tissueDistribution,prio_tissueSpecificity,prio_geneEssentiality,ds_impc,ds_gene_burden,ds_uniprot_variants,ds_uniprot_literature,prio_isCancerDriverGene,ds_expression_atlas,prio_hasTEP,rank_by_score_clean
1,MONDO_0005148,direct_only,ENSG00000187486,KCNJ11,potassium inwardly rectifying channel subfamily J member 11,0.8651421397012851,0.9984995303029796,0.9409313915418738,0.9145725163362356,0.865457038266544,0.7133145042531812,0.921228327080409,0.1905129619415333,1.0,1.0,0.0,255.0,1.0,0.0,0.0,1.0,-0.8256221153453464,0.7948700000000002,-0.23718,0.0,0.5,0.0,,,,,,,,1
2,MONDO_0005148,direct_only,ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8,0.8648497626926691,0.9984995303029796,0.908190182577976,0.940675922255788,0.9066612367713316,0.6189714963749121,0.7451875913653228,-0.2401544401544402,1.0,1.0,0.0,255.0,1.0,0.0,0.0,1.0,-0.2635707820230229,0.7722949999999997,-0.1967099999999998,0.0,0.75,0.0,0.6047921859992851,,,,,,,2
3,MONDO_0005148,direct_only,ENSG00000106633,GCK,glucokinase,0.8612340179356642,0.6097469493464107,0.7369579153899929,0.9033637394077024,0.865457038266544,,0.9141134251509128,-0.177826806398235,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,-0.922305020944208,0.7957000000000001,0.0,0.0,0.5,0.0,0.7407161861763361,0.9902327367751212,0.607930797611621,0.607930797611621,,,,3
4,MONDO_0005148,direct_only,ENSG00000132170,PPARG,peroxisome proliferator activated receptor gamma,0.8486094742593474,0.9970828321891484,0.8842978611619482,0.8475039768737684,0.9190679877429972,,0.9019771606788648,-0.5346938775510204,1.0,1.0,1.0,255.0,1.0,0.0,0.0,1.0,-0.9812084574342594,0.9157899999999998,0.0,0.0,0.5,0.0,0.5736654536829061,0.2617881536748679,,,255.0,,,4
5,MONDO_0005148,direct_only,ENSG00000171105,INSR,insulin receptor,0.7887370813323916,0.9979912394828367,0.7363251681341715,0.616036541579776,,0.1945378552357187,0.390371871421066,-0.6252619966905681,1.0,1.0,1.0,255.0,1.0,1.0,0.0,1.0,-0.9211979829372364,0.7250349999999998,0.0,-1.0,-1.0,0.0,0.5515063761099624,,0.4137306817079088,0.3039653988058105,,,,5
6,MONDO_0005148,direct_only,ENSG00000275410,HNF1B,HNF1 homeobox B,0.7845862621103779,,0.8805259280466547,0.9035850013823752,0.932319565700195,,0.6077414614144626,-0.9318257032542748,,0.0,0.0,,0.0,0.0,0.0,,-0.681454758943373,0.5870750000000001,0.0,0.0,0.5,0.0,,,0.3039653988058105,0.3039653988058105,,,,6
7,MONDO_0005148,direct_only,ENSG00000135100,HNF1A,HNF1 homeobox A,0.7796412149128071,,0.885408320083747,0.8993539262936334,0.8274613634158176,0.2461072738397845,0.9549452326382186,-0.7123000551571981,,0.0,0.0,,0.0,0.0,0.0,,-0.9497585121248404,0.7305849999999999,0.0,0.5,0.75,0.0,,0.8539084276359897,,,255.0,,,7
8,MONDO_0005148,direct_only,ENSG00000101076,HNF4A,hepatocyte nuclear factor 4 alpha,0.7763132041013777,,0.9094747603307126,0.8819536171415432,0.7599134970145264,0.1975775092237768,0.4204067107469142,-0.7523441809156095,,1.0,0.0,255.0,1.0,0.0,0.0,1.0,-0.8975101676580024,0.6570799999999999,-0.2035399999999999,0.5,0.75,0.0,0.4129673908175742,0.5697686144054676,0.3039653988058105,0.3039653988058105,,,,8
9,MONDO_0005148,direct_only,ENSG00000109501,WFS1,wolframin ER transmembrane glycoprotein,0.7695112851857363,,0.916338265581879,0.934167378270604,0.8274613634158176,,0.5227917285104585,0.7615002757859901,,0.0,0.0,,0.0,0.0,0.0,,-0.7407455288547526,0.3426949999999998,,0.0,-1.0,0.0,0.5075799985892028,,,,,,,9
10,MONDO_0005148,direct_only,ENSG00000112164,GLP1R,glucagon like peptide 1 receptor,0.7667004144705459,0.9977667725629762,0.8989740721269414,0.1945378552357187,,,0.9892402435260198,-0.6955322669608384,,1.0,0.0,255.0,1.0,1.0,0.0,1.0,-0.271069112694145,0.60043,0.0,0.5,0.5,0.0,0.5639925992142412,,,,,,,10
11,MONDO_0005148,direct_only,ENSG00000163581,SLC2A2,solute carrier family 2 member 2,0.7421463864988622,,0.8358525499901824,0.904799702580104,0.793687430215172,0.1989284665518026,0.5611851372588211,-0.1907335907335907,,1.0,0.0,,1.0,1.0,0.0,,-0.7806290245255942,0.0935099999999998,0.0,0.5,1.0,0.0,0.3316262500971393,,,,,0.0145142106469041,,11
12,MONDO_0005148,direct_only,ENSG00000105221,AKT2,AKT serine/threonine kinase 2,0.7175050307656363,,0.3986061091364385,0.7711000157301373,0.8860591375189377,,0.5911056641391622,-0.7965802537231108,1.0,1.0,1.0,255.0,1.0,0.0,0.0,1.0,-0.7157962501206744,0.906445,-0.5322250000000001,-1.0,-1.0,0.0,0.7078103996049905,,,0.607930797611621,255.0,,,12
