gene_id,gene_symbol,true_label,Protein_only_ProtBERT_SW_score,Genomic_only_K3K4Basic_score,Multimodal_handcrafted_score,Multimodal_DNABERT2_score,gene_symbol_upper,Protein_only_ProtBERT_SW_pred_0p5,Protein_only_ProtBERT_SW_error_0p5,Genomic_only_K3K4Basic_pred_0p5,Genomic_only_K3K4Basic_error_0p5,Multimodal_handcrafted_pred_0p5,Multimodal_handcrafted_error_0p5,Multimodal_DNABERT2_pred_0p5,Multimodal_DNABERT2_error_0p5,base_model,new_model,base_correct,new_correct,comparison_group,score_delta_new_minus_base
ENSG00000173320,STOX2,0,0.5691319971874067,0.3865743055524985,0.4525647122231421,0.5724833561141248,STOX2,1,FP,0,TN,0,TN,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,0.11991864389098272
ENSG00000100426,ZBED4,0,0.228391033873063,0.5789524877331532,0.4822951737779594,0.5694040272704549,ZBED4,0,TN,1,FP,0,TN,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,0.08710885349249553
ENSG00000134640,MTNR1B,1,0.4945920321750458,0.5809915008691676,0.5,0.4233230183733721,MTNR1B,0,FN,1,TP,1,TP,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,-0.0766769816266279
ENSG00000150347,ARID5B,1,0.6929876850818036,0.5873248318458144,0.6593051897197595,0.4680871966523609,ARID5B,1,TP,1,TP,1,TP,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,-0.19121799306739856
ENSG00000121653,MAPK8IP1,1,0.6402371028036723,0.5373766102195441,0.5467215667410258,0.481045971743015,MAPK8IP1,1,TP,1,TP,1,TP,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,-0.06567559499801079
ENSG00000077327,SPAG6,0,0.5563014326021108,0.4415676562411012,0.4763950407153399,0.5,SPAG6,1,FP,0,TN,0,TN,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,0.02360495928466011
ENSG00000182450,KCNK4,0,0.4798567295366499,0.3825276298471838,0.4871894130252537,0.5,KCNK4,0,TN,0,TN,0,TN,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,0.012810586974746296
ENSG00000186010,NDUFA13,1,0.603571216250444,0.4873406628134159,0.6943614231678334,0.4408204953777072,NDUFA13,1,TP,0,FN,1,TP,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,-0.25354092779012627
ENSG00000185156,MFSD6L,0,0.533947536218297,0.3014870041608821,0.3855235828488529,0.5306810088917071,MFSD6L,1,FP,0,TN,0,TN,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,0.1451574260428542
ENSG00000101057,MYBL2,1,0.5451857586753639,0.5828182169424216,0.6386895377152683,0.4651376865258017,MYBL2,1,TP,1,TP,1,TP,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,-0.1735518511894666
ENSG00000184986,TMEM121,0,0.3447423743648827,0.6631807013622107,0.4931336928964359,0.5712313577152224,TMEM121,0,TN,1,FP,0,TN,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,0.0780976648187865
ENSG00000159267,HLCS,0,0.308020006811335,0.6562908548767803,0.4512203403466167,0.5247937818704587,HLCS,0,TN,1,FP,0,TN,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,0.07357344152384199
ENSG00000177614,PGBD5,0,0.2707300312998423,0.7527675781724481,0.4643095282985065,0.6059842535160284,PGBD5,0,TN,1,FP,0,TN,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,0.14167472521752184
ENSG00000276950,GSTT4,0,0.3905344281370058,0.3865391957903538,0.485300127709027,0.512845211445736,GSTT4,0,TN,0,TN,0,TN,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,True,False,lost_by_new_model,0.027545083736709053
