gene_id,gene_symbol,true_label,Protein_only_ProtBERT_SW_score,Genomic_only_K3K4Basic_score,Multimodal_handcrafted_score,Multimodal_DNABERT2_score,gene_symbol_upper,Protein_only_ProtBERT_SW_pred_0p5,Protein_only_ProtBERT_SW_error_0p5,Genomic_only_K3K4Basic_pred_0p5,Genomic_only_K3K4Basic_error_0p5,Multimodal_handcrafted_pred_0p5,Multimodal_handcrafted_error_0p5,Multimodal_DNABERT2_pred_0p5,Multimodal_DNABERT2_error_0p5,base_model,new_model,base_correct,new_correct,comparison_group,score_delta_new_minus_base
ENSG00000101391,CDK5RAP1,1,0.6071449088683397,0.3295505055621896,0.4947819185284077,0.5521016192693855,CDK5RAP1,1,TP,0,FN,0,FN,1,TP,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,0.05731970074097781
ENSG00000128040,SPINK2,0,0.5109993858565173,0.5088784961499234,0.5095392853777232,0.4562013874423584,SPINK2,1,FP,1,FP,1,FP,0,TN,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.05333789793536481
ENSG00000090989,EXOC1,0,0.6285904437677816,0.6264956994877682,0.5977334036946758,0.4811453974155629,EXOC1,1,FP,1,FP,1,FP,0,TN,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.11658800627911287
ENSG00000125733,TRIP10,0,0.4621939531802918,0.5740460025243473,0.5146063192393596,0.4233840533047724,TRIP10,0,TN,1,FP,1,FP,0,TN,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.09122226593458721
ENSG00000147684,NDUFB9,1,0.5312096055832799,0.4528170373726398,0.4617540004974393,0.5495356637188458,NDUFB9,1,TP,0,FN,0,FN,1,TP,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,0.08778166322140646
ENSG00000163636,PSMD6,1,0.487779328262693,0.3769312117829634,0.3874869478447486,0.5401159523187075,PSMD6,0,FN,0,FN,0,FN,1,TP,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,0.15262900447395888
ENSG00000132205,EMILIN2,1,0.4374448518961378,0.4937147840511752,0.4161223803768977,0.5217083226492475,EMILIN2,0,FN,0,FN,0,FN,1,TP,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,0.1055859422723498
ENSG00000178409,BEND3,1,0.2870329902028151,0.7533966513356424,0.4813220202666358,0.5439248905939362,BEND3,0,FN,1,TP,0,FN,1,TP,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,0.06260287032730044
ENSG00000165623,UCMA,1,0.5170019718367761,0.4140399840105738,0.4923783704115093,0.5257634681400151,UCMA,1,TP,0,FN,0,FN,1,TP,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,0.033385097728505786
ENSG00000065183,WDR3,0,0.6115226952511245,0.5346137195936554,0.6408976360947057,0.3670597877460611,WDR3,1,FP,1,FP,1,FP,0,TN,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.27383784834864466
ENSG00000164512,ANKRD55,1,0.442747619385531,0.3757843619952201,0.339436262096356,0.5,ANKRD55,0,FN,0,FN,0,FN,1,TP,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,0.16056373790364398
ENSG00000162664,ZNF326,0,0.4299963346679257,0.511733460647138,0.5349956022076279,0.379907175305202,ZNF326,0,TN,1,FP,1,FP,0,TN,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.15508842690242586
ENSG00000172766,NAA16,0,0.5261724181436633,0.4680252536355872,0.5125194691512807,0.4443975907787024,NAA16,1,FP,0,TN,1,FP,0,TN,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.06812187837257827
ENSG00000130713,EXOSC2,0,0.5587564512761454,0.4551293644748045,0.5725906972429262,0.4811102952330034,EXOSC2,1,FP,0,TN,1,FP,0,TN,Multimodal_handcrafted,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.0914804020099228
