gene_id,gene_symbol,true_label,Protein_only_ProtBERT_SW_score,Genomic_only_K3K4Basic_score,Multimodal_handcrafted_score,Multimodal_DNABERT2_score,gene_symbol_upper,Protein_only_ProtBERT_SW_pred_0p5,Protein_only_ProtBERT_SW_error_0p5,Genomic_only_K3K4Basic_pred_0p5,Genomic_only_K3K4Basic_error_0p5,Multimodal_handcrafted_pred_0p5,Multimodal_handcrafted_error_0p5,Multimodal_DNABERT2_pred_0p5,Multimodal_DNABERT2_error_0p5,base_model,new_model,base_correct,new_correct,comparison_group,score_delta_new_minus_base
ENSG00000122971,ACADS,1,0.7196267175353538,0.5463256663723093,0.7508099354111427,0.744278775090931,ACADS,1,TP,1,TP,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.0246520575555772
ENSG00000162104,ADCY9,1,0.680303443100403,0.6252820710318985,0.7568122194343249,0.7910507737900813,ADCY9,1,TP,1,TP,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.11074733068967824
ENSG00000163116,STPG2,0,0.2379198656408132,0.4045376547264445,0.2356027743412085,0.2781572586416287,STPG2,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.040237393000815525
ENSG00000187486,KCNJ11,1,0.6488173104001954,0.4550978798104344,0.647390375820414,0.6454657872147738,KCNJ11,1,TP,0,FN,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.0033515231854216454
ENSG00000074211,PPP2R2C,1,0.6809935290255823,0.5998700459495586,0.7163452167287763,0.6909013291173821,PPP2R2C,1,TP,1,TP,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.009907800091799812
ENSG00000125975,C20orf173,0,0.3473336675925315,0.2302483493096368,0.3028046534310119,0.3179144578222599,C20ORF173,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.02941920977027157
ENSG00000102908,NFAT5,1,0.7415891679247183,0.7055550598356737,0.7651008236547304,0.7840412759216042,NFAT5,1,TP,1,TP,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.042452107996885924
ENSG00000170262,MRAP,0,0.3900879356274976,0.2966718988315718,0.3306479171631434,0.3954650934174744,MRAP,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.005377157789976772
ENSG00000204514,ZNF814,0,0.2338717112110326,0.3139458979502859,0.1978653544912317,0.2049056632083391,ZNF814,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.02896604800269348
ENSG00000008196,TFAP2B,1,0.7009364662509545,0.58215353712891,0.7277179548672169,0.719383849329991,TFAP2B,1,TP,1,TP,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.018447383079036483
ENSG00000101391,CDK5RAP1,1,0.6071449088683397,0.3295505055621896,0.4947819185284077,0.5521016192693855,CDK5RAP1,1,TP,0,FN,0,FN,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.055043289598954215
ENSG00000159625,DRC7,0,0.194354846127471,0.2873727169506588,0.1733424140214323,0.2933314333978328,DRC7,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.0989765872703618
ENSG00000205359,SLCO6A1,1,0.6544748294265147,0.4310938340235599,0.6049835111554381,0.6760511307572723,SLCO6A1,1,TP,0,FN,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.021576301330757608
ENSG00000084092,NOA1,0,0.3159989082213806,0.5085096486009427,0.3151835291195171,0.175137609889615,NOA1,0,TN,1,FP,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.1408612983317656
ENSG00000158669,GPAT4,1,0.6040727420698736,0.4602782292013322,0.572252199105999,0.6807711139168049,GPAT4,1,TP,0,FN,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.07669837184693129
ENSG00000237765,FAM200B,0,0.2427949774003066,0.5,0.3189855504330615,0.2887746395710321,FAM200B,0,TN,1,FP,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.04597966217072552
ENSG00000131495,NDUFA2,1,0.6174880053437427,0.3821281625424737,0.5534587361242674,0.5388157070507458,NDUFA2,1,TP,0,FN,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.07867229829299693
ENSG00000182993,C12orf60,0,0.318733372960026,0.3580386504620703,0.3231391909944751,0.2762391024337221,C12ORF60,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.042494270526303946
ENSG00000062725,APPBP2,0,0.3757008583906554,0.4246690492960845,0.3151027825468138,0.3521051400059887,APPBP2,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.02359571838466673
ENSG00000089177,KIF16B,0,0.3484194468207626,0.4378080097635924,0.3129181032192709,0.2000795044833337,KIF16B,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.1483399423374289
ENSG00000198393,ZNF26,0,0.3363069902521487,0.4240486838682755,0.2796042206245233,0.2941859954878464,ZNF26,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.04212099476430231
ENSG00000141026,MED9,0,0.4577968972949769,0.3222565897540434,0.3398737872041193,0.2983005547340347,MED9,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.1594963425609422
ENSG00000100290,BIK,0,0.3698759745908491,0.3913608839021307,0.3334798482385586,0.3814139023116856,BIK,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.011537927720836505
ENSG00000127152,BCL11B,1,0.7670287218391924,0.5690882678003504,0.7892990582157897,0.7766158704016759,BCL11B,1,TP,1,TP,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.00958714856248355
ENSG00000151366,NDUFC2,1,0.6996875926978521,0.2945615541119078,0.6262932092507423,0.6436798739594768,NDUFC2,1,TP,0,FN,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.05600771873837529
ENSG00000164574,GALNT10,1,0.7855033030064792,0.567478293997113,0.7723204433860119,0.7750312349141343,GALNT10,1,TP,1,TP,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.01047206809234491
ENSG00000176222,ZNF404,0,0.2235619691488167,0.4520077571255868,0.2488601288642263,0.306166469713809,ZNF404,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.0826045005649923
ENSG00000138738,PRDM5,1,0.6708502656362563,0.6242951668539375,0.7008466576008991,0.7492839293348099,PRDM5,1,TP,1,TP,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.07843366369855365
ENSG00000149090,PAMR1,1,0.7912624007770874,0.485432487168407,0.6969693589474761,0.6817282161549796,PAMR1,1,TP,0,FN,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.10953418462210784
ENSG00000011028,MRC2,1,0.5959231325415797,0.6650005396090671,0.7144460353045239,0.7596612370499369,MRC2,1,TP,1,TP,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.16373810450835724
ENSG00000089094,KDM2B,1,0.6347086649343741,0.5425511890328126,0.6378947913045966,0.6453841777180135,KDM2B,1,TP,1,TP,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,0.01067551278363943
ENSG00000165271,NOL6,0,0.3349316529417921,0.3316422371817484,0.2263278272498524,0.2097928293174973,NOL6,0,TN,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.12513882362429482
ENSG00000196209,SIRPB2,0,0.3877667638063851,0.5,0.2658559881370176,0.2324396613190709,SIRPB2,0,TN,1,FP,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,True,True,correct_by_both,-0.15532710248731418
