gene_id,gene_symbol,true_label,Protein_only_ProtBERT_SW_score,Genomic_only_K3K4Basic_score,Multimodal_handcrafted_score,Multimodal_DNABERT2_score,gene_symbol_upper,Protein_only_ProtBERT_SW_pred_0p5,Protein_only_ProtBERT_SW_error_0p5,Genomic_only_K3K4Basic_pred_0p5,Genomic_only_K3K4Basic_error_0p5,Multimodal_handcrafted_pred_0p5,Multimodal_handcrafted_error_0p5,Multimodal_DNABERT2_pred_0p5,Multimodal_DNABERT2_error_0p5,base_model,new_model,base_correct,new_correct,comparison_group,score_delta_new_minus_base
ENSG00000153930,ANKFN1,0,0.5141447591097188,0.3714408941389703,0.2842125861012272,0.4080227812340097,ANKFN1,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.1061219778757091
ENSG00000128040,SPINK2,0,0.5109993858565173,0.5088784961499234,0.5095392853777232,0.4562013874423584,SPINK2,1,FP,1,FP,1,FP,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.05479799841415889
ENSG00000092208,GEMIN2,0,0.6726295612864523,0.3712563506520286,0.4011000545999071,0.3568062427371717,GEMIN2,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.31582331854928064
ENSG00000122550,KLHL7,0,0.7143430826187633,0.3620810219434177,0.4917896810984097,0.381127896310945,KLHL7,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.3332151863078183
ENSG00000103978,TMEM87A,0,0.617864006182371,0.3911376781717433,0.4942349896695701,0.3668161556057294,TMEM87A,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.25104785057664164
ENSG00000197530,MIB2,0,0.5765094992890183,0.4865934294467119,0.4635811210765876,0.3931026800728712,MIB2,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.1834068192161471
ENSG00000154832,CXXC1,0,0.6071662671149033,0.4013397417342926,0.4602173973190255,0.3089211158493237,CXXC1,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.2982451512655796
ENSG00000006071,ABCC8,1,0.4690280530916357,0.4815200410712282,0.5224918550105622,0.5326113114195594,ABCC8,0,FN,0,FN,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,True,rescued_by_new_model,0.06358325832792372
ENSG00000151883,PARP8,1,0.4570893400604996,0.6114550197153251,0.5407463427775326,0.7398518300411848,PARP8,0,FN,1,TP,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,True,rescued_by_new_model,0.2827624899806852
ENSG00000124155,PIGT,0,0.5,0.3709981650117233,0.3319208161450468,0.4293593749497045,PIGT,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,True,rescued_by_new_model,-0.0706406250502955
