gene_id,gene_symbol,true_label,Protein_only_ProtBERT_SW_score,Genomic_only_K3K4Basic_score,Multimodal_handcrafted_score,Multimodal_DNABERT2_score,gene_symbol_upper,Protein_only_ProtBERT_SW_pred_0p5,Protein_only_ProtBERT_SW_error_0p5,Genomic_only_K3K4Basic_pred_0p5,Genomic_only_K3K4Basic_error_0p5,Multimodal_handcrafted_pred_0p5,Multimodal_handcrafted_error_0p5,Multimodal_DNABERT2_pred_0p5,Multimodal_DNABERT2_error_0p5,base_model,new_model,base_correct,new_correct,comparison_group,score_delta_new_minus_base
ENSG00000156219,ART3,1,0.6193076352627219,0.3776127097131166,0.3526946383327899,0.3990613861173619,ART3,1,TP,0,FN,0,FN,0,FN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,-0.266612996929932
ENSG00000157212,PAXIP1,0,0.4873443429471905,0.6637530650994554,0.7235852833494757,0.7867687549779175,PAXIP1,0,TN,1,FP,1,FP,1,FP,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,0.23624094040228522
ENSG00000101391,CDK5RAP1,1,0.6071449088683397,0.3295505055621896,0.4947819185284077,0.5521016192693855,CDK5RAP1,1,TP,0,FN,0,FN,1,TP,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,-0.11236299033993202
ENSG00000241878,PISD,1,0.5789191580970285,0.3505732778480021,0.4415446119930278,0.3953800216554969,PISD,1,TP,0,FN,0,FN,0,FN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,-0.13737454610400074
ENSG00000204634,TBC1D8,0,0.4754119650765518,0.5932964007789426,0.5756732709169257,0.6665457118064054,TBC1D8,0,TN,1,FP,1,FP,1,FP,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,0.10026130584037385
ENSG00000131778,CHD1L,1,0.507650847638342,0.5062107313472173,0.491878355609373,0.4676090789555841,CHD1L,1,TP,1,TP,0,FN,0,FN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,-0.01577249202896902
ENSG00000134480,CCNH,1,0.5850916648962325,0.3866756759867318,0.3591395737956879,0.4174370093530009,CCNH,1,TP,0,FN,0,FN,0,FN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,-0.22595209110054465
ENSG00000128805,ARHGAP22,1,0.529745443367682,0.4456998046085486,0.4356540888732596,0.4400442628996006,ARHGAP22,1,TP,0,FN,0,FN,0,FN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,-0.09409135449442241
ENSG00000116260,QSOX1,0,0.461818510353558,0.6560057688343467,0.5973398088474925,0.5250229728120993,QSOX1,0,TN,1,FP,1,FP,1,FP,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,0.13552129849393452
ENSG00000125733,TRIP10,0,0.4621939531802918,0.5740460025243473,0.5146063192393596,0.4233840533047724,TRIP10,0,TN,1,FP,1,FP,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,0.052412366059067794
ENSG00000147684,NDUFB9,1,0.5312096055832799,0.4528170373726398,0.4617540004974393,0.5495356637188458,NDUFB9,1,TP,0,FN,0,FN,1,TP,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,-0.06945560508584059
ENSG00000112685,EXOC2,0,0.4711905604852854,0.5,0.5159000951316886,0.51938857457499,EXOC2,0,TN,1,FP,1,FP,1,FP,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,0.04470953464640315
ENSG00000165623,UCMA,1,0.5170019718367761,0.4140399840105738,0.4923783704115093,0.5257634681400151,UCMA,1,TP,0,FN,0,FN,1,TP,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,-0.024623601425266817
ENSG00000185345,PRKN,1,0.5681787026301512,0.507650873716317,0.4411441926670085,0.4281379686172457,PRKN,1,TP,1,TP,0,FN,0,FN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,-0.12703450996314275
ENSG00000162664,ZNF326,0,0.4299963346679257,0.511733460647138,0.5349956022076279,0.379907175305202,ZNF326,0,TN,1,FP,1,FP,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,True,False,lost_by_new_model,0.10499926753970218
