gene_id,gene_symbol,true_label,Protein_only_ProtBERT_SW_score,Genomic_only_K3K4Basic_score,Multimodal_handcrafted_score,Multimodal_DNABERT2_score,gene_symbol_upper,Protein_only_ProtBERT_SW_pred_0p5,Protein_only_ProtBERT_SW_error_0p5,Genomic_only_K3K4Basic_pred_0p5,Genomic_only_K3K4Basic_error_0p5,Multimodal_handcrafted_pred_0p5,Multimodal_handcrafted_error_0p5,Multimodal_DNABERT2_pred_0p5,Multimodal_DNABERT2_error_0p5,base_model,new_model,base_correct,new_correct,comparison_group,score_delta_new_minus_base
ENSG00000173320,STOX2,0,0.5691319971874067,0.3865743055524985,0.4525647122231421,0.5724833561141248,STOX2,1,FP,0,TN,0,TN,1,FP,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.1165672849642646
ENSG00000153930,ANKFN1,0,0.5141447591097188,0.3714408941389703,0.2842125861012272,0.4080227812340097,ANKFN1,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.2299321730084916
ENSG00000134640,MTNR1B,1,0.4945920321750458,0.5809915008691676,0.5,0.4233230183733721,MTNR1B,0,FN,1,TP,1,TP,0,FN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,0.005407967824954174
ENSG00000092208,GEMIN2,0,0.6726295612864523,0.3712563506520286,0.4011000545999071,0.3568062427371717,GEMIN2,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.27152950668654524
ENSG00000122550,KLHL7,0,0.7143430826187633,0.3620810219434177,0.4917896810984097,0.381127896310945,KLHL7,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.22255340152035363
ENSG00000103978,TMEM87A,0,0.617864006182371,0.3911376781717433,0.4942349896695701,0.3668161556057294,TMEM87A,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.12362901651280095
ENSG00000077327,SPAG6,0,0.5563014326021108,0.4415676562411012,0.4763950407153399,0.5,SPAG6,1,FP,0,TN,0,TN,1,FP,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.07990639188677096
ENSG00000197530,MIB2,0,0.5765094992890183,0.4865934294467119,0.4635811210765876,0.3931026800728712,MIB2,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.11292837821243068
ENSG00000154832,CXXC1,0,0.6071662671149033,0.4013397417342926,0.4602173973190255,0.3089211158493237,CXXC1,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.1469488697958778
ENSG00000006071,ABCC8,1,0.4690280530916357,0.4815200410712282,0.5224918550105622,0.5326113114195594,ABCC8,0,FN,0,FN,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,0.05346380191892647
ENSG00000151883,PARP8,1,0.4570893400604996,0.6114550197153251,0.5407463427775326,0.7398518300411848,PARP8,0,FN,1,TP,1,TP,1,TP,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,0.08365700271703302
ENSG00000124155,PIGT,0,0.5,0.3709981650117233,0.3319208161450468,0.4293593749497045,PIGT,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.16807918385495318
ENSG00000138286,FAM149B1,0,0.547590565813184,0.4638774851388184,0.452197377319273,0.4221978957729554,FAM149B1,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.09539318849391099
ENSG00000206203,TSSK2,0,0.5080982193143768,0.4128138872697587,0.4153495405460846,0.3952913897045938,TSSK2,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.09274867876829224
ENSG00000185156,MFSD6L,0,0.533947536218297,0.3014870041608821,0.3855235828488529,0.5306810088917071,MFSD6L,1,FP,0,TN,0,TN,1,FP,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.14842395336944414
ENSG00000136950,ARPC5L,0,0.5676475413905013,0.3275993156452605,0.4518943159987026,0.4063907217157212,ARPC5L,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.11575322539179872
ENSG00000127863,TNFRSF19,0,0.5509272078434415,0.4557535265461271,0.4371704174929432,0.4453595504718771,TNFRSF19,1,FP,0,TN,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.1137567903504983
ENSG00000105738,SIPA1L3,0,0.5978289906259943,0.5,0.4869268632485234,0.4760077364942158,SIPA1L3,1,FP,1,FP,0,TN,0,TN,Protein_only_ProtBERT_SW,Multimodal_handcrafted,False,True,rescued_by_new_model,-0.11090212737747085
