comparison,group,theme,n_genes,genes
HandcraftedMultimodal_to_DNABERT2Multimodal,correct_by_both,known_t2d_gwas_or_monogenic,11,KCNJ11;HHEX;SLC5A1;INSR;ABCC8;NEUROD1;PDX1;CACNA1D;DPP4;IGF2BP2;GAD1
HandcraftedMultimodal_to_DNABERT2Multimodal,correct_by_both,beta_cell_biology,8,KCNJ11;ABCC8;ISL1;NEUROD1;PDX1;CACNA1D;DPP4;GAD1
HandcraftedMultimodal_to_DNABERT2Multimodal,correct_by_both,mitochondrial_function,8,NDUFA2;NDUFC2;NDUFA9;NDUFB3;NDUFB2;NDUFB1;NDUFV1;NDUFA7
HandcraftedMultimodal_to_DNABERT2Multimodal,correct_by_both,oxidative_phosphorylation,8,NDUFA2;NDUFC2;NDUFA9;NDUFB3;NDUFB2;NDUFB1;NDUFV1;NDUFA7
HandcraftedMultimodal_to_DNABERT2Multimodal,correct_by_both,pancreatic_development,3,ISL1;NEUROD1;PDX1
HandcraftedMultimodal_to_DNABERT2Multimodal,correct_by_both,glucose_metabolism,2,SLC5A1;SLC5A2
HandcraftedMultimodal_to_DNABERT2Multimodal,correct_by_both,insulin_signalling,1,INSR
HandcraftedMultimodal_to_DNABERT2Multimodal,correct_by_both,lipid_metabolism,1,SCD5
HandcraftedMultimodal_to_DNABERT2Multimodal,lost_by_new_model,known_t2d_gwas_or_monogenic,1,MTNR1B
HandcraftedMultimodal_to_DNABERT2Multimodal,lost_by_new_model,mitochondrial_function,1,NDUFA13
HandcraftedMultimodal_to_DNABERT2Multimodal,lost_by_new_model,oxidative_phosphorylation,1,NDUFA13
HandcraftedMultimodal_to_DNABERT2Multimodal,rescued_by_new_model,mitochondrial_function,1,NDUFB9
HandcraftedMultimodal_to_DNABERT2Multimodal,rescued_by_new_model,oxidative_phosphorylation,1,NDUFB9
HandcraftedMultimodal_to_DNABERT2Multimodal,wrong_by_both,known_t2d_gwas_or_monogenic,2,PAX4;THADA
HandcraftedMultimodal_to_DNABERT2Multimodal,wrong_by_both,glucose_metabolism,1,G6PC2
HandcraftedMultimodal_to_DNABERT2Multimodal,wrong_by_both,beta_cell_biology,1,PAX4
HandcraftedMultimodal_to_DNABERT2Multimodal,wrong_by_both,pancreatic_development,1,PAX4
Protein_to_DNABERT2Multimodal,correct_by_both,known_t2d_gwas_or_monogenic,10,KCNJ11;HHEX;SLC5A1;INSR;NEUROD1;PDX1;CACNA1D;DPP4;IGF2BP2;GAD1
Protein_to_DNABERT2Multimodal,correct_by_both,mitochondrial_function,9,NDUFA2;NDUFC2;NDUFA9;NDUFB3;NDUFB2;NDUFB1;NDUFV1;NDUFA7;NDUFB9
Protein_to_DNABERT2Multimodal,correct_by_both,oxidative_phosphorylation,9,NDUFA2;NDUFC2;NDUFA9;NDUFB3;NDUFB2;NDUFB1;NDUFV1;NDUFA7;NDUFB9
Protein_to_DNABERT2Multimodal,correct_by_both,beta_cell_biology,7,KCNJ11;ISL1;NEUROD1;PDX1;CACNA1D;DPP4;GAD1
Protein_to_DNABERT2Multimodal,correct_by_both,pancreatic_development,3,ISL1;NEUROD1;PDX1
Protein_to_DNABERT2Multimodal,correct_by_both,glucose_metabolism,2,SLC5A1;SLC5A2
Protein_to_DNABERT2Multimodal,correct_by_both,insulin_signalling,1,INSR
Protein_to_DNABERT2Multimodal,correct_by_both,lipid_metabolism,1,SCD5
Protein_to_DNABERT2Multimodal,lost_by_new_model,mitochondrial_function,1,NDUFA13
Protein_to_DNABERT2Multimodal,lost_by_new_model,oxidative_phosphorylation,1,NDUFA13
Protein_to_DNABERT2Multimodal,rescued_by_new_model,beta_cell_biology,1,ABCC8
Protein_to_DNABERT2Multimodal,rescued_by_new_model,known_t2d_gwas_or_monogenic,1,ABCC8
Protein_to_DNABERT2Multimodal,wrong_by_both,known_t2d_gwas_or_monogenic,3,MTNR1B;PAX4;THADA
Protein_to_DNABERT2Multimodal,wrong_by_both,glucose_metabolism,1,G6PC2
Protein_to_DNABERT2Multimodal,wrong_by_both,beta_cell_biology,1,PAX4
Protein_to_DNABERT2Multimodal,wrong_by_both,pancreatic_development,1,PAX4
