comparison,group,n,n_positive,n_background,mean_score_delta_new_minus_base,median_score_delta_new_minus_base,genes
Protein_to_HandcraftedMultimodal,rescued_by_new_model,18,3,15,-0.1115,-0.1148,STOX2;ANKFN1;MTNR1B;GEMIN2;KLHL7;TMEM87A;SPAG6;MIB2;CXXC1;ABCC8;PARP8;PIGT;FAM149B1;TSSK2;MFSD6L;ARPC5L;TNFRSF19;SIPA1L3
Protein_to_HandcraftedMultimodal,lost_by_new_model,15,9,6,-0.0266,-0.0246,ART3;PAXIP1;CDK5RAP1;PISD;TBC1D8;CHD1L;CCNH;ARHGAP22;QSOX1;TRIP10;NDUFB9;EXOC2;UCMA;PRKN;ZNF326
Protein_to_HandcraftedMultimodal,correct_by_both,164,83,81,0.0026,-0.0011,ACADS;ADCY9;STPG2;KCNJ11;PPP2R2C;C20orf173;NFAT5;ZBED4;MRAP;ZNF814;TFAP2B;DRC7;SLCO6A1;NOA1;GPAT4;FAM200B;NDUFA2;C12orf60;APPBP2;KIF16B;ZNF26;MED9;BIK;BCL11B;NDUFC2;GALNT10;ZNF404;PRDM5;PAMR1;MRC2;KDM2B;NOL6;ARID5B;SIRPB2;HMG20A;SAFB2;ALOXE3;CPEB3;NDUFA9;C8orf88;TSPAN8;B3GLCT;TMC3;ATG16L1;DYNC2I1;TNIP1;FHOD1;DACH1;ZFP64;CCDC8;HHEX;NDUFB3;ZNF184;SUGP2;SLC38A11;ZMYM1;NT5C2;TSHZ3;NDUFB2;ICE1;HAS2;MAPK8IP1;NCAM1;SYNPO2L;MTNAP1;SCTR;NDUFB1;KCNK4;NUP85;SLC5A1;INSR;PTPRM;NDUFA13;ZC3H12C;ZCCHC8;RAB11FIP1;PELO;CCDC22;TCF12;ISL1;ADRB1;NDUFV1;NDUFA7;RBM44;NEUROD1;PLEKHA4;CEP95;PDX1;DYRK2;CACNA1D;IPCEF1;KRI1;MAML2;CT45A1;GLRA1;CIC;ZNF689;ZNF430;TLCD5;POTEG;FBXO15;FOXN3;DPP4;IGF2BP2;RALY;SCD5;ZKSCAN4;TCEANC2;SNRNP35;GMIP;SLC35A4;TENT5C;BICDL2;SIGLEC9;EBF2;IGSF21;MT4;SPDYE13;GNPDA2;MYBL2;RNF17;XPC;ZNF699;PRICKLE1;ETV1;TMEM121;VN1R2;DDC;EXOC3L1;NCALD;MICALL1;TMEM191B;OSBPL5;GALNT3;KRTAP7-1;DGKD;HLCS;SLC5A2;AFAP1L2;PLA2G3;LCE2D;TOR1AIP1;L3MBTL3;SMC1A;MARCHF10;TMEM106B;ELF1;RAB42;GAD1;AVEN;ENPP3;GNL2;USP19;PGBD5;MEIS1;ATP1A2;ARF5;LRRC37A3;APOL2;DNMT3A;MGAM;GSTT4;MAGI1;CATSPERE
Protein_to_HandcraftedMultimodal,wrong_by_both,74,40,34,0.0055,0.0047,ADGRE5;SMPDL3A;HCFC2;TECPR1;TIGAR;KIF2A;G6PC2;VPS13C;PI16;CHRNA1;RPS19;SPINK2;DYNC2H1;TPK1;GTF2IRD2;TUBB4A;ZNF821;TYK2;STEAP1;PAX4;ARF3;EIF1;PARD3B;GRM7;PIP5K1A;ZBTB39;TNFAIP3;MAD1L1;WDR20;SNAPC2;EXOC1;CENPW;PRMT6;DCSTAMP;GCAT;USP44;FGGY;APOBR;RIGI;SH2B3;ADO;THADA;ANGPTL4;PSMD6;EMILIN2;BCORL1;LPA;RHBDL3;BEND3;WDR3;UBALD2;FOCAD;GATD3;ETAA1;RPAP1;NDUFAF4;SERBP1;NSD3;SHROOM3;ANKRD55;RAI1;FAXC;TAF9B;EIF4E2;COL23A1;CCDC6;ILVBL;NAA16;SOS2;PPP2R5D;EXOSC2;NOS2;PLEKHH2;PTPN22
Protein_to_DNABERT2Multimodal,rescued_by_new_model,23,6,17,-0.0867,-0.1061,ANKFN1;SPINK2;GEMIN2;KLHL7;TMEM87A;MIB2;CXXC1;ABCC8;PARP8;PIGT;EXOC1;FAM149B1;TSSK2;PSMD6;EMILIN2;ARPC5L;BEND3;WDR3;ANKRD55;TNFRSF19;SIPA1L3;NAA16;EXOSC2
Protein_to_DNABERT2Multimodal,lost_by_new_model,20,10,10,0.0198,-0.0099,ART3;PAXIP1;ZBED4;PISD;ARID5B;TBC1D8;CHD1L;MAPK8IP1;KCNK4;NDUFA13;CCNH;ARHGAP22;QSOX1;EXOC2;MYBL2;PRKN;TMEM121;HLCS;PGBD5;GSTT4
Protein_to_DNABERT2Multimodal,correct_by_both,159,82,77,-0.0032,0.0064,ACADS;ADCY9;STPG2;KCNJ11;PPP2R2C;C20orf173;NFAT5;MRAP;ZNF814;TFAP2B;CDK5RAP1;DRC7;SLCO6A1;NOA1;GPAT4;FAM200B;NDUFA2;C12orf60;APPBP2;KIF16B;ZNF26;MED9;BIK;BCL11B;NDUFC2;GALNT10;ZNF404;PRDM5;PAMR1;MRC2;KDM2B;NOL6;SIRPB2;HMG20A;SAFB2;ALOXE3;CPEB3;NDUFA9;C8orf88;TSPAN8;B3GLCT;TMC3;ATG16L1;DYNC2I1;TNIP1;FHOD1;DACH1;ZFP64;CCDC8;HHEX;NDUFB3;ZNF184;SUGP2;SLC38A11;ZMYM1;NT5C2;TSHZ3;NDUFB2;ICE1;HAS2;NCAM1;SYNPO2L;MTNAP1;SCTR;NDUFB1;NUP85;SLC5A1;INSR;PTPRM;ZC3H12C;ZCCHC8;RAB11FIP1;PELO;CCDC22;TCF12;ISL1;ADRB1;NDUFV1;NDUFA7;RBM44;NEUROD1;PLEKHA4;CEP95;PDX1;TRIP10;DYRK2;CACNA1D;IPCEF1;KRI1;NDUFB9;MAML2;CT45A1;GLRA1;CIC;ZNF689;ZNF430;TLCD5;POTEG;FBXO15;FOXN3;DPP4;IGF2BP2;RALY;SCD5;ZKSCAN4;TCEANC2;SNRNP35;GMIP;SLC35A4;UCMA;TENT5C;BICDL2;SIGLEC9;EBF2;IGSF21;MT4;SPDYE13;GNPDA2;RNF17;XPC;ZNF699;PRICKLE1;ETV1;VN1R2;DDC;EXOC3L1;NCALD;MICALL1;TMEM191B;ZNF326;OSBPL5;GALNT3;KRTAP7-1;DGKD;SLC5A2;AFAP1L2;PLA2G3;LCE2D;TOR1AIP1;L3MBTL3;SMC1A;MARCHF10;TMEM106B;ELF1;RAB42;GAD1;AVEN;ENPP3;GNL2;USP19;MEIS1;ATP1A2;ARF5;LRRC37A3;APOL2;DNMT3A;MGAM;MAGI1;CATSPERE
Protein_to_DNABERT2Multimodal,wrong_by_both,69,37,32,0.0171,0.0034,ADGRE5;SMPDL3A;STOX2;HCFC2;TECPR1;TIGAR;KIF2A;G6PC2;VPS13C;PI16;CHRNA1;RPS19;MTNR1B;DYNC2H1;TPK1;GTF2IRD2;TUBB4A;ZNF821;TYK2;STEAP1;PAX4;SPAG6;ARF3;EIF1;PARD3B;GRM7;PIP5K1A;ZBTB39;TNFAIP3;MAD1L1;WDR20;SNAPC2;CENPW;PRMT6;DCSTAMP;GCAT;USP44;FGGY;APOBR;RIGI;SH2B3;ADO;THADA;ANGPTL4;BCORL1;MFSD6L;LPA;RHBDL3;UBALD2;FOCAD;GATD3;ETAA1;RPAP1;NDUFAF4;SERBP1;NSD3;SHROOM3;RAI1;FAXC;TAF9B;EIF4E2;COL23A1;CCDC6;ILVBL;SOS2;PPP2R5D;NOS2;PLEKHH2;PTPN22
HandcraftedMultimodal_to_DNABERT2Multimodal,rescued_by_new_model,14,7,7,-0.0136,-0.01,CDK5RAP1;SPINK2;EXOC1;TRIP10;NDUFB9;PSMD6;EMILIN2;BEND3;UCMA;WDR3;ANKRD55;ZNF326;NAA16;EXOSC2
HandcraftedMultimodal_to_DNABERT2Multimodal,lost_by_new_model,14,5,9,-0.0037,0.0256,STOX2;ZBED4;MTNR1B;ARID5B;MAPK8IP1;SPAG6;KCNK4;NDUFA13;MFSD6L;MYBL2;TMEM121;HLCS;PGBD5;GSTT4
HandcraftedMultimodal_to_DNABERT2Multimodal,correct_by_both,168,81,87,-0.0006,-0.0034,ACADS;ADCY9;STPG2;KCNJ11;PPP2R2C;C20orf173;ANKFN1;NFAT5;MRAP;ZNF814;TFAP2B;DRC7;SLCO6A1;NOA1;GPAT4;FAM200B;NDUFA2;GEMIN2;C12orf60;APPBP2;KIF16B;ZNF26;MED9;BIK;BCL11B;NDUFC2;GALNT10;ZNF404;PRDM5;PAMR1;MRC2;KDM2B;NOL6;KLHL7;SIRPB2;HMG20A;SAFB2;ALOXE3;CPEB3;NDUFA9;C8orf88;TSPAN8;B3GLCT;TMC3;ATG16L1;DYNC2I1;TNIP1;FHOD1;DACH1;ZFP64;CCDC8;HHEX;TMEM87A;NDUFB3;ZNF184;SUGP2;SLC38A11;ZMYM1;NT5C2;TSHZ3;NDUFB2;ICE1;HAS2;NCAM1;SYNPO2L;MTNAP1;MIB2;SCTR;NDUFB1;NUP85;CXXC1;SLC5A1;INSR;PTPRM;ABCC8;ZC3H12C;PARP8;ZCCHC8;RAB11FIP1;PELO;PIGT;CCDC22;TCF12;ISL1;ADRB1;NDUFV1;NDUFA7;RBM44;FAM149B1;NEUROD1;PLEKHA4;CEP95;PDX1;DYRK2;TSSK2;CACNA1D;IPCEF1;KRI1;MAML2;CT45A1;GLRA1;CIC;ZNF689;ZNF430;TLCD5;POTEG;FBXO15;FOXN3;DPP4;IGF2BP2;RALY;SCD5;ZKSCAN4;TCEANC2;SNRNP35;ARPC5L;GMIP;SLC35A4;TENT5C;BICDL2;SIGLEC9;EBF2;IGSF21;MT4;SPDYE13;GNPDA2;RNF17;XPC;ZNF699;PRICKLE1;ETV1;VN1R2;DDC;EXOC3L1;NCALD;MICALL1;TMEM191B;TNFRSF19;OSBPL5;GALNT3;KRTAP7-1;SIPA1L3;DGKD;SLC5A2;AFAP1L2;PLA2G3;LCE2D;TOR1AIP1;L3MBTL3;SMC1A;MARCHF10;TMEM106B;ELF1;RAB42;GAD1;AVEN;ENPP3;GNL2;USP19;MEIS1;ATP1A2;ARF5;LRRC37A3;APOL2;DNMT3A;MGAM;MAGI1;CATSPERE
HandcraftedMultimodal_to_DNABERT2Multimodal,wrong_by_both,75,42,33,0.013,0.0053,ADGRE5;SMPDL3A;HCFC2;TECPR1;ART3;TIGAR;PAXIP1;KIF2A;G6PC2;VPS13C;PI16;CHRNA1;RPS19;DYNC2H1;TPK1;PISD;TBC1D8;GTF2IRD2;TUBB4A;CHD1L;ZNF821;TYK2;STEAP1;PAX4;ARF3;EIF1;PARD3B;GRM7;CCNH;PIP5K1A;ZBTB39;TNFAIP3;ARHGAP22;MAD1L1;WDR20;SNAPC2;CENPW;QSOX1;PRMT6;DCSTAMP;GCAT;USP44;FGGY;APOBR;RIGI;SH2B3;ADO;THADA;ANGPTL4;BCORL1;LPA;EXOC2;RHBDL3;UBALD2;FOCAD;GATD3;ETAA1;RPAP1;NDUFAF4;SERBP1;PRKN;NSD3;SHROOM3;RAI1;FAXC;TAF9B;EIF4E2;COL23A1;CCDC6;ILVBL;SOS2;PPP2R5D;NOS2;PLEKHH2;PTPN22
