seed,metric,rank,model_key,metric_value
11,pr_auc,1,Protein_only_ProtBERT_SW,0.7324
11,pr_auc,2,Multimodal_DNABERT2,0.7192
11,pr_auc,3,Multimodal_handcrafted,0.7118
11,pr_auc,4,Genomic_only_K3K4Basic,0.6391
11,mcc,1,Multimodal_DNABERT2,0.4234
11,mcc,2,Multimodal_handcrafted,0.4068
11,mcc,3,Protein_only_ProtBERT_SW,0.3146
11,mcc,4,Genomic_only_K3K4Basic,0.236
11,roc_auc,1,Multimodal_handcrafted,0.7586
11,roc_auc,2,Multimodal_DNABERT2,0.7578
11,roc_auc,3,Protein_only_ProtBERT_SW,0.7534
11,roc_auc,4,Genomic_only_K3K4Basic,0.6518
11,f1,1,Multimodal_DNABERT2,0.7429
11,f1,2,Multimodal_handcrafted,0.7235
11,f1,3,Protein_only_ProtBERT_SW,0.6908
11,f1,4,Genomic_only_K3K4Basic,0.584
22,pr_auc,1,Multimodal_handcrafted,0.7104
22,pr_auc,2,Multimodal_DNABERT2,0.6978
22,pr_auc,3,Protein_only_ProtBERT_SW,0.6855
22,pr_auc,4,Genomic_only_K3K4Basic,0.6697
22,mcc,1,Multimodal_handcrafted,0.3101
22,mcc,2,Protein_only_ProtBERT_SW,0.2789
22,mcc,3,Multimodal_DNABERT2,0.2412
22,mcc,4,Genomic_only_K3K4Basic,0.2
22,roc_auc,1,Multimodal_DNABERT2,0.7285
22,roc_auc,2,Multimodal_handcrafted,0.7202
22,roc_auc,3,Protein_only_ProtBERT_SW,0.6958
22,roc_auc,4,Genomic_only_K3K4Basic,0.6721
22,f1,1,Protein_only_ProtBERT_SW,0.6621
22,f1,2,Multimodal_handcrafted,0.5992
22,f1,3,Genomic_only_K3K4Basic,0.5175
22,f1,4,Multimodal_DNABERT2,0.46
33,pr_auc,1,Multimodal_DNABERT2,0.6963
33,pr_auc,2,Multimodal_handcrafted,0.6918
33,pr_auc,3,Protein_only_ProtBERT_SW,0.6668
33,pr_auc,4,Genomic_only_K3K4Basic,0.568
33,mcc,1,Multimodal_handcrafted,0.301
33,mcc,2,Protein_only_ProtBERT_SW,0.2925
33,mcc,3,Multimodal_DNABERT2,0.2475
33,mcc,4,Genomic_only_K3K4Basic,0.1383
33,roc_auc,1,Multimodal_handcrafted,0.7104
33,roc_auc,2,Protein_only_ProtBERT_SW,0.7036
33,roc_auc,3,Multimodal_DNABERT2,0.6971
33,roc_auc,4,Genomic_only_K3K4Basic,0.5931
33,f1,1,Multimodal_DNABERT2,0.6769
33,f1,2,Multimodal_handcrafted,0.6667
33,f1,3,Protein_only_ProtBERT_SW,0.6571
33,f1,4,Genomic_only_K3K4Basic,0.5952
44,pr_auc,1,Multimodal_DNABERT2,0.7687
44,pr_auc,2,Multimodal_handcrafted,0.7607
44,pr_auc,3,Protein_only_ProtBERT_SW,0.7436
44,pr_auc,4,Genomic_only_K3K4Basic,0.7081
44,mcc,1,Multimodal_DNABERT2,0.4119
44,mcc,2,Multimodal_handcrafted,0.3727
44,mcc,3,Protein_only_ProtBERT_SW,0.3442
44,mcc,4,Genomic_only_K3K4Basic,0.3156
44,roc_auc,1,Multimodal_DNABERT2,0.7842
44,roc_auc,2,Multimodal_handcrafted,0.7633
44,roc_auc,3,Protein_only_ProtBERT_SW,0.7495
44,roc_auc,4,Genomic_only_K3K4Basic,0.7185
44,f1,1,Multimodal_DNABERT2,0.7338
44,f1,2,Multimodal_handcrafted,0.7166
44,f1,3,Protein_only_ProtBERT_SW,0.7107
44,f1,4,Genomic_only_K3K4Basic,0.5196
55,pr_auc,1,Multimodal_handcrafted,0.7875
55,pr_auc,2,Multimodal_DNABERT2,0.7795
55,pr_auc,3,Protein_only_ProtBERT_SW,0.7318
55,pr_auc,4,Genomic_only_K3K4Basic,0.6675
55,mcc,1,Multimodal_DNABERT2,0.4182
55,mcc,2,Protein_only_ProtBERT_SW,0.363
55,mcc,3,Multimodal_handcrafted,0.3336
55,mcc,4,Genomic_only_K3K4Basic,0.2159
55,roc_auc,1,Multimodal_DNABERT2,0.7881
55,roc_auc,2,Multimodal_handcrafted,0.7826
55,roc_auc,3,Protein_only_ProtBERT_SW,0.7444
55,roc_auc,4,Genomic_only_K3K4Basic,0.6741
55,f1,1,Multimodal_DNABERT2,0.7333
55,f1,2,Protein_only_ProtBERT_SW,0.7192
55,f1,3,Multimodal_handcrafted,0.7147
55,f1,4,Genomic_only_K3K4Basic,0.6707
66,pr_auc,1,Multimodal_handcrafted,0.7259
66,pr_auc,2,Multimodal_DNABERT2,0.7256
66,pr_auc,3,Protein_only_ProtBERT_SW,0.6889
66,pr_auc,4,Genomic_only_K3K4Basic,0.6285
66,mcc,1,Multimodal_DNABERT2,0.3583
66,mcc,2,Multimodal_handcrafted,0.3379
66,mcc,3,Protein_only_ProtBERT_SW,0.2849
66,mcc,4,Genomic_only_K3K4Basic,0.1868
66,roc_auc,1,Multimodal_DNABERT2,0.7351
66,roc_auc,2,Multimodal_handcrafted,0.7308
66,roc_auc,3,Protein_only_ProtBERT_SW,0.6994
66,roc_auc,4,Genomic_only_K3K4Basic,0.6325
66,f1,1,Genomic_only_K3K4Basic,0.6759
66,f1,2,Multimodal_DNABERT2,0.6692
66,f1,3,Protein_only_ProtBERT_SW,0.6523
66,f1,4,Multimodal_handcrafted,0.6457
77,pr_auc,1,Multimodal_DNABERT2,0.7716
77,pr_auc,2,Multimodal_handcrafted,0.7663
77,pr_auc,3,Protein_only_ProtBERT_SW,0.7381
77,pr_auc,4,Genomic_only_K3K4Basic,0.639
77,mcc,1,Multimodal_DNABERT2,0.4474
77,mcc,2,Multimodal_handcrafted,0.3486
77,mcc,3,Protein_only_ProtBERT_SW,0.3406
77,mcc,4,Genomic_only_K3K4Basic,0.174
77,roc_auc,1,Multimodal_DNABERT2,0.7739
77,roc_auc,2,Multimodal_handcrafted,0.7544
77,roc_auc,3,Protein_only_ProtBERT_SW,0.7361
77,roc_auc,4,Genomic_only_K3K4Basic,0.6417
77,f1,1,Multimodal_DNABERT2,0.6751
77,f1,2,Protein_only_ProtBERT_SW,0.616
77,f1,3,Multimodal_handcrafted,0.532
77,f1,4,Genomic_only_K3K4Basic,0.4444
88,pr_auc,1,Multimodal_DNABERT2,0.7059
88,pr_auc,2,Multimodal_handcrafted,0.6918
88,pr_auc,3,Protein_only_ProtBERT_SW,0.6639
88,pr_auc,4,Genomic_only_K3K4Basic,0.631
88,mcc,1,Multimodal_DNABERT2,0.3212
88,mcc,2,Protein_only_ProtBERT_SW,0.3108
88,mcc,3,Multimodal_handcrafted,0.2994
88,mcc,4,Genomic_only_K3K4Basic,0.1663
88,roc_auc,1,Multimodal_DNABERT2,0.7449
88,roc_auc,2,Multimodal_handcrafted,0.7166
88,roc_auc,3,Protein_only_ProtBERT_SW,0.7003
88,roc_auc,4,Genomic_only_K3K4Basic,0.6409
88,f1,1,Protein_only_ProtBERT_SW,0.6962
88,f1,2,Multimodal_handcrafted,0.657
88,f1,3,Multimodal_DNABERT2,0.6515
88,f1,4,Genomic_only_K3K4Basic,0.5637
99,pr_auc,1,Multimodal_handcrafted,0.6973
99,pr_auc,2,Protein_only_ProtBERT_SW,0.6895
99,pr_auc,3,Multimodal_DNABERT2,0.688
99,pr_auc,4,Genomic_only_K3K4Basic,0.5813
99,mcc,1,Multimodal_DNABERT2,0.3297
99,mcc,2,Protein_only_ProtBERT_SW,0.2846
99,mcc,3,Genomic_only_K3K4Basic,0.2289
99,mcc,4,Multimodal_handcrafted,0.2122
99,roc_auc,1,Multimodal_DNABERT2,0.7114
99,roc_auc,2,Multimodal_handcrafted,0.6966
99,roc_auc,3,Protein_only_ProtBERT_SW,0.694
99,roc_auc,4,Genomic_only_K3K4Basic,0.6027
99,f1,1,Multimodal_DNABERT2,0.6513
99,f1,2,Protein_only_ProtBERT_SW,0.634
99,f1,3,Genomic_only_K3K4Basic,0.5783
99,f1,4,Multimodal_handcrafted,0.5068
111,pr_auc,1,Protein_only_ProtBERT_SW,0.7124
111,pr_auc,2,Multimodal_handcrafted,0.7043
111,pr_auc,3,Multimodal_DNABERT2,0.7038
111,pr_auc,4,Genomic_only_K3K4Basic,0.6372
111,mcc,1,Multimodal_handcrafted,0.3293
111,mcc,2,Multimodal_DNABERT2,0.3236
111,mcc,3,Protein_only_ProtBERT_SW,0.3117
111,mcc,4,Genomic_only_K3K4Basic,0.2185
111,roc_auc,1,Multimodal_DNABERT2,0.733
111,roc_auc,2,Multimodal_handcrafted,0.7171
111,roc_auc,3,Protein_only_ProtBERT_SW,0.7147
111,roc_auc,4,Genomic_only_K3K4Basic,0.6435
111,f1,1,Multimodal_DNABERT2,0.6783
111,f1,2,Multimodal_handcrafted,0.6738
111,f1,3,Genomic_only_K3K4Basic,0.6214
111,f1,4,Protein_only_ProtBERT_SW,0.4712
