model_a,model_b,metric,n_paired_seeds,metric_a_mean,metric_b_mean,delta_mean,delta_sd,delta_median,n_seeds_better,n_seeds_worse,n_seeds_equal,delta_values
Protein_only_ProtBERT_SW,Multimodal_handcrafted,pr_auc,10,0.7053,0.7248,0.0195,0.0219,0.025,8,2,0,-0.020600;0.024900;0.025000;0.017100;0.055700;0.037000;0.028200;0.027900;0.007800;-0.008100
Protein_only_ProtBERT_SW,Multimodal_handcrafted,mcc,10,0.3126,0.3252,0.0126,0.045,0.0131,7,3,0,0.092200;0.031200;0.008500;0.028500;-0.029400;0.053000;0.008000;-0.011400;-0.072400;0.017600
Protein_only_ProtBERT_SW,Multimodal_handcrafted,roc_auc,10,0.7191,0.7351,0.0159,0.0124,0.015,10,0,0,0.005200;0.024400;0.006800;0.013800;0.038200;0.031400;0.018300;0.016300;0.002600;0.002400
Protein_only_ProtBERT_SW,Multimodal_handcrafted,f1,10,0.651,0.6436,-0.0074,0.0885,-0.0055,4,6,0,0.032700;-0.062900;0.009600;0.005900;-0.004500;-0.006600;-0.084000;-0.039200;-0.127200;0.202600
Protein_only_ProtBERT_SW,Multimodal_DNABERT2,pr_auc,10,0.7053,0.7256,0.0203,0.0218,0.0273,7,3,0,-0.013200;0.012300;0.029500;0.025100;0.047700;0.036700;0.033500;0.042000;-0.001500;-0.008600
Protein_only_ProtBERT_SW,Multimodal_DNABERT2,mcc,10,0.3126,0.3522,0.0397,0.054,0.0502,8,2,0,0.108800;-0.037700;-0.045000;0.067700;0.055200;0.073400;0.106800;0.010400;0.045100;0.011900
Protein_only_ProtBERT_SW,Multimodal_DNABERT2,roc_auc,10,0.7191,0.7454,0.0263,0.0172,0.0337,9,1,0,0.004400;0.032700;-0.006500;0.034700;0.043700;0.035700;0.037800;0.044600;0.017400;0.018300
Protein_only_ProtBERT_SW,Multimodal_DNABERT2,f1,10,0.651,0.6672,0.0163,0.1006,0.0185,8,2,0,0.052100;-0.202100;0.019800;0.023100;0.014100;0.016900;0.059100;-0.044700;0.017300;0.207100
Genomic_only_K3K4Basic,Multimodal_handcrafted,pr_auc,10,0.6369,0.7248,0.0878,0.0327,0.0851,10,0,0,0.072700;0.040700;0.123800;0.052600;0.120000;0.097400;0.127300;0.060800;0.116000;0.067100
Genomic_only_K3K4Basic,Multimodal_handcrafted,mcc,10,0.208,0.3252,0.1171,0.0589,0.1254,9,1,0,0.170800;0.110100;0.162700;0.057100;0.117700;0.151100;0.174600;0.133100;-0.016700;0.110800
Genomic_only_K3K4Basic,Multimodal_handcrafted,roc_auc,10,0.6471,0.7351,0.088,0.0262,0.0961,10,0,0,0.106800;0.048100;0.117300;0.044800;0.108500;0.098300;0.112700;0.075700;0.093900;0.073600
Genomic_only_K3K4Basic,Multimodal_handcrafted,f1,10,0.5771,0.6436,0.0665,0.0767,0.0766,8,2,0,0.139500;0.081700;0.071500;0.197000;0.044000;-0.030200;0.087600;0.093300;-0.071500;0.052400
Genomic_only_K3K4Basic,Multimodal_DNABERT2,pr_auc,10,0.6369,0.7256,0.0887,0.0327,0.0886,10,0,0,0.080100;0.028100;0.128300;0.060600;0.112000;0.097100;0.132600;0.074900;0.106700;0.066600
Genomic_only_K3K4Basic,Multimodal_DNABERT2,mcc,10,0.208,0.3522,0.1442,0.0669,0.132,10,0,0,0.187400;0.041200;0.109200;0.096300;0.202300;0.171500;0.273400;0.154900;0.100800;0.105100
Genomic_only_K3K4Basic,Multimodal_DNABERT2,roc_auc,10,0.6471,0.7454,0.0983,0.0225,0.104,10,0,0,0.106000;0.056400;0.104000;0.065700;0.114000;0.102600;0.132200;0.104000;0.108700;0.089500
Genomic_only_K3K4Basic,Multimodal_DNABERT2,f1,10,0.5771,0.6672,0.0902,0.0902,0.0773,8,2,0,0.158900;-0.057500;0.081700;0.214200;0.062600;-0.006700;0.230700;0.087800;0.073000;0.056900
Multimodal_handcrafted,Multimodal_DNABERT2,pr_auc,10,0.7248,0.7256,0.0009,0.0086,0.0021,5,5,0,0.007400;-0.012600;0.004500;0.008000;-0.008000;-0.000300;0.005300;0.014100;-0.009300;-0.000500
Multimodal_handcrafted,Multimodal_DNABERT2,mcc,10,0.3252,0.3522,0.0271,0.0612,0.0211,7,3,0,0.016600;-0.068900;-0.053500;0.039200;0.084600;0.020400;0.098800;0.021800;0.117500;-0.005700
Multimodal_handcrafted,Multimodal_DNABERT2,roc_auc,10,0.7351,0.7454,0.0103,0.0121,0.0116,8,2,0,-0.000800;0.008300;-0.013300;0.020900;0.005500;0.004300;0.019500;0.028300;0.014800;0.015900
Multimodal_handcrafted,Multimodal_DNABERT2,f1,10,0.6436,0.6672,0.0236,0.0795,0.0179,8,2,0,0.019400;-0.139200;0.010200;0.017200;0.018600;0.023500;0.143100;-0.005500;0.144500;0.004500
