gene_set_name,top_n,set_size,theme,observed_count,observed_fraction,observed_genes,random_mean,random_sd,random_median,random_min,random_max,random_p025,random_p975,z_score_vs_random,enrichment_ratio_vs_random_mean,empirical_p_greater_equal,significant_empirical_p_0p05,n_random_permutations,empirical_p_bh_fdr,significant_fdr_0p05
DNABERT2_moved_in_top50,50,11,insulin_signalling,0,0.0,,0.039,0.1937,0.0,0,1,0.0,1.0,-0.2014,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_in_top50,50,11,glucose_metabolism,0,0.0,,0.123,0.3435,0.0,0,2,0.0,1.0,-0.3581,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_in_top50,50,11,beta_cell_biology,0,0.0,,0.378,0.5912,0.0,0,4,0.0,2.0,-0.6394,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_in_top50,50,11,mitochondrial_function,0,0.0,,0.414,0.6124,0.0,0,4,0.0,2.0,-0.6761,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_in_top50,50,11,oxidative_phosphorylation,0,0.0,,0.411,0.6168,0.0,0,4,0.0,2.0,-0.6663,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_in_top50,50,11,pancreatic_development,0,0.0,,0.149,0.3807,0.0,0,2,0.0,1.0,-0.3914,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_in_top50,50,11,lipid_metabolism,0,0.0,,0.033,0.1787,0.0,0,1,0.0,1.0,-0.1846,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_in_top50,50,11,known_t2d_gwas_or_monogenic,0,0.0,,0.578,0.7116,0.0,0,4,0.0,2.0,-0.8122,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_out_top50,50,11,insulin_signalling,0,0.0,,0.042,0.2007,0.0,0,1,0.0,1.0,-0.2093,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_out_top50,50,11,glucose_metabolism,1,0.0909,SLC5A1,0.113,0.3322,0.0,0,2,0.0,1.0,2.6703,8.8496,0.1089,False,1000,0.5808,False
DNABERT2_moved_out_top50,50,11,beta_cell_biology,1,0.0909,DPP4,0.368,0.5735,0.0,0,3,0.0,2.0,1.102,2.7174,0.3217,False,1000,1.0,False
DNABERT2_moved_out_top50,50,11,mitochondrial_function,3,0.2727,NDUFA7;NDUFB1;NDUFB3,0.43,0.6477,0.0,0,3,0.0,2.0,3.9679,6.9767,0.01,True,1000,0.1598,False
DNABERT2_moved_out_top50,50,11,oxidative_phosphorylation,3,0.2727,NDUFA7;NDUFB1;NDUFB3,0.41,0.6183,0.0,0,4,0.0,2.0,4.189,7.3171,0.007,True,1000,0.1598,False
DNABERT2_moved_out_top50,50,11,pancreatic_development,0,0.0,,0.18,0.4216,0.0,0,2,0.0,1.0,-0.4269,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_out_top50,50,11,lipid_metabolism,0,0.0,,0.042,0.2007,0.0,0,1,0.0,1.0,-0.2093,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_out_top50,50,11,known_t2d_gwas_or_monogenic,2,0.1818,DPP4;SLC5A1,0.564,0.7311,0.0,0,4,0.0,2.0,1.9643,3.5461,0.1069,False,1000,0.5808,False
DNABERT2_moved_in_top100,100,13,insulin_signalling,0,0.0,,0.046,0.2096,0.0,0,1,0.0,1.0,-0.2195,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_in_top100,100,13,glucose_metabolism,0,0.0,,0.132,0.3615,0.0,0,2,0.0,1.0,-0.3651,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_in_top100,100,13,beta_cell_biology,0,0.0,,0.43,0.6257,0.0,0,3,0.0,2.0,-0.6872,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_in_top100,100,13,mitochondrial_function,1,0.0769,NDUFA9,0.45,0.6402,0.0,0,3,0.0,2.0,0.8591,2.2222,0.3746,False,1000,1.0,False
DNABERT2_moved_in_top100,100,13,oxidative_phosphorylation,1,0.0769,NDUFA9,0.5,0.6682,0.0,0,4,0.0,2.0,0.7483,2.0,0.4126,False,1000,1.0,False
DNABERT2_moved_in_top100,100,13,pancreatic_development,0,0.0,,0.203,0.4472,0.0,0,2,0.0,1.0,-0.4539,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_in_top100,100,13,lipid_metabolism,0,0.0,,0.059,0.2357,0.0,0,1,0.0,1.0,-0.2503,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_in_top100,100,13,known_t2d_gwas_or_monogenic,0,0.0,,0.688,0.8132,1.0,0,4,0.0,3.0,-0.846,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_out_top100,100,13,insulin_signalling,0,0.0,,0.051,0.2201,0.0,0,1,0.0,1.0,-0.2317,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_out_top100,100,13,glucose_metabolism,0,0.0,,0.147,0.3708,0.0,0,2,0.0,1.0,-0.3964,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_out_top100,100,13,beta_cell_biology,0,0.0,,0.438,0.6577,0.0,0,3,0.0,2.0,-0.6659,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_out_top100,100,13,mitochondrial_function,2,0.1538,NDUFA13;NDUFB3,0.478,0.6449,0.0,0,3,0.0,2.0,2.36,4.1841,0.0739,False,1000,0.5808,False
DNABERT2_moved_out_top100,100,13,oxidative_phosphorylation,2,0.1538,NDUFA13;NDUFB3,0.512,0.6785,0.0,0,3,0.0,2.0,2.1932,3.9062,0.0839,False,1000,0.5808,False
DNABERT2_moved_out_top100,100,13,pancreatic_development,0,0.0,,0.193,0.4427,0.0,0,3,0.0,1.0,-0.436,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_out_top100,100,13,lipid_metabolism,0,0.0,,0.063,0.2431,0.0,0,1,0.0,1.0,-0.2592,0.0,1.0,False,1000,1.0,False
DNABERT2_moved_out_top100,100,13,known_t2d_gwas_or_monogenic,0,0.0,,0.667,0.7607,1.0,0,4,0.0,2.0,-0.8768,0.0,1.0,False,1000,1.0,False
