claim_area,observed_count,random_mean,random_sd,enrichment_ratio,empirical_p,fdr_p,interpretation
Multimodal_handcrafted top100 mitochondrial_function,7,3.694,1.5161,1.895,0.038,0.1158,Observed theme concentration is stronger than random baseline.
Multimodal_handcrafted top100 oxidative_phosphorylation,7,3.694,1.5161,1.895,0.038,0.1158,Observed theme concentration is stronger than random baseline.
Multimodal_handcrafted top100 known_t2d_gwas_or_monogenic,10,5.241,1.7709,1.908,0.01,0.064,Observed theme concentration is stronger than random baseline.
Multimodal_handcrafted top100 beta_cell_biology,7,3.413,1.3958,2.051,0.019,0.0791,Observed theme concentration is stronger than random baseline.
Multimodal_DNABERT2 top100 mitochondrial_function,6,3.694,1.5161,1.6243,0.1299,0.3058,Observed theme concentration is not clearly stronger than random baseline.
Multimodal_DNABERT2 top100 oxidative_phosphorylation,6,3.694,1.5161,1.6243,0.1299,0.3058,Observed theme concentration is not clearly stronger than random baseline.
Multimodal_DNABERT2 top100 known_t2d_gwas_or_monogenic,10,5.241,1.7709,1.908,0.01,0.064,Observed theme concentration is stronger than random baseline.
Multimodal_DNABERT2 top100 beta_cell_biology,7,3.413,1.3958,2.051,0.019,0.0791,Observed theme concentration is stronger than random baseline.
Protein_only_ProtBERT_SW top100 mitochondrial_function,8,3.694,1.5161,2.1657,0.006,0.064,Observed theme concentration is stronger than random baseline.
Protein_only_ProtBERT_SW top100 oxidative_phosphorylation,8,3.694,1.5161,2.1657,0.006,0.064,Observed theme concentration is stronger than random baseline.
Protein_only_ProtBERT_SW top100 known_t2d_gwas_or_monogenic,10,5.241,1.7709,1.908,0.01,0.064,Observed theme concentration is stronger than random baseline.
Protein_only_ProtBERT_SW top100 beta_cell_biology,7,3.413,1.3958,2.051,0.019,0.0791,Observed theme concentration is stronger than random baseline.
