model_key,top_n,theme,observed_count,observed_fraction,observed_genes,random_mean,random_sd,random_median,random_min,random_max,random_p025,random_p975,z_score_vs_random,enrichment_ratio_vs_random_mean,empirical_p_greater_equal,significant_empirical_p_0p05,n_random_permutations,universe_size
Genomic_only_K3K4Basic,50,known_t2d_gwas_or_monogenic,5,0.1,CACNA1D;DPP4;GAD1;IGF2BP2;INSR,2.537,1.4159,2.0,0,9,0.0,5.0,1.7396,1.9708,0.0959,False,1000,271
Genomic_only_K3K4Basic,50,insulin_signalling,1,0.02,INSR,0.176,0.381,0.0,0,1,0.0,1.0,2.1627,5.6818,0.1768,False,1000,271
Genomic_only_K3K4Basic,50,beta_cell_biology,3,0.06,CACNA1D;DPP4;GAD1,1.633,1.1312,2.0,0,6,0.0,4.0,1.2085,1.8371,0.2168,False,1000,271
Genomic_only_K3K4Basic,50,glucose_metabolism,0,0.0,,0.579,0.6813,0.0,0,3,0.0,2.0,-0.8498,0.0,1.0,False,1000,271
Genomic_only_K3K4Basic,50,mitochondrial_function,0,0.0,,1.861,1.2179,2.0,0,7,0.0,5.0,-1.5281,0.0,1.0,False,1000,271
Genomic_only_K3K4Basic,50,oxidative_phosphorylation,0,0.0,,1.861,1.2179,2.0,0,7,0.0,5.0,-1.5281,0.0,1.0,False,1000,271
Genomic_only_K3K4Basic,50,pancreatic_development,0,0.0,,0.713,0.7702,1.0,0,3,0.0,2.0,-0.9257,0.0,1.0,False,1000,271
Genomic_only_K3K4Basic,50,lipid_metabolism,0,0.0,,0.174,0.3793,0.0,0,1,0.0,1.0,-0.4587,0.0,1.0,False,1000,271
Genomic_only_K3K4Basic,100,known_t2d_gwas_or_monogenic,9,0.09,CACNA1D;DPP4;GAD1;HHEX;IGF2BP2;INSR;MTNR1B;PDX1;SLC5A1,5.241,1.7709,5.0,0,11,2.0,9.0,2.1227,1.7172,0.043,True,1000,271
Genomic_only_K3K4Basic,100,beta_cell_biology,5,0.05,CACNA1D;DPP4;GAD1;ISL1;PDX1,3.413,1.3958,3.0,0,9,1.0,6.0,1.1369,1.465,0.2058,False,1000,271
Genomic_only_K3K4Basic,100,insulin_signalling,1,0.01,INSR,0.353,0.4781,0.0,0,1,0.0,1.0,1.3532,2.8329,0.3536,False,1000,271
Genomic_only_K3K4Basic,100,lipid_metabolism,1,0.01,SCD5,0.363,0.4811,0.0,0,1,0.0,1.0,1.324,2.7548,0.3636,False,1000,271
Genomic_only_K3K4Basic,100,pancreatic_development,2,0.02,ISL1;PDX1,1.488,0.9585,1.0,0,4,0.0,3.0,0.5342,1.3441,0.4735,False,1000,271
Genomic_only_K3K4Basic,100,glucose_metabolism,1,0.01,SLC5A1,1.125,0.8707,1.0,0,3,0.0,3.0,-0.1436,0.8889,0.7413,False,1000,271
Genomic_only_K3K4Basic,100,mitochondrial_function,2,0.02,NDUFA7;NDUFB2,3.694,1.5161,4.0,0,9,1.0,7.0,-1.1173,0.5414,0.9421,False,1000,271
Genomic_only_K3K4Basic,100,oxidative_phosphorylation,2,0.02,NDUFA7;NDUFB2,3.694,1.5161,4.0,0,9,1.0,7.0,-1.1173,0.5414,0.9421,False,1000,271
Multimodal_DNABERT2,50,known_t2d_gwas_or_monogenic,7,0.14,CACNA1D;GAD1;HHEX;IGF2BP2;INSR;NEUROD1;PDX1,2.537,1.4159,2.0,0,9,0.0,5.0,3.1522,2.7592,0.008,True,1000,271
