Model,Top N,Theme,Observed,Random mean ± SD,Random 95% interval,Enrichment ratio,Empirical p,FDR p,Observed genes
Multimodal_DNABERT2,50,beta_cell_biology,5,1.63 ± 1.13,0.0–4.0,3.0618,0.011,0.064,CACNA1D;GAD1;ISL1;NEUROD1;PDX1
Multimodal_handcrafted,50,beta_cell_biology,6,1.63 ± 1.13,0.0–4.0,3.6742,0.003,0.064,CACNA1D;DPP4;GAD1;ISL1;NEUROD1;PDX1
Protein_only_ProtBERT_SW,50,beta_cell_biology,4,1.63 ± 1.13,0.0–4.0,2.4495,0.0579,0.1611,CACNA1D;GAD1;ISL1;NEUROD1
Multimodal_DNABERT2,50,glucose_metabolism,0,0.58 ± 0.68,0.0–2.0,0.0,1.0,1.0,
Multimodal_handcrafted,50,glucose_metabolism,1,0.58 ± 0.68,0.0–2.0,1.7271,0.4795,0.5902,SLC5A1
Protein_only_ProtBERT_SW,50,glucose_metabolism,0,0.58 ± 0.68,0.0–2.0,0.0,1.0,1.0,
Multimodal_DNABERT2,50,insulin_signalling,1,0.18 ± 0.38,0.0–1.0,5.6818,0.1768,0.3058,INSR
Multimodal_handcrafted,50,insulin_signalling,1,0.18 ± 0.38,0.0–1.0,5.6818,0.1768,0.3058,INSR
Protein_only_ProtBERT_SW,50,insulin_signalling,1,0.18 ± 0.38,0.0–1.0,5.6818,0.1768,0.3058,INSR
Multimodal_DNABERT2,50,known_t2d_gwas_or_monogenic,7,2.54 ± 1.42,0.0–5.0,2.7592,0.008,0.064,CACNA1D;GAD1;HHEX;IGF2BP2;INSR;NEUROD1;PDX1
Multimodal_handcrafted,50,known_t2d_gwas_or_monogenic,9,2.54 ± 1.42,0.0–5.0,3.5475,0.002,0.064,CACNA1D;DPP4;GAD1;HHEX;IGF2BP2;INSR;NEUROD1;PDX1;SLC5A1
Protein_only_ProtBERT_SW,50,known_t2d_gwas_or_monogenic,6,2.54 ± 1.42,0.0–5.0,2.365,0.021,0.0791,CACNA1D;GAD1;HHEX;IGF2BP2;INSR;NEUROD1
Multimodal_DNABERT2,50,mitochondrial_function,2,1.86 ± 1.22,0.0–5.0,1.0747,0.5684,0.6737,NDUFB2;NDUFV1
Multimodal_handcrafted,50,mitochondrial_function,5,1.86 ± 1.22,0.0–5.0,2.6867,0.027,0.0909,NDUFA7;NDUFB1;NDUFB2;NDUFB3;NDUFV1
Protein_only_ProtBERT_SW,50,mitochondrial_function,6,1.86 ± 1.22,0.0–5.0,3.2241,0.004,0.064,NDUFA7;NDUFB1;NDUFB2;NDUFB3;NDUFC2;NDUFV1
Multimodal_DNABERT2,50,oxidative_phosphorylation,2,1.86 ± 1.22,0.0–5.0,1.0747,0.5684,0.6737,NDUFB2;NDUFV1
Multimodal_handcrafted,50,oxidative_phosphorylation,5,1.86 ± 1.22,0.0–5.0,2.6867,0.027,0.0909,NDUFA7;NDUFB1;NDUFB2;NDUFB3;NDUFV1
