top_n,permutation,theme,random_count,random_fraction
50,0,insulin_signalling,0,0.0
50,0,glucose_metabolism,1,0.02
50,0,beta_cell_biology,0,0.0
50,0,mitochondrial_function,1,0.02
50,0,oxidative_phosphorylation,1,0.02
50,0,pancreatic_development,0,0.0
50,0,lipid_metabolism,1,0.02
50,0,known_t2d_gwas_or_monogenic,3,0.06
50,1,insulin_signalling,0,0.0
50,1,glucose_metabolism,2,0.04
50,1,beta_cell_biology,1,0.02
50,1,mitochondrial_function,3,0.06
50,1,oxidative_phosphorylation,3,0.06
50,1,pancreatic_development,1,0.02
50,1,lipid_metabolism,0,0.0
50,1,known_t2d_gwas_or_monogenic,2,0.04
50,2,insulin_signalling,0,0.0
50,2,glucose_metabolism,1,0.02
50,2,beta_cell_biology,1,0.02
50,2,mitochondrial_function,2,0.04
50,2,oxidative_phosphorylation,2,0.04
50,2,pancreatic_development,1,0.02
50,2,lipid_metabolism,1,0.02
50,2,known_t2d_gwas_or_monogenic,1,0.02
50,3,insulin_signalling,0,0.0
50,3,glucose_metabolism,2,0.04
50,3,beta_cell_biology,3,0.06
50,3,mitochondrial_function,3,0.06
50,3,oxidative_phosphorylation,3,0.06
50,3,pancreatic_development,0,0.0
50,3,lipid_metabolism,0,0.0
50,3,known_t2d_gwas_or_monogenic,5,0.1
50,4,insulin_signalling,0,0.0
50,4,glucose_metabolism,0,0.0
50,4,beta_cell_biology,4,0.08
50,4,mitochondrial_function,2,0.04
50,4,oxidative_phosphorylation,2,0.04
50,4,pancreatic_development,2,0.04
50,4,lipid_metabolism,0,0.0
50,4,known_t2d_gwas_or_monogenic,3,0.06
50,5,insulin_signalling,0,0.0
50,5,glucose_metabolism,1,0.02
50,5,beta_cell_biology,3,0.06
50,5,mitochondrial_function,2,0.04
50,5,oxidative_phosphorylation,2,0.04
50,5,pancreatic_development,1,0.02
50,5,lipid_metabolism,0,0.0
50,5,known_t2d_gwas_or_monogenic,3,0.06
50,6,insulin_signalling,0,0.0
50,6,glucose_metabolism,1,0.02
50,6,beta_cell_biology,1,0.02
50,6,mitochondrial_function,2,0.04
50,6,oxidative_phosphorylation,2,0.04
50,6,pancreatic_development,1,0.02
50,6,lipid_metabolism,0,0.0
50,6,known_t2d_gwas_or_monogenic,1,0.02
50,7,insulin_signalling,0,0.0
50,7,glucose_metabolism,1,0.02
50,7,beta_cell_biology,2,0.04
50,7,mitochondrial_function,0,0.0
50,7,oxidative_phosphorylation,0,0.0
50,7,pancreatic_development,2,0.04
50,7,lipid_metabolism,0,0.0
50,7,known_t2d_gwas_or_monogenic,3,0.06
50,8,insulin_signalling,0,0.0
50,8,glucose_metabolism,2,0.04
50,8,beta_cell_biology,2,0.04
50,8,mitochondrial_function,0,0.0
50,8,oxidative_phosphorylation,0,0.0
50,8,pancreatic_development,2,0.04
50,8,lipid_metabolism,0,0.0
50,8,known_t2d_gwas_or_monogenic,1,0.02
50,9,insulin_signalling,0,0.0
50,9,glucose_metabolism,0,0.0
50,9,beta_cell_biology,0,0.0
50,9,mitochondrial_function,6,0.12
50,9,oxidative_phosphorylation,6,0.12
50,9,pancreatic_development,0,0.0
50,9,lipid_metabolism,1,0.02
50,9,known_t2d_gwas_or_monogenic,0,0.0
50,10,insulin_signalling,0,0.0
50,10,glucose_metabolism,0,0.0
50,10,beta_cell_biology,0,0.0
50,10,mitochondrial_function,2,0.04
50,10,oxidative_phosphorylation,2,0.04
50,10,pancreatic_development,0,0.0
50,10,lipid_metabolism,1,0.02
50,10,known_t2d_gwas_or_monogenic,1,0.02
50,11,insulin_signalling,0,0.0
50,11,glucose_metabolism,0,0.0
50,11,beta_cell_biology,0,0.0
50,11,mitochondrial_function,2,0.04
50,11,oxidative_phosphorylation,2,0.04
50,11,pancreatic_development,0,0.0
50,11,lipid_metabolism,0,0.0
50,11,known_t2d_gwas_or_monogenic,0,0.0
50,12,insulin_signalling,0,0.0
50,12,glucose_metabolism,1,0.02
50,12,beta_cell_biology,0,0.0
50,12,mitochondrial_function,2,0.04
50,12,oxidative_phosphorylation,2,0.04
50,12,pancreatic_development,0,0.0
50,12,lipid_metabolism,1,0.02
50,12,known_t2d_gwas_or_monogenic,0,0.0
50,13,insulin_signalling,0,0.0
50,13,glucose_metabolism,0,0.0
50,13,beta_cell_biology,1,0.02
50,13,mitochondrial_function,3,0.06
50,13,oxidative_phosphorylation,3,0.06
50,13,pancreatic_development,1,0.02
50,13,lipid_metabolism,0,0.0
50,13,known_t2d_gwas_or_monogenic,1,0.02
50,14,insulin_signalling,0,0.0
50,14,glucose_metabolism,1,0.02
50,14,beta_cell_biology,1,0.02
50,14,mitochondrial_function,3,0.06
50,14,oxidative_phosphorylation,3,0.06
50,14,pancreatic_development,0,0.0
50,14,lipid_metabolism,0,0.0
50,14,known_t2d_gwas_or_monogenic,2,0.04
