seed,Multimodal_handcrafted_pr_auc,Multimodal_DNABERT2_pr_auc,metric,metric_display,metric_role,delta_dnabert2_minus_handcrafted,direction,Multimodal_handcrafted_mcc,Multimodal_DNABERT2_mcc,Multimodal_handcrafted_roc_auc,Multimodal_DNABERT2_roc_auc,Multimodal_handcrafted_f1,Multimodal_DNABERT2_f1
11,0.7118,0.7192,pr_auc,PR-AUC,Primary ranking metric,0.0074,DNABERT2_better,,,,,,
22,0.7104,0.6978,pr_auc,PR-AUC,Primary ranking metric,-0.0126,Handcrafted_better,,,,,,
33,0.6918,0.6963,pr_auc,PR-AUC,Primary ranking metric,0.0045,DNABERT2_better,,,,,,
44,0.7607,0.7687,pr_auc,PR-AUC,Primary ranking metric,0.008,DNABERT2_better,,,,,,
55,0.7875,0.7795,pr_auc,PR-AUC,Primary ranking metric,-0.008,Handcrafted_better,,,,,,
66,0.7259,0.7256,pr_auc,PR-AUC,Primary ranking metric,-0.0003,Handcrafted_better,,,,,,
77,0.7663,0.7716,pr_auc,PR-AUC,Primary ranking metric,0.0053,DNABERT2_better,,,,,,
88,0.6918,0.7059,pr_auc,PR-AUC,Primary ranking metric,0.0141,DNABERT2_better,,,,,,
99,0.6973,0.688,pr_auc,PR-AUC,Primary ranking metric,-0.0093,Handcrafted_better,,,,,,
111,0.7043,0.7038,pr_auc,PR-AUC,Primary ranking metric,-0.0005,Handcrafted_better,,,,,,
11,,,mcc,MCC,Primary threshold-dependent metric,0.0166,DNABERT2_better,0.4068,0.4234,,,,
22,,,mcc,MCC,Primary threshold-dependent metric,-0.0689,Handcrafted_better,0.3101,0.2412,,,,
33,,,mcc,MCC,Primary threshold-dependent metric,-0.0535,Handcrafted_better,0.301,0.2475,,,,
44,,,mcc,MCC,Primary threshold-dependent metric,0.0392,DNABERT2_better,0.3727,0.4119,,,,
55,,,mcc,MCC,Primary threshold-dependent metric,0.0846,DNABERT2_better,0.3336,0.4182,,,,
66,,,mcc,MCC,Primary threshold-dependent metric,0.0204,DNABERT2_better,0.3379,0.3583,,,,
77,,,mcc,MCC,Primary threshold-dependent metric,0.0988,DNABERT2_better,0.3486,0.4474,,,,
88,,,mcc,MCC,Primary threshold-dependent metric,0.0218,DNABERT2_better,0.2994,0.3212,,,,
99,,,mcc,MCC,Primary threshold-dependent metric,0.1175,DNABERT2_better,0.2122,0.3297,,,,
111,,,mcc,MCC,Primary threshold-dependent metric,-0.0057,Handcrafted_better,0.3293,0.3236,,,,
11,,,roc_auc,ROC-AUC,Secondary global ranking metric,-0.0008,Handcrafted_better,,,0.7586,0.7578,,
22,,,roc_auc,ROC-AUC,Secondary global ranking metric,0.0083,DNABERT2_better,,,0.7202,0.7285,,
33,,,roc_auc,ROC-AUC,Secondary global ranking metric,-0.0133,Handcrafted_better,,,0.7104,0.6971,,
44,,,roc_auc,ROC-AUC,Secondary global ranking metric,0.0209,DNABERT2_better,,,0.7633,0.7842,,
55,,,roc_auc,ROC-AUC,Secondary global ranking metric,0.0055,DNABERT2_better,,,0.7826,0.7881,,
66,,,roc_auc,ROC-AUC,Secondary global ranking metric,0.0043,DNABERT2_better,,,0.7308,0.7351,,
77,,,roc_auc,ROC-AUC,Secondary global ranking metric,0.0195,DNABERT2_better,,,0.7544,0.7739,,
88,,,roc_auc,ROC-AUC,Secondary global ranking metric,0.0283,DNABERT2_better,,,0.7166,0.7449,,
99,,,roc_auc,ROC-AUC,Secondary global ranking metric,0.0148,DNABERT2_better,,,0.6966,0.7114,,
111,,,roc_auc,ROC-AUC,Secondary global ranking metric,0.0159,DNABERT2_better,,,0.7171,0.733,,
11,,,f1,F1,Secondary threshold-dependent metric,0.0194,DNABERT2_better,,,,,0.7235,0.7429
22,,,f1,F1,Secondary threshold-dependent metric,-0.1392,Handcrafted_better,,,,,0.5992,0.46
33,,,f1,F1,Secondary threshold-dependent metric,0.0102,DNABERT2_better,,,,,0.6667,0.6769
44,,,f1,F1,Secondary threshold-dependent metric,0.0172,DNABERT2_better,,,,,0.7166,0.7338
55,,,f1,F1,Secondary threshold-dependent metric,0.0186,DNABERT2_better,,,,,0.7147,0.7333
66,,,f1,F1,Secondary threshold-dependent metric,0.0235,DNABERT2_better,,,,,0.6457,0.6692
77,,,f1,F1,Secondary threshold-dependent metric,0.1431,DNABERT2_better,,,,,0.532,0.6751
88,,,f1,F1,Secondary threshold-dependent metric,-0.0055,Handcrafted_better,,,,,0.657,0.6515
99,,,f1,F1,Secondary threshold-dependent metric,0.1445,DNABERT2_better,,,,,0.5068,0.6513
111,,,f1,F1,Secondary threshold-dependent metric,0.0045,DNABERT2_better,,,,,0.6738,0.6783
