feature_index,feature_name,coefficient,abs_coefficient,block,feature_group
1242,dnabert2_emb_218,-0.77275561,0.77275561,Genomic_DNABERT2_block,DNABERT2_embedding
1119,dnabert2_emb_95,0.76752587,0.76752587,Genomic_DNABERT2_block,DNABERT2_embedding
909,protein_emb_909,-0.76691573,0.76691573,Protein_ProtBERT_SW_block,Protein_embedding
222,protein_emb_222,-0.74649203,0.74649203,Protein_ProtBERT_SW_block,Protein_embedding
1664,dnabert2_emb_640,-0.73459281,0.73459281,Genomic_DNABERT2_block,DNABERT2_embedding
1690,dnabert2_emb_666,0.68739716,0.68739716,Genomic_DNABERT2_block,DNABERT2_embedding
1440,dnabert2_emb_416,0.67302412,0.67302412,Genomic_DNABERT2_block,DNABERT2_embedding
580,protein_emb_580,-0.67013702,0.67013702,Protein_ProtBERT_SW_block,Protein_embedding
631,protein_emb_631,0.65853922,0.65853922,Protein_ProtBERT_SW_block,Protein_embedding
656,protein_emb_656,0.65568069,0.65568069,Protein_ProtBERT_SW_block,Protein_embedding
453,protein_emb_453,0.64019889,0.64019889,Protein_ProtBERT_SW_block,Protein_embedding
822,protein_emb_822,0.63892543,0.63892543,Protein_ProtBERT_SW_block,Protein_embedding
65,protein_emb_65,-0.63407926,0.63407926,Protein_ProtBERT_SW_block,Protein_embedding
160,protein_emb_160,-0.6226204,0.6226204,Protein_ProtBERT_SW_block,Protein_embedding
955,protein_emb_955,0.61709445,0.61709445,Protein_ProtBERT_SW_block,Protein_embedding
1688,dnabert2_emb_664,0.61207525,0.61207525,Genomic_DNABERT2_block,DNABERT2_embedding
1490,dnabert2_emb_466,-0.61007887,0.61007887,Genomic_DNABERT2_block,DNABERT2_embedding
433,protein_emb_433,0.60969183,0.60969183,Protein_ProtBERT_SW_block,Protein_embedding
1294,dnabert2_emb_270,0.60356524,0.60356524,Genomic_DNABERT2_block,DNABERT2_embedding
136,protein_emb_136,-0.59432051,0.59432051,Protein_ProtBERT_SW_block,Protein_embedding
1769,dnabert2_emb_745,0.58870774,0.58870774,Genomic_DNABERT2_block,DNABERT2_embedding
1193,dnabert2_emb_169,0.58582925,0.58582925,Genomic_DNABERT2_block,DNABERT2_embedding
1645,dnabert2_emb_621,-0.58475566,0.58475566,Genomic_DNABERT2_block,DNABERT2_embedding
1010,protein_emb_1010,0.57981327,0.57981327,Protein_ProtBERT_SW_block,Protein_embedding
1001,protein_emb_1001,-0.57614277,0.57614277,Protein_ProtBERT_SW_block,Protein_embedding
1547,dnabert2_emb_523,0.57380547,0.57380547,Genomic_DNABERT2_block,DNABERT2_embedding
1672,dnabert2_emb_648,0.57175537,0.57175537,Genomic_DNABERT2_block,DNABERT2_embedding
813,protein_emb_813,0.56488696,0.56488696,Protein_ProtBERT_SW_block,Protein_embedding
1408,dnabert2_emb_384,-0.56130052,0.56130052,Genomic_DNABERT2_block,DNABERT2_embedding
673,protein_emb_673,-0.5592883,0.5592883,Protein_ProtBERT_SW_block,Protein_embedding
1674,dnabert2_emb_650,0.55903055,0.55903055,Genomic_DNABERT2_block,DNABERT2_embedding
1326,dnabert2_emb_302,-0.55893662,0.55893662,Genomic_DNABERT2_block,DNABERT2_embedding
107,protein_emb_107,-0.55751532,0.55751532,Protein_ProtBERT_SW_block,Protein_embedding
1652,dnabert2_emb_628,-0.55438053,0.55438053,Genomic_DNABERT2_block,DNABERT2_embedding
44,protein_emb_44,-0.55266718,0.55266718,Protein_ProtBERT_SW_block,Protein_embedding
1468,dnabert2_emb_444,-0.54831923,0.54831923,Genomic_DNABERT2_block,DNABERT2_embedding
1075,dnabert2_emb_51,0.54601239,0.54601239,Genomic_DNABERT2_block,DNABERT2_embedding
1760,dnabert2_emb_736,-0.54595841,0.54595841,Genomic_DNABERT2_block,DNABERT2_embedding
1723,dnabert2_emb_699,0.54531892,0.54531892,Genomic_DNABERT2_block,DNABERT2_embedding
338,protein_emb_338,0.5436644,0.5436644,Protein_ProtBERT_SW_block,Protein_embedding
258,protein_emb_258,0.53887565,0.53887565,Protein_ProtBERT_SW_block,Protein_embedding
859,protein_emb_859,-0.53843105,0.53843105,Protein_ProtBERT_SW_block,Protein_embedding
1011,protein_emb_1011,-0.53790463,0.53790463,Protein_ProtBERT_SW_block,Protein_embedding
717,protein_emb_717,0.53627146,0.53627146,Protein_ProtBERT_SW_block,Protein_embedding
841,protein_emb_841,0.53588196,0.53588196,Protein_ProtBERT_SW_block,Protein_embedding
666,protein_emb_666,-0.53395508,0.53395508,Protein_ProtBERT_SW_block,Protein_embedding
500,protein_emb_500,-0.53217067,0.53217067,Protein_ProtBERT_SW_block,Protein_embedding
356,protein_emb_356,-0.53083937,0.53083937,Protein_ProtBERT_SW_block,Protein_embedding
242,protein_emb_242,-0.53072423,0.53072423,Protein_ProtBERT_SW_block,Protein_embedding
205,protein_emb_205,-0.52859547,0.52859547,Protein_ProtBERT_SW_block,Protein_embedding
610,protein_emb_610,0.52346428,0.52346428,Protein_ProtBERT_SW_block,Protein_embedding
529,protein_emb_529,-0.52327889,0.52327889,Protein_ProtBERT_SW_block,Protein_embedding
592,protein_emb_592,0.52257473,0.52257473,Protein_ProtBERT_SW_block,Protein_embedding
757,protein_emb_757,0.51847169,0.51847169,Protein_ProtBERT_SW_block,Protein_embedding
1070,dnabert2_emb_46,-0.51544958,0.51544958,Genomic_DNABERT2_block,DNABERT2_embedding
884,protein_emb_884,-0.51094025,0.51094025,Protein_ProtBERT_SW_block,Protein_embedding
1121,dnabert2_emb_97,0.507888,0.507888,Genomic_DNABERT2_block,DNABERT2_embedding
707,protein_emb_707,0.50638094,0.50638094,Protein_ProtBERT_SW_block,Protein_embedding
283,protein_emb_283,-0.50569938,0.50569938,Protein_ProtBERT_SW_block,Protein_embedding
695,protein_emb_695,-0.50487941,0.50487941,Protein_ProtBERT_SW_block,Protein_embedding
463,protein_emb_463,0.502059,0.502059,Protein_ProtBERT_SW_block,Protein_embedding
808,protein_emb_808,0.50128152,0.50128152,Protein_ProtBERT_SW_block,Protein_embedding
1045,dnabert2_emb_21,0.5008335,0.5008335,Genomic_DNABERT2_block,DNABERT2_embedding
787,protein_emb_787,0.49686524,0.49686524,Protein_ProtBERT_SW_block,Protein_embedding
941,protein_emb_941,-0.4965657,0.4965657,Protein_ProtBERT_SW_block,Protein_embedding
600,protein_emb_600,-0.49592076,0.49592076,Protein_ProtBERT_SW_block,Protein_embedding
1577,dnabert2_emb_553,-0.49427582,0.49427582,Genomic_DNABERT2_block,DNABERT2_embedding
1570,dnabert2_emb_546,0.4942151,0.4942151,Genomic_DNABERT2_block,DNABERT2_embedding
701,protein_emb_701,0.4939269,0.4939269,Protein_ProtBERT_SW_block,Protein_embedding
1320,dnabert2_emb_296,0.49341826,0.49341826,Genomic_DNABERT2_block,DNABERT2_embedding
1250,dnabert2_emb_226,-0.49183662,0.49183662,Genomic_DNABERT2_block,DNABERT2_embedding
794,protein_emb_794,-0.49005626,0.49005626,Protein_ProtBERT_SW_block,Protein_embedding
1618,dnabert2_emb_594,-0.4897293,0.4897293,Genomic_DNABERT2_block,DNABERT2_embedding
728,protein_emb_728,-0.48732565,0.48732565,Protein_ProtBERT_SW_block,Protein_embedding
763,protein_emb_763,0.48637523,0.48637523,Protein_ProtBERT_SW_block,Protein_embedding
624,protein_emb_624,-0.48613613,0.48613613,Protein_ProtBERT_SW_block,Protein_embedding
1047,dnabert2_emb_23,-0.48460175,0.48460175,Genomic_DNABERT2_block,DNABERT2_embedding
846,protein_emb_846,0.48224945,0.48224945,Protein_ProtBERT_SW_block,Protein_embedding
842,protein_emb_842,-0.48197523,0.48197523,Protein_ProtBERT_SW_block,Protein_embedding
1549,dnabert2_emb_525,0.48185418,0.48185418,Genomic_DNABERT2_block,DNABERT2_embedding
1051,dnabert2_emb_27,-0.4801263,0.4801263,Genomic_DNABERT2_block,DNABERT2_embedding
943,protein_emb_943,-0.47914205,0.47914205,Protein_ProtBERT_SW_block,Protein_embedding
329,protein_emb_329,0.47851546,0.47851546,Protein_ProtBERT_SW_block,Protein_embedding
815,protein_emb_815,-0.47564129,0.47564129,Protein_ProtBERT_SW_block,Protein_embedding
1785,dnabert2_emb_761,0.47335254,0.47335254,Genomic_DNABERT2_block,DNABERT2_embedding
667,protein_emb_667,0.47221769,0.47221769,Protein_ProtBERT_SW_block,Protein_embedding
562,protein_emb_562,-0.47020379,0.47020379,Protein_ProtBERT_SW_block,Protein_embedding
1725,dnabert2_emb_701,-0.46936519,0.46936519,Genomic_DNABERT2_block,DNABERT2_embedding
576,protein_emb_576,0.4687429,0.4687429,Protein_ProtBERT_SW_block,Protein_embedding
629,protein_emb_629,0.46805585,0.46805585,Protein_ProtBERT_SW_block,Protein_embedding
431,protein_emb_431,-0.46794312,0.46794312,Protein_ProtBERT_SW_block,Protein_embedding
296,protein_emb_296,-0.46787786,0.46787786,Protein_ProtBERT_SW_block,Protein_embedding
1610,dnabert2_emb_586,-0.46741891,0.46741891,Genomic_DNABERT2_block,DNABERT2_embedding
177,protein_emb_177,0.46577811,0.46577811,Protein_ProtBERT_SW_block,Protein_embedding
1039,dnabert2_emb_15,-0.46404863,0.46404863,Genomic_DNABERT2_block,DNABERT2_embedding
125,protein_emb_125,-0.46339126,0.46339126,Protein_ProtBERT_SW_block,Protein_embedding
1762,dnabert2_emb_738,-0.46073873,0.46073873,Genomic_DNABERT2_block,DNABERT2_embedding
98,protein_emb_98,0.4598601,0.4598601,Protein_ProtBERT_SW_block,Protein_embedding
1665,dnabert2_emb_641,0.45812443,0.45812443,Genomic_DNABERT2_block,DNABERT2_embedding
1328,dnabert2_emb_304,-0.45658576,0.45658576,Genomic_DNABERT2_block,DNABERT2_embedding
81,protein_emb_81,0.45570396,0.45570396,Protein_ProtBERT_SW_block,Protein_embedding
828,protein_emb_828,0.4556604,0.4556604,Protein_ProtBERT_SW_block,Protein_embedding
807,protein_emb_807,-0.45464844,0.45464844,Protein_ProtBERT_SW_block,Protein_embedding
85,protein_emb_85,-0.45422004,0.45422004,Protein_ProtBERT_SW_block,Protein_embedding
1509,dnabert2_emb_485,-0.45365906,0.45365906,Genomic_DNABERT2_block,DNABERT2_embedding
383,protein_emb_383,0.45168779,0.45168779,Protein_ProtBERT_SW_block,Protein_embedding
40,protein_emb_40,-0.45060516,0.45060516,Protein_ProtBERT_SW_block,Protein_embedding
1520,dnabert2_emb_496,-0.45035849,0.45035849,Genomic_DNABERT2_block,DNABERT2_embedding
1211,dnabert2_emb_187,-0.45024359,0.45024359,Genomic_DNABERT2_block,DNABERT2_embedding
82,protein_emb_82,0.44791208,0.44791208,Protein_ProtBERT_SW_block,Protein_embedding
550,protein_emb_550,-0.44750917,0.44750917,Protein_ProtBERT_SW_block,Protein_embedding
1660,dnabert2_emb_636,0.44642382,0.44642382,Genomic_DNABERT2_block,DNABERT2_embedding
230,protein_emb_230,-0.44632744,0.44632744,Protein_ProtBERT_SW_block,Protein_embedding
753,protein_emb_753,-0.44591412,0.44591412,Protein_ProtBERT_SW_block,Protein_embedding
201,protein_emb_201,0.44493663,0.44493663,Protein_ProtBERT_SW_block,Protein_embedding
