feature_index,feature_name,feature_group,importance_mean_pr_auc_drop,importance_sd_pr_auc_drop
320,genomic_feature_320,Other_basic,0.00579,0.001438
223,genomic_feature_223,Other_basic,0.005506,0.001896
227,genomic_feature_227,Other_basic,0.004972,0.001508
268,genomic_feature_268,Other_basic,0.004788,0.002622
102,genomic_feature_102,Other_basic,0.004619,0.001228
183,genomic_feature_183,Other_basic,0.00397,0.002812
153,genomic_feature_153,Other_basic,0.003866,0.001666
54,genomic_feature_54,Other_basic,0.003782,0.001563
69,genomic_feature_69,Other_basic,0.003719,0.001908
270,genomic_feature_270,Other_basic,0.003311,0.001901
278,genomic_feature_278,Other_basic,0.003256,0.001842
203,genomic_feature_203,Other_basic,0.003214,0.002302
110,genomic_feature_110,Other_basic,0.00319,0.001323
326,genomic_feature_326,Other_basic,0.003148,0.002525
118,genomic_feature_118,Other_basic,0.003143,0.002363
241,genomic_feature_241,Other_basic,0.00313,0.001865
228,genomic_feature_228,Other_basic,0.003122,0.001131
80,genomic_feature_80,Other_basic,0.002968,0.002052
56,genomic_feature_56,Other_basic,0.002915,0.001441
171,genomic_feature_171,Other_basic,0.00284,0.001295
57,genomic_feature_57,Other_basic,0.002793,0.001178
334,genomic_feature_334,Other_basic,0.002736,0.001656
178,genomic_feature_178,Other_basic,0.002732,0.00137
79,genomic_feature_79,Other_basic,0.002725,0.001569
174,genomic_feature_174,Other_basic,0.002704,0.001908
86,genomic_feature_86,Other_basic,0.002649,0.003407
335,genomic_feature_335,Other_basic,0.002588,0.001285
120,genomic_feature_120,Other_basic,0.002498,0.001525
187,genomic_feature_187,Other_basic,0.002471,0.001191
66,genomic_feature_66,Other_basic,0.002403,0.001627
162,genomic_feature_162,Other_basic,0.002311,0.000707
185,genomic_feature_185,Other_basic,0.00225,0.002639
217,genomic_feature_217,Other_basic,0.002205,0.001115
15,genomic_feature_15,Other_basic,0.002183,0.002251
92,genomic_feature_92,Other_basic,0.00217,0.001209
292,genomic_feature_292,Other_basic,0.002101,0.000762
251,genomic_feature_251,Other_basic,0.002046,0.001113
68,genomic_feature_68,Other_basic,0.002033,0.0015
248,genomic_feature_248,Other_basic,0.002023,0.001239
194,genomic_feature_194,Other_basic,0.002002,0.00096
51,genomic_feature_51,Other_basic,0.001908,0.000927
354,genomic_feature_354,Other_basic,0.001886,0.001028
62,genomic_feature_62,Other_basic,0.001862,0.002525
12,genomic_feature_12,Other_basic,0.00186,0.000931
94,genomic_feature_94,Other_basic,0.001801,0.00102
76,genomic_feature_76,Other_basic,0.001782,0.000877
353,genomic_feature_353,Other_basic,0.001739,0.000982
5,genomic_feature_5,Other_basic,0.001676,0.001002
36,genomic_feature_36,Other_basic,0.001675,0.001121
99,genomic_feature_99,Other_basic,0.001604,0.0007
9,genomic_feature_9,Other_basic,0.001603,0.000895
83,genomic_feature_83,Other_basic,0.001592,0.001271
96,genomic_feature_96,Other_basic,0.001573,0.000722
8,genomic_feature_8,Other_basic,0.001564,0.000825
20,genomic_feature_20,Other_basic,0.001491,0.000799
199,genomic_feature_199,Other_basic,0.001485,0.000677
166,genomic_feature_166,Other_basic,0.001465,0.001828
289,genomic_feature_289,Other_basic,0.00144,0.001172
284,genomic_feature_284,Other_basic,0.001431,0.000824
49,genomic_feature_49,Other_basic,0.001426,0.001437
25,genomic_feature_25,Other_basic,0.001369,0.000854
283,genomic_feature_283,Other_basic,0.001366,0.001559
78,genomic_feature_78,Other_basic,0.001366,0.00114
37,genomic_feature_37,Other_basic,0.001331,0.001235
197,genomic_feature_197,Other_basic,0.001327,0.001226
60,genomic_feature_60,Other_basic,0.001297,0.001255
