feature_index,feature_name,feature_group,mean_abs_shap
27,genomic_feature_27,Other_basic,0.00672182
62,genomic_feature_62,Other_basic,0.00495658
86,genomic_feature_86,Other_basic,0.00495251
254,genomic_feature_254,Other_basic,0.00439433
118,genomic_feature_118,Other_basic,0.00437269
278,genomic_feature_278,Other_basic,0.00433401
69,genomic_feature_69,Other_basic,0.0042967
185,genomic_feature_185,Other_basic,0.00426235
203,genomic_feature_203,Other_basic,0.00404714
32,genomic_feature_32,Other_basic,0.00389787
206,genomic_feature_206,Other_basic,0.00386825
80,genomic_feature_80,Other_basic,0.00384035
74,genomic_feature_74,Other_basic,0.0033305
266,genomic_feature_266,Other_basic,0.00323578
326,genomic_feature_326,Other_basic,0.00318244
183,genomic_feature_183,Other_basic,0.00317977
241,genomic_feature_241,Other_basic,0.00293859
227,genomic_feature_227,Other_basic,0.00278301
189,genomic_feature_189,Other_basic,0.00275801
43,genomic_feature_43,Other_basic,0.00275122
268,genomic_feature_268,Other_basic,0.00271649
223,genomic_feature_223,Other_basic,0.00270354
15,genomic_feature_15,Other_basic,0.00268797
26,genomic_feature_26,Other_basic,0.00259638
174,genomic_feature_174,Other_basic,0.00231569
49,genomic_feature_49,Other_basic,0.00229002
21,genomic_feature_21,Other_basic,0.0022566
205,genomic_feature_205,Other_basic,0.00222599
270,genomic_feature_270,Other_basic,0.0022018
153,genomic_feature_153,Other_basic,0.00218046
120,genomic_feature_120,Other_basic,0.00218003
60,genomic_feature_60,Other_basic,0.00213671
110,genomic_feature_110,Other_basic,0.00208518
102,genomic_feature_102,Other_basic,0.00206857
93,genomic_feature_93,Other_basic,0.00205285
331,genomic_feature_331,Other_basic,0.00202662
259,genomic_feature_259,Other_basic,0.00201712
166,genomic_feature_166,Other_basic,0.00197662
202,genomic_feature_202,Other_basic,0.00196312
303,genomic_feature_303,Other_basic,0.00195994
272,genomic_feature_272,Other_basic,0.00194584
66,genomic_feature_66,Other_basic,0.00193922
57,genomic_feature_57,Other_basic,0.00191108
54,genomic_feature_54,Other_basic,0.00184412
78,genomic_feature_78,Other_basic,0.00183142
216,genomic_feature_216,Other_basic,0.0018198
283,genomic_feature_283,Other_basic,0.00178057
253,genomic_feature_253,Other_basic,0.00172721
197,genomic_feature_197,Other_basic,0.00171156
71,genomic_feature_71,Other_basic,0.00170812
56,genomic_feature_56,Other_basic,0.00167861
322,genomic_feature_322,Other_basic,0.00166816
41,genomic_feature_41,Other_basic,0.00164612
13,genomic_feature_13,Other_basic,0.00162299
67,genomic_feature_67,Other_basic,0.00161334
83,genomic_feature_83,Other_basic,0.00157785
234,genomic_feature_234,Other_basic,0.00155241
229,genomic_feature_229,Other_basic,0.00154105
5,genomic_feature_5,Other_basic,0.00149978
61,genomic_feature_61,Other_basic,0.00149669
195,genomic_feature_195,Other_basic,0.00148901
28,genomic_feature_28,Other_basic,0.00148792
92,genomic_feature_92,Other_basic,0.00147736
85,genomic_feature_85,Other_basic,0.00146965
250,genomic_feature_250,Other_basic,0.00146493
187,genomic_feature_187,Other_basic,0.00146299
338,genomic_feature_338,Other_basic,0.00145566
14,genomic_feature_14,Other_basic,0.00141841
20,genomic_feature_20,Other_basic,0.00140581
315,genomic_feature_315,Other_basic,0.00138885
17,genomic_feature_17,Other_basic,0.00138611
302,genomic_feature_302,Other_basic,0.00137719
137,genomic_feature_137,Other_basic,0.00135902
335,genomic_feature_335,Other_basic,0.00134265
225,genomic_feature_225,Other_basic,0.00134227
47,genomic_feature_47,Other_basic,0.00133242
275,genomic_feature_275,Other_basic,0.00133056
179,genomic_feature_179,Other_basic,0.00132559
79,genomic_feature_79,Other_basic,0.00130597
178,genomic_feature_178,Other_basic,0.00130481
217,genomic_feature_217,Other_basic,0.00126285
194,genomic_feature_194,Other_basic,0.00125548
287,genomic_feature_287,Other_basic,0.00124936
247,genomic_feature_247,Other_basic,0.00124074
262,genomic_feature_262,Other_basic,0.00123219
75,genomic_feature_75,Other_basic,0.00122392
64,genomic_feature_64,Other_basic,0.00122019
171,genomic_feature_171,Other_basic,0.0012094
42,genomic_feature_42,Other_basic,0.00120197
58,genomic_feature_58,Other_basic,0.00116704
337,genomic_feature_337,Other_basic,0.00115979
29,genomic_feature_29,Other_basic,0.00113531
84,genomic_feature_84,Other_basic,0.00112283
19,genomic_feature_19,Other_basic,0.00111637
162,genomic_feature_162,Other_basic,0.0011125
289,genomic_feature_289,Other_basic,0.00108383
65,genomic_feature_65,Other_basic,0.00106752
260,genomic_feature_260,Other_basic,0.00106117
94,genomic_feature_94,Other_basic,0.00105686
257,genomic_feature_257,Other_basic,0.0010351
12,genomic_feature_12,Other_basic,0.00102566
233,genomic_feature_233,Other_basic,0.00102428
181,genomic_feature_181,Other_basic,0.00100767
325,genomic_feature_325,Other_basic,0.0010067
273,genomic_feature_273,Other_basic,0.00098922
309,genomic_feature_309,Other_basic,0.00094568
228,genomic_feature_228,Other_basic,0.00094341
355,genomic_feature_355,Other_basic,0.00093802
125,genomic_feature_125,Other_basic,0.00093474
226,genomic_feature_226,Other_basic,0.0009345
248,genomic_feature_248,Other_basic,0.00093194
184,genomic_feature_184,Other_basic,0.00093189
99,genomic_feature_99,Other_basic,0.00092849
138,genomic_feature_138,Other_basic,0.00092419
72,genomic_feature_72,Other_basic,0.00092276
354,genomic_feature_354,Other_basic,0.00091573
180,genomic_feature_180,Other_basic,0.00091473
158,genomic_feature_158,Other_basic,0.00089838
263,genomic_feature_263,Other_basic,0.00089651
16,genomic_feature_16,Other_basic,0.000896
37,genomic_feature_37,Other_basic,0.00089437
23,genomic_feature_23,Other_basic,0.00089202
96,genomic_feature_96,Other_basic,0.00089121
2,genomic_feature_2,Other_basic,0.00088702
53,genomic_feature_53,Other_basic,0.00088245
104,genomic_feature_104,Other_basic,0.00087252
155,genomic_feature_155,Other_basic,0.00086386
347,genomic_feature_347,Other_basic,0.00086134
128,genomic_feature_128,Other_basic,0.00085889
33,genomic_feature_33,Other_basic,0.00084349
219,genomic_feature_219,Other_basic,0.00084016
251,genomic_feature_251,Other_basic,0.00082954
24,genomic_feature_24,Other_basic,0.00082713
177,genomic_feature_177,Other_basic,0.00082424
276,genomic_feature_276,Other_basic,0.00082328
290,genomic_feature_290,Other_basic,0.00081762
6,genomic_feature_6,Other_basic,0.00081513
353,genomic_feature_353,Other_basic,0.0008144
34,genomic_feature_34,Other_basic,0.00081303
18,genomic_feature_18,Other_basic,0.00080774
245,genomic_feature_245,Other_basic,0.00080685
301,genomic_feature_301,Other_basic,0.0008061
31,genomic_feature_31,Other_basic,0.00079679
218,genomic_feature_218,Other_basic,0.00078168
190,genomic_feature_190,Other_basic,0.00077731
281,genomic_feature_281,Other_basic,0.00077375
296,genomic_feature_296,Other_basic,0.00076894
332,genomic_feature_332,Other_basic,0.00076875
199,genomic_feature_199,Other_basic,0.00076743
3,genomic_feature_3,Other_basic,0.00076349
115,genomic_feature_115,Other_basic,0.00075955
146,genomic_feature_146,Other_basic,0.00075448
317,genomic_feature_317,Other_basic,0.00075156
51,genomic_feature_51,Other_basic,0.00074953
144,genomic_feature_144,Other_basic,0.00074842
114,genomic_feature_114,Other_basic,0.00074746
35,genomic_feature_35,Other_basic,0.00074395
285,genomic_feature_285,Other_basic,0.00074021
318,genomic_feature_318,Other_basic,0.00073998
191,genomic_feature_191,Other_basic,0.00073275
30,genomic_feature_30,Other_basic,0.00072436
341,genomic_feature_341,Other_basic,0.00072395
243,genomic_feature_243,Other_basic,0.00072334
340,genomic_feature_340,Other_basic,0.0007217
320,genomic_feature_320,Other_basic,0.00072074
91,genomic_feature_91,Other_basic,0.00071616
193,genomic_feature_193,Other_basic,0.00071534
1,genomic_feature_1,Other_basic,0.00070787
11,genomic_feature_11,Other_basic,0.00070488
76,genomic_feature_76,Other_basic,0.00070406
316,genomic_feature_316,Other_basic,0.00070365
63,genomic_feature_63,Other_basic,0.00070173
36,genomic_feature_36,Other_basic,0.00070085
334,genomic_feature_334,Other_basic,0.0007004
313,genomic_feature_313,Other_basic,0.00069435
44,genomic_feature_44,Other_basic,0.00069189
343,genomic_feature_343,Other_basic,0.00069162
231,genomic_feature_231,Other_basic,0.0006908
154,genomic_feature_154,Other_basic,0.00067985
351,genomic_feature_351,Other_basic,0.0006793
46,genomic_feature_46,Other_basic,0.00067129
235,genomic_feature_235,Other_basic,0.00067055
133,genomic_feature_133,Other_basic,0.00067008
117,genomic_feature_117,Other_basic,0.00065992
310,genomic_feature_310,Other_basic,0.00065432
182,genomic_feature_182,Other_basic,0.00065313
97,genomic_feature_97,Other_basic,0.00064881
163,genomic_feature_163,Other_basic,0.00064837
165,genomic_feature_165,Other_basic,0.00064695
50,genomic_feature_50,Other_basic,0.00064397
236,genomic_feature_236,Other_basic,0.00063786
261,genomic_feature_261,Other_basic,0.0006374
68,genomic_feature_68,Other_basic,0.00063302
299,genomic_feature_299,Other_basic,0.00063146
98,genomic_feature_98,Other_basic,0.00062946
186,genomic_feature_186,Other_basic,0.00062943
123,genomic_feature_123,Other_basic,0.00061674
237,genomic_feature_237,Other_basic,0.00061546
201,genomic_feature_201,Other_basic,0.00061398
52,genomic_feature_52,Other_basic,0.0006137
188,genomic_feature_188,Other_basic,0.00060651
77,genomic_feature_77,Other_basic,0.0006046
274,genomic_feature_274,Other_basic,0.00060372
82,genomic_feature_82,Other_basic,0.00060304
100,genomic_feature_100,Other_basic,0.00060187
111,genomic_feature_111,Other_basic,0.00060079
45,genomic_feature_45,Other_basic,0.00060072
105,genomic_feature_105,Other_basic,0.00059879
150,genomic_feature_150,Other_basic,0.00059743
9,genomic_feature_9,Other_basic,0.00059728
101,genomic_feature_101,Other_basic,0.00059535
88,genomic_feature_88,Other_basic,0.00058749
349,genomic_feature_349,Other_basic,0.00057955
89,genomic_feature_89,Other_basic,0.00057952
107,genomic_feature_107,Other_basic,0.00057536
38,genomic_feature_38,Other_basic,0.00056706
277,genomic_feature_277,Other_basic,0.00056666
10,genomic_feature_10,Other_basic,0.00056562
4,genomic_feature_4,Other_basic,0.00056319
8,genomic_feature_8,Other_basic,0.0005626
258,genomic_feature_258,Other_basic,0.00056099
344,genomic_feature_344,Other_basic,0.00055896
157,genomic_feature_157,Other_basic,0.0005566
284,genomic_feature_284,Other_basic,0.00054919
249,genomic_feature_249,Other_basic,0.00054391
265,genomic_feature_265,Other_basic,0.00054325
122,genomic_feature_122,Other_basic,0.00054191
164,genomic_feature_164,Other_basic,0.00054176
297,genomic_feature_297,Other_basic,0.0005401
336,genomic_feature_336,Other_basic,0.00053672
286,genomic_feature_286,Other_basic,0.00053624
328,genomic_feature_328,Other_basic,0.00053017
321,genomic_feature_321,Other_basic,0.00052814
292,genomic_feature_292,Other_basic,0.00052688
106,genomic_feature_106,Other_basic,0.0005264
211,genomic_feature_211,Other_basic,0.00052481
22,genomic_feature_22,Other_basic,0.00052186
95,genomic_feature_95,Other_basic,0.00051424
142,genomic_feature_142,Other_basic,0.00051317
252,genomic_feature_252,Other_basic,0.00051214
121,genomic_feature_121,Other_basic,0.00051146
214,genomic_feature_214,Other_basic,0.0005111
81,genomic_feature_81,Other_basic,0.00051103
160,genomic_feature_160,Other_basic,0.00050788
156,genomic_feature_156,Other_basic,0.00050683
200,genomic_feature_200,Other_basic,0.00050653
279,genomic_feature_279,Other_basic,0.00050219
327,genomic_feature_327,Other_basic,0.0005004
127,genomic_feature_127,Other_basic,0.00050009
130,genomic_feature_130,Other_basic,0.00049538
168,genomic_feature_168,Other_basic,0.00049305
136,genomic_feature_136,Other_basic,0.00048939
143,genomic_feature_143,Other_basic,0.00048935
55,genomic_feature_55,Other_basic,0.00048738
311,genomic_feature_311,Other_basic,0.00048526
239,genomic_feature_239,Other_basic,0.00048153
352,genomic_feature_352,Other_basic,0.00047792
345,genomic_feature_345,Other_basic,0.00047755
108,genomic_feature_108,Other_basic,0.00047718
25,genomic_feature_25,Other_basic,0.00047699
148,genomic_feature_148,Other_basic,0.00047695
167,genomic_feature_167,Other_basic,0.00047669
145,genomic_feature_145,Other_basic,0.00047513
221,genomic_feature_221,Other_basic,0.00047396
131,genomic_feature_131,Other_basic,0.00047353
220,genomic_feature_220,Other_basic,0.00047185
306,genomic_feature_306,Other_basic,0.00046975
124,genomic_feature_124,Other_basic,0.00046154
269,genomic_feature_269,Other_basic,0.00045771
255,genomic_feature_255,Other_basic,0.00045597
59,genomic_feature_59,Other_basic,0.00045565
175,genomic_feature_175,Other_basic,0.00045252
173,genomic_feature_173,Other_basic,0.00044896
170,genomic_feature_170,Other_basic,0.00044846
129,genomic_feature_129,Other_basic,0.0004482
329,genomic_feature_329,Other_basic,0.00044744
73,genomic_feature_73,Other_basic,0.00044717
198,genomic_feature_198,Other_basic,0.00044585
103,genomic_feature_103,Other_basic,0.00044583
238,genomic_feature_238,Other_basic,0.00044219
7,genomic_feature_7,Other_basic,0.00044048
330,genomic_feature_330,Other_basic,0.00043909
242,genomic_feature_242,Other_basic,0.00043904
135,genomic_feature_135,Other_basic,0.00043692
161,genomic_feature_161,Other_basic,0.00043593
70,genomic_feature_70,Other_basic,0.0004359
246,genomic_feature_246,Other_basic,0.00043321
109,genomic_feature_109,Other_basic,0.00043317
294,genomic_feature_294,Other_basic,0.00043302
39,genomic_feature_39,Other_basic,0.00042907
212,genomic_feature_212,Other_basic,0.00042736
324,genomic_feature_324,Other_basic,0.00042662
112,genomic_feature_112,Other_basic,0.00042614
87,genomic_feature_87,Other_basic,0.00042278
116,genomic_feature_116,Other_basic,0.00042264
282,genomic_feature_282,Other_basic,0.00041925
291,genomic_feature_291,Other_basic,0.00041634
232,genomic_feature_232,Other_basic,0.00041482
172,genomic_feature_172,Other_basic,0.00041412
169,genomic_feature_169,Other_basic,0.00041204
280,genomic_feature_280,Other_basic,0.00040793
48,genomic_feature_48,Other_basic,0.00040756
132,genomic_feature_132,Other_basic,0.00040735
271,genomic_feature_271,Other_basic,0.000407
323,genomic_feature_323,Other_basic,0.0004052
213,genomic_feature_213,Other_basic,0.00040303
339,genomic_feature_339,Other_basic,0.00040256
140,genomic_feature_140,Other_basic,0.00040119
149,genomic_feature_149,Other_basic,0.00039913
151,genomic_feature_151,Other_basic,0.00039455
304,genomic_feature_304,Other_basic,0.00039373
312,genomic_feature_312,Other_basic,0.00039363
307,genomic_feature_307,Other_basic,0.00039169
298,genomic_feature_298,Other_basic,0.00038825
342,genomic_feature_342,Other_basic,0.00038398
244,genomic_feature_244,Other_basic,0.00038117
192,genomic_feature_192,Other_basic,0.00037295
215,genomic_feature_215,Other_basic,0.00037204
264,genomic_feature_264,Other_basic,0.00036814
293,genomic_feature_293,Other_basic,0.00036805
207,genomic_feature_207,Other_basic,0.00036766
90,genomic_feature_90,Other_basic,0.00036279
147,genomic_feature_147,Other_basic,0.00036136
