feature_index,feature_name,coefficient,abs_coefficient,block,feature_group
338,protein_emb_338,1.019109,1.019109,Protein_ProtBERT_SW_block,Protein_embedding
656,protein_emb_656,1.00763185,1.00763185,Protein_ProtBERT_SW_block,Protein_embedding
540,protein_emb_540,0.96665323,0.96665323,Protein_ProtBERT_SW_block,Protein_embedding
453,protein_emb_453,0.95439886,0.95439886,Protein_ProtBERT_SW_block,Protein_embedding
433,protein_emb_433,0.95397096,0.95397096,Protein_ProtBERT_SW_block,Protein_embedding
222,protein_emb_222,-0.93945751,0.93945751,Protein_ProtBERT_SW_block,Protein_embedding
1227,genomic_genomic_feature_203,0.91715533,0.91715533,Genomic_K3K4Basic_block,Other_basic
673,protein_emb_673,-0.91312733,0.91312733,Protein_ProtBERT_SW_block,Protein_embedding
283,protein_emb_283,-0.91046471,0.91046471,Protein_ProtBERT_SW_block,Protein_embedding
351,protein_emb_351,-0.90854668,0.90854668,Protein_ProtBERT_SW_block,Protein_embedding
48,protein_emb_48,0.90533738,0.90533738,Protein_ProtBERT_SW_block,Protein_embedding
717,protein_emb_717,0.9047061,0.9047061,Protein_ProtBERT_SW_block,Protein_embedding
657,protein_emb_657,0.85249367,0.85249367,Protein_ProtBERT_SW_block,Protein_embedding
180,protein_emb_180,-0.84732921,0.84732921,Protein_ProtBERT_SW_block,Protein_embedding
727,protein_emb_727,0.8445535,0.8445535,Protein_ProtBERT_SW_block,Protein_embedding
720,protein_emb_720,0.8039956,0.8039956,Protein_ProtBERT_SW_block,Protein_embedding
1001,protein_emb_1001,-0.80131219,0.80131219,Protein_ProtBERT_SW_block,Protein_embedding
648,protein_emb_648,0.78766197,0.78766197,Protein_ProtBERT_SW_block,Protein_embedding
160,protein_emb_160,-0.78203028,0.78203028,Protein_ProtBERT_SW_block,Protein_embedding
794,protein_emb_794,-0.77724319,0.77724319,Protein_ProtBERT_SW_block,Protein_embedding
734,protein_emb_734,0.7655502,0.7655502,Protein_ProtBERT_SW_block,Protein_embedding
842,protein_emb_842,-0.76464963,0.76464963,Protein_ProtBERT_SW_block,Protein_embedding
931,protein_emb_931,0.76358867,0.76358867,Protein_ProtBERT_SW_block,Protein_embedding
925,protein_emb_925,0.75383616,0.75383616,Protein_ProtBERT_SW_block,Protein_embedding
947,protein_emb_947,0.75190578,0.75190578,Protein_ProtBERT_SW_block,Protein_embedding
814,protein_emb_814,-0.75052383,0.75052383,Protein_ProtBERT_SW_block,Protein_embedding
667,protein_emb_667,0.7383433,0.7383433,Protein_ProtBERT_SW_block,Protein_embedding
550,protein_emb_550,-0.72917294,0.72917294,Protein_ProtBERT_SW_block,Protein_embedding
356,protein_emb_356,-0.72767015,0.72767015,Protein_ProtBERT_SW_block,Protein_embedding
435,protein_emb_435,0.72630128,0.72630128,Protein_ProtBERT_SW_block,Protein_embedding
751,protein_emb_751,0.72542471,0.72542471,Protein_ProtBERT_SW_block,Protein_embedding
592,protein_emb_592,0.72500807,0.72500807,Protein_ProtBERT_SW_block,Protein_embedding
757,protein_emb_757,0.72488829,0.72488829,Protein_ProtBERT_SW_block,Protein_embedding
821,protein_emb_821,0.72413936,0.72413936,Protein_ProtBERT_SW_block,Protein_embedding
813,protein_emb_813,0.72305419,0.72305419,Protein_ProtBERT_SW_block,Protein_embedding
197,protein_emb_197,-0.71677403,0.71677403,Protein_ProtBERT_SW_block,Protein_embedding
967,protein_emb_967,0.7150558,0.7150558,Protein_ProtBERT_SW_block,Protein_embedding
44,protein_emb_44,-0.71441433,0.71441433,Protein_ProtBERT_SW_block,Protein_embedding
976,protein_emb_976,0.70628057,0.70628057,Protein_ProtBERT_SW_block,Protein_embedding
580,protein_emb_580,-0.70000486,0.70000486,Protein_ProtBERT_SW_block,Protein_embedding
803,protein_emb_803,-0.69598345,0.69598345,Protein_ProtBERT_SW_block,Protein_embedding
763,protein_emb_763,0.69526275,0.69526275,Protein_ProtBERT_SW_block,Protein_embedding
253,protein_emb_253,-0.68875432,0.68875432,Protein_ProtBERT_SW_block,Protein_embedding
98,protein_emb_98,0.68873655,0.68873655,Protein_ProtBERT_SW_block,Protein_embedding
1011,protein_emb_1011,-0.68230237,0.68230237,Protein_ProtBERT_SW_block,Protein_embedding
75,protein_emb_75,0.68031759,0.68031759,Protein_ProtBERT_SW_block,Protein_embedding
1165,genomic_genomic_feature_141,0.67620348,0.67620348,Genomic_K3K4Basic_block,Other_basic
296,protein_emb_296,-0.67520979,0.67520979,Protein_ProtBERT_SW_block,Protein_embedding
755,protein_emb_755,0.67091625,0.67091625,Protein_ProtBERT_SW_block,Protein_embedding
623,protein_emb_623,0.66987087,0.66987087,Protein_ProtBERT_SW_block,Protein_embedding
251,protein_emb_251,0.66493624,0.66493624,Protein_ProtBERT_SW_block,Protein_embedding
892,protein_emb_892,0.66374293,0.66374293,Protein_ProtBERT_SW_block,Protein_embedding
804,protein_emb_804,0.65847194,0.65847194,Protein_ProtBERT_SW_block,Protein_embedding
500,protein_emb_500,-0.65262189,0.65262189,Protein_ProtBERT_SW_block,Protein_embedding
94,protein_emb_94,-0.64080021,0.64080021,Protein_ProtBERT_SW_block,Protein_embedding
1260,genomic_genomic_feature_236,-0.63666277,0.63666277,Genomic_K3K4Basic_block,Other_basic
136,protein_emb_136,-0.63637661,0.63637661,Protein_ProtBERT_SW_block,Protein_embedding
841,protein_emb_841,0.63434623,0.63434623,Protein_ProtBERT_SW_block,Protein_embedding
83,protein_emb_83,0.62848323,0.62848323,Protein_ProtBERT_SW_block,Protein_embedding
828,protein_emb_828,0.62773705,0.62773705,Protein_ProtBERT_SW_block,Protein_embedding
909,protein_emb_909,-0.62491827,0.62491827,Protein_ProtBERT_SW_block,Protein_embedding
52,protein_emb_52,0.61461958,0.61461958,Protein_ProtBERT_SW_block,Protein_embedding
610,protein_emb_610,0.61374253,0.61374253,Protein_ProtBERT_SW_block,Protein_embedding
329,protein_emb_329,0.61354501,0.61354501,Protein_ProtBERT_SW_block,Protein_embedding
1285,genomic_genomic_feature_261,-0.61241882,0.61241882,Genomic_K3K4Basic_block,Other_basic
419,protein_emb_419,0.61083848,0.61083848,Protein_ProtBERT_SW_block,Protein_embedding
1229,genomic_genomic_feature_205,-0.60921771,0.60921771,Genomic_K3K4Basic_block,Other_basic
989,protein_emb_989,0.60910949,0.60910949,Protein_ProtBERT_SW_block,Protein_embedding
192,protein_emb_192,-0.6072018,0.6072018,Protein_ProtBERT_SW_block,Protein_embedding
431,protein_emb_431,-0.60648353,0.60648353,Protein_ProtBERT_SW_block,Protein_embedding
400,protein_emb_400,0.60580511,0.60580511,Protein_ProtBERT_SW_block,Protein_embedding
1309,genomic_genomic_feature_285,0.60549907,0.60549907,Genomic_K3K4Basic_block,Other_basic
328,protein_emb_328,-0.60476206,0.60476206,Protein_ProtBERT_SW_block,Protein_embedding
82,protein_emb_82,0.60244596,0.60244596,Protein_ProtBERT_SW_block,Protein_embedding
632,protein_emb_632,0.59210024,0.59210024,Protein_ProtBERT_SW_block,Protein_embedding
361,protein_emb_361,0.5920211,0.5920211,Protein_ProtBERT_SW_block,Protein_embedding
1265,genomic_genomic_feature_241,-0.59069279,0.59069279,Genomic_K3K4Basic_block,Other_basic
275,protein_emb_275,0.58963133,0.58963133,Protein_ProtBERT_SW_block,Protein_embedding
843,protein_emb_843,-0.58888612,0.58888612,Protein_ProtBERT_SW_block,Protein_embedding
