feature_index,feature_name,feature_group,feature_name_source
0,genomic_feature_320,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
1,genomic_feature_223,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
2,genomic_feature_227,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
3,genomic_feature_268,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
4,genomic_feature_102,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
5,genomic_feature_183,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
6,genomic_feature_153,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
7,genomic_feature_54,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
8,genomic_feature_69,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
9,genomic_feature_270,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
10,genomic_feature_278,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
11,genomic_feature_203,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
12,genomic_feature_110,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
13,genomic_feature_326,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
14,genomic_feature_118,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
15,genomic_feature_241,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
16,genomic_feature_228,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
17,genomic_feature_80,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
18,genomic_feature_56,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
19,genomic_feature_171,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
20,genomic_feature_57,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
21,genomic_feature_334,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
22,genomic_feature_178,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
23,genomic_feature_79,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
24,genomic_feature_174,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
25,genomic_feature_86,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
26,genomic_feature_335,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
27,genomic_feature_120,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
28,genomic_feature_187,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
29,genomic_feature_66,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
30,genomic_feature_162,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
31,genomic_feature_185,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
32,genomic_feature_217,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
33,genomic_feature_15,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
