feature_index,old_feature_name,old_feature_group,importance_mean_pr_auc_drop,importance_sd_pr_auc_drop,feature_name,feature_group
320,genomic_feature_320,Other_basic,0.00579,0.001438,genomic_feature_239,Other_basic
223,genomic_feature_223,Other_basic,0.005506,0.001896,genomic_feature_84,Other_basic
227,genomic_feature_227,Other_basic,0.004972,0.001508,genomic_feature_144,Other_basic
268,genomic_feature_268,Other_basic,0.004788,0.002622,genomic_feature_82,Other_basic
102,genomic_feature_102,Other_basic,0.004619,0.001228,genomic_feature_226,Other_basic
183,genomic_feature_183,Other_basic,0.00397,0.002812,genomic_feature_350,Other_basic
153,genomic_feature_153,Other_basic,0.003866,0.001666,genomic_feature_296,Other_basic
54,genomic_feature_54,Other_basic,0.003782,0.001563,genomic_feature_20,Other_basic
69,genomic_feature_69,Other_basic,0.003719,0.001908,genomic_feature_237,Other_basic
270,genomic_feature_270,Other_basic,0.003311,0.001901,genomic_feature_192,Other_basic
278,genomic_feature_278,Other_basic,0.003256,0.001842,genomic_feature_307,Other_basic
203,genomic_feature_203,Other_basic,0.003214,0.002302,genomic_feature_148,Other_basic
110,genomic_feature_110,Other_basic,0.00319,0.001323,genomic_feature_165,Other_basic
326,genomic_feature_326,Other_basic,0.003148,0.002525,genomic_feature_186,Other_basic
118,genomic_feature_118,Other_basic,0.003143,0.002363,genomic_feature_128,Other_basic
241,genomic_feature_241,Other_basic,0.00313,0.001865,genomic_feature_304,Other_basic
228,genomic_feature_228,Other_basic,0.003122,0.001131,genomic_feature_349,Other_basic
80,genomic_feature_80,Other_basic,0.002968,0.002052,genomic_feature_7,Other_basic
56,genomic_feature_56,Other_basic,0.002915,0.001441,genomic_feature_166,Other_basic
171,genomic_feature_171,Other_basic,0.00284,0.001295,genomic_feature_325,Other_basic
57,genomic_feature_57,Other_basic,0.002793,0.001178,genomic_feature_289,Other_basic
334,genomic_feature_334,Other_basic,0.002736,0.001656,genomic_feature_26,Other_basic
178,genomic_feature_178,Other_basic,0.002732,0.00137,genomic_feature_191,Other_basic
79,genomic_feature_79,Other_basic,0.002725,0.001569,genomic_feature_24,Other_basic
174,genomic_feature_174,Other_basic,0.002704,0.001908,genomic_feature_300,Other_basic
86,genomic_feature_86,Other_basic,0.002649,0.003407,genomic_feature_121,Other_basic
335,genomic_feature_335,Other_basic,0.002588,0.001285,genomic_feature_238,Other_basic
120,genomic_feature_120,Other_basic,0.002498,0.001525,genomic_feature_233,Other_basic
187,genomic_feature_187,Other_basic,0.002471,0.001191,genomic_feature_290,Other_basic
66,genomic_feature_66,Other_basic,0.002403,0.001627,genomic_feature_272,Other_basic
162,genomic_feature_162,Other_basic,0.002311,0.000707,genomic_feature_181,Other_basic
185,genomic_feature_185,Other_basic,0.00225,0.002639,genomic_feature_212,Other_basic
217,genomic_feature_217,Other_basic,0.002205,0.001115,genomic_feature_259,Other_basic
15,genomic_feature_15,Other_basic,0.002183,0.002251,genomic_feature_241,Other_basic
92,genomic_feature_92,Other_basic,0.00217,0.001209,genomic_feature_29,Other_basic
292,genomic_feature_292,Other_basic,0.002101,0.000762,genomic_feature_329,Other_basic
251,genomic_feature_251,Other_basic,0.002046,0.001113,genomic_feature_130,Other_basic
68,genomic_feature_68,Other_basic,0.002033,0.0015,genomic_feature_138,Other_basic
248,genomic_feature_248,Other_basic,0.002023,0.001239,genomic_feature_125,Other_basic
194,genomic_feature_194,Other_basic,0.002002,0.00096,genomic_feature_288,Other_basic
51,genomic_feature_51,Other_basic,0.001908,0.000927,genomic_feature_83,Other_basic
354,genomic_feature_354,Other_basic,0.001886,0.001028,genomic_feature_254,Other_basic
62,genomic_feature_62,Other_basic,0.001862,0.002525,genomic_feature_78,Other_basic
