feature_index,old_feature_name,old_feature_group,mean_abs_shap,feature_name,feature_group
27,genomic_feature_27,Other_basic,0.00672182,genomic_feature_120,Other_basic
62,genomic_feature_62,Other_basic,0.00495658,genomic_feature_78,Other_basic
86,genomic_feature_86,Other_basic,0.00495251,genomic_feature_121,Other_basic
254,genomic_feature_254,Other_basic,0.00439433,genomic_feature_10,Other_basic
118,genomic_feature_118,Other_basic,0.00437269,genomic_feature_128,Other_basic
278,genomic_feature_278,Other_basic,0.00433401,genomic_feature_307,Other_basic
69,genomic_feature_69,Other_basic,0.0042967,genomic_feature_237,Other_basic
185,genomic_feature_185,Other_basic,0.00426235,genomic_feature_212,Other_basic
203,genomic_feature_203,Other_basic,0.00404714,genomic_feature_148,Other_basic
32,genomic_feature_32,Other_basic,0.00389787,genomic_feature_217,Other_basic
206,genomic_feature_206,Other_basic,0.00386825,genomic_feature_88,Other_basic
80,genomic_feature_80,Other_basic,0.00384035,genomic_feature_7,Other_basic
74,genomic_feature_74,Other_basic,0.0033305,genomic_feature_274,Other_basic
266,genomic_feature_266,Other_basic,0.00323578,genomic_feature_139,Other_basic
326,genomic_feature_326,Other_basic,0.00318244,genomic_feature_186,Other_basic
183,genomic_feature_183,Other_basic,0.00317977,genomic_feature_350,Other_basic
241,genomic_feature_241,Other_basic,0.00293859,genomic_feature_304,Other_basic
227,genomic_feature_227,Other_basic,0.00278301,genomic_feature_144,Other_basic
189,genomic_feature_189,Other_basic,0.00275801,genomic_feature_81,Other_basic
43,genomic_feature_43,Other_basic,0.00275122,genomic_feature_12,Other_basic
268,genomic_feature_268,Other_basic,0.00271649,genomic_feature_82,Other_basic
223,genomic_feature_223,Other_basic,0.00270354,genomic_feature_84,Other_basic
15,genomic_feature_15,Other_basic,0.00268797,genomic_feature_241,Other_basic
26,genomic_feature_26,Other_basic,0.00259638,genomic_feature_335,Other_basic
174,genomic_feature_174,Other_basic,0.00231569,genomic_feature_300,Other_basic
49,genomic_feature_49,Other_basic,0.00229002,genomic_feature_99,Other_basic
21,genomic_feature_21,Other_basic,0.0022566,genomic_feature_334,Other_basic
205,genomic_feature_205,Other_basic,0.00222599,genomic_feature_266,Other_basic
270,genomic_feature_270,Other_basic,0.0022018,genomic_feature_192,Other_basic
153,genomic_feature_153,Other_basic,0.00218046,genomic_feature_296,Other_basic
120,genomic_feature_120,Other_basic,0.00218003,genomic_feature_233,Other_basic
60,genomic_feature_60,Other_basic,0.00213671,genomic_feature_25,Other_basic
110,genomic_feature_110,Other_basic,0.00208518,genomic_feature_165,Other_basic
102,genomic_feature_102,Other_basic,0.00206857,genomic_feature_226,Other_basic
93,genomic_feature_93,Other_basic,0.00205285,genomic_feature_317,Other_basic
331,genomic_feature_331,Other_basic,0.00202662,genomic_feature_269,Other_basic
259,genomic_feature_259,Other_basic,0.00201712,genomic_feature_336,Other_basic
166,genomic_feature_166,Other_basic,0.00197662,genomic_feature_345,Other_basic
202,genomic_feature_202,Other_basic,0.00196312,genomic_feature_0,Other_basic
303,genomic_feature_303,Other_basic,0.00195994,genomic_feature_114,Other_basic
272,genomic_feature_272,Other_basic,0.00194584,genomic_feature_328,Other_basic
66,genomic_feature_66,Other_basic,0.00193922,genomic_feature_272,Other_basic
57,genomic_feature_57,Other_basic,0.00191108,genomic_feature_289,Other_basic
54,genomic_feature_54,Other_basic,0.00184412,genomic_feature_20,Other_basic
78,genomic_feature_78,Other_basic,0.00183142,genomic_feature_145,Other_basic
216,genomic_feature_216,Other_basic,0.0018198,genomic_feature_309,Other_basic
283,genomic_feature_283,Other_basic,0.00178057,genomic_feature_147,Other_basic
253,genomic_feature_253,Other_basic,0.00172721,genomic_feature_42,Other_basic
197,genomic_feature_197,Other_basic,0.00171156,genomic_feature_286,Other_basic
71,genomic_feature_71,Other_basic,0.00170812,genomic_feature_265,Other_basic
56,genomic_feature_56,Other_basic,0.00167861,genomic_feature_166,Other_basic
322,genomic_feature_322,Other_basic,0.00166816,genomic_feature_119,Other_basic
41,genomic_feature_41,Other_basic,0.00164612,genomic_feature_354,Other_basic
13,genomic_feature_13,Other_basic,0.00162299,genomic_feature_326,Other_basic
67,genomic_feature_67,Other_basic,0.00161334,genomic_feature_98,Other_basic
83,genomic_feature_83,Other_basic,0.00157785,genomic_feature_193,Other_basic
234,genomic_feature_234,Other_basic,0.00155241,genomic_feature_275,Other_basic
229,genomic_feature_229,Other_basic,0.00154105,genomic_feature_291,Other_basic
5,genomic_feature_5,Other_basic,0.00149978,genomic_feature_183,Other_basic
61,genomic_feature_61,Other_basic,0.00149669,genomic_feature_283,Other_basic
195,genomic_feature_195,Other_basic,0.00148901,genomic_feature_343,Other_basic
28,genomic_feature_28,Other_basic,0.00148792,genomic_feature_187,Other_basic
92,genomic_feature_92,Other_basic,0.00147736,genomic_feature_29,Other_basic
85,genomic_feature_85,Other_basic,0.00146965,genomic_feature_303,Other_basic
250,genomic_feature_250,Other_basic,0.00146493,genomic_feature_207,Other_basic
187,genomic_feature_187,Other_basic,0.00146299,genomic_feature_290,Other_basic
338,genomic_feature_338,Other_basic,0.00145566,genomic_feature_318,Other_basic
14,genomic_feature_14,Other_basic,0.00141841,genomic_feature_118,Other_basic
20,genomic_feature_20,Other_basic,0.00140581,genomic_feature_57,Other_basic
315,genomic_feature_315,Other_basic,0.00138885,genomic_feature_249,Other_basic
17,genomic_feature_17,Other_basic,0.00138611,genomic_feature_80,Other_basic
302,genomic_feature_302,Other_basic,0.00137719,genomic_feature_211,Other_basic
137,genomic_feature_137,Other_basic,0.00135902,genomic_feature_316,Other_basic
335,genomic_feature_335,Other_basic,0.00134265,genomic_feature_238,Other_basic
225,genomic_feature_225,Other_basic,0.00134227,genomic_feature_208,Other_basic
47,genomic_feature_47,Other_basic,0.00133242,genomic_feature_5,Other_basic
275,genomic_feature_275,Other_basic,0.00133056,genomic_feature_126,Other_basic
179,genomic_feature_179,Other_basic,0.00132559,genomic_feature_131,Other_basic
79,genomic_feature_79,Other_basic,0.00130597,genomic_feature_24,Other_basic
178,genomic_feature_178,Other_basic,0.00130481,genomic_feature_191,Other_basic
217,genomic_feature_217,Other_basic,0.00126285,genomic_feature_259,Other_basic
194,genomic_feature_194,Other_basic,0.00125548,genomic_feature_288,Other_basic
287,genomic_feature_287,Other_basic,0.00124936,genomic_feature_327,Other_basic
247,genomic_feature_247,Other_basic,0.00124074,genomic_feature_1,Other_basic
262,genomic_feature_262,Other_basic,0.00123219,genomic_feature_132,Other_basic
75,genomic_feature_75,Other_basic,0.00122392,genomic_feature_77,Other_basic
64,genomic_feature_64,Other_basic,0.00122019,genomic_feature_197,Other_basic
171,genomic_feature_171,Other_basic,0.0012094,genomic_feature_325,Other_basic
42,genomic_feature_42,Other_basic,0.00120197,genomic_feature_62,Other_basic
58,genomic_feature_58,Other_basic,0.00116704,genomic_feature_284,Other_basic
337,genomic_feature_337,Other_basic,0.00115979,genomic_feature_168,Other_basic
29,genomic_feature_29,Other_basic,0.00113531,genomic_feature_66,Other_basic
84,genomic_feature_84,Other_basic,0.00112283,genomic_feature_146,Other_basic
19,genomic_feature_19,Other_basic,0.00111637,genomic_feature_171,Other_basic
162,genomic_feature_162,Other_basic,0.0011125,genomic_feature_181,Other_basic
289,genomic_feature_289,Other_basic,0.00108383,genomic_feature_205,Other_basic
65,genomic_feature_65,Other_basic,0.00106752,genomic_feature_60,Other_basic
260,genomic_feature_260,Other_basic,0.00106117,genomic_feature_279,Other_basic
94,genomic_feature_94,Other_basic,0.00105686,genomic_feature_115,Other_basic
257,genomic_feature_257,Other_basic,0.0010351,genomic_feature_215,Other_basic
12,genomic_feature_12,Other_basic,0.00102566,genomic_feature_110,Other_basic
233,genomic_feature_233,Other_basic,0.00102428,genomic_feature_224,Other_basic
181,genomic_feature_181,Other_basic,0.00100767,genomic_feature_61,Other_basic
325,genomic_feature_325,Other_basic,0.0010067,genomic_feature_28,Other_basic
273,genomic_feature_273,Other_basic,0.00098922,genomic_feature_204,Other_basic
309,genomic_feature_309,Other_basic,0.00094568,genomic_feature_156,Other_basic
228,genomic_feature_228,Other_basic,0.00094341,genomic_feature_349,Other_basic
355,genomic_feature_355,Other_basic,0.00093802,genomic_feature_27,Other_basic
125,genomic_feature_125,Other_basic,0.00093474,genomic_feature_112,Other_basic
226,genomic_feature_226,Other_basic,0.0009345,genomic_feature_188,Other_basic
248,genomic_feature_248,Other_basic,0.00093194,genomic_feature_125,Other_basic
184,genomic_feature_184,Other_basic,0.00093189,genomic_feature_141,Other_basic
99,genomic_feature_99,Other_basic,0.00092849,genomic_feature_137,Other_basic
138,genomic_feature_138,Other_basic,0.00092419,genomic_feature_347,Other_basic
72,genomic_feature_72,Other_basic,0.00092276,genomic_feature_105,Other_basic
354,genomic_feature_354,Other_basic,0.00091573,genomic_feature_254,Other_basic
180,genomic_feature_180,Other_basic,0.00091473,genomic_feature_122,Other_basic
158,genomic_feature_158,Other_basic,0.00089838,genomic_feature_230,Other_basic
263,genomic_feature_263,Other_basic,0.00089651,genomic_feature_298,Other_basic
16,genomic_feature_16,Other_basic,0.000896,genomic_feature_228,Other_basic
37,genomic_feature_37,Other_basic,0.00089437,genomic_feature_68,Other_basic
23,genomic_feature_23,Other_basic,0.00089202,genomic_feature_79,Other_basic
96,genomic_feature_96,Other_basic,0.00089121,genomic_feature_59,Other_basic
2,genomic_feature_2,Other_basic,0.00088702,genomic_feature_227,Other_basic
53,genomic_feature_53,Other_basic,0.00088245,genomic_feature_8,Other_basic
104,genomic_feature_104,Other_basic,0.00087252,genomic_feature_58,Other_basic
155,genomic_feature_155,Other_basic,0.00086386,genomic_feature_344,Other_basic
347,genomic_feature_347,Other_basic,0.00086134,genomic_feature_47,Other_basic
128,genomic_feature_128,Other_basic,0.00085889,genomic_feature_301,Other_basic
33,genomic_feature_33,Other_basic,0.00084349,genomic_feature_15,Other_basic
219,genomic_feature_219,Other_basic,0.00084016,genomic_feature_176,Other_basic
251,genomic_feature_251,Other_basic,0.00082954,genomic_feature_130,Other_basic
24,genomic_feature_24,Other_basic,0.00082713,genomic_feature_174,Other_basic
177,genomic_feature_177,Other_basic,0.00082424,genomic_feature_294,Other_basic
276,genomic_feature_276,Other_basic,0.00082328,genomic_feature_124,Other_basic
290,genomic_feature_290,Other_basic,0.00081762,genomic_feature_243,Other_basic
6,genomic_feature_6,Other_basic,0.00081513,genomic_feature_153,Other_basic
353,genomic_feature_353,Other_basic,0.0008144,genomic_feature_206,Other_basic
34,genomic_feature_34,Other_basic,0.00081303,genomic_feature_92,Other_basic
18,genomic_feature_18,Other_basic,0.00080774,genomic_feature_56,Other_basic
245,genomic_feature_245,Other_basic,0.00080685,genomic_feature_30,Other_basic
301,genomic_feature_301,Other_basic,0.0008061,genomic_feature_143,Other_basic
31,genomic_feature_31,Other_basic,0.00079679,genomic_feature_185,Other_basic
218,genomic_feature_218,Other_basic,0.00078168,genomic_feature_321,Other_basic
190,genomic_feature_190,Other_basic,0.00077731,genomic_feature_247,Other_basic
281,genomic_feature_281,Other_basic,0.00077375,genomic_feature_257,Other_basic
296,genomic_feature_296,Other_basic,0.00076894,genomic_feature_70,Other_basic
332,genomic_feature_332,Other_basic,0.00076875,genomic_feature_111,Other_basic
199,genomic_feature_199,Other_basic,0.00076743,genomic_feature_85,Other_basic
3,genomic_feature_3,Other_basic,0.00076349,genomic_feature_268,Other_basic
115,genomic_feature_115,Other_basic,0.00075955,genomic_feature_262,Other_basic
146,genomic_feature_146,Other_basic,0.00075448,genomic_feature_332,Other_basic
317,genomic_feature_317,Other_basic,0.00075156,genomic_feature_74,Other_basic
51,genomic_feature_51,Other_basic,0.00074953,genomic_feature_83,Other_basic
144,genomic_feature_144,Other_basic,0.00074842,genomic_feature_322,Other_basic
114,genomic_feature_114,Other_basic,0.00074746,genomic_feature_182,Other_basic
35,genomic_feature_35,Other_basic,0.00074395,genomic_feature_292,Other_basic
285,genomic_feature_285,Other_basic,0.00074021,genomic_feature_218,Other_basic
318,genomic_feature_318,Other_basic,0.00073998,genomic_feature_213,Other_basic
191,genomic_feature_191,Other_basic,0.00073275,genomic_feature_35,Other_basic
30,genomic_feature_30,Other_basic,0.00072436,genomic_feature_162,Other_basic
341,genomic_feature_341,Other_basic,0.00072395,genomic_feature_236,Other_basic
243,genomic_feature_243,Other_basic,0.00072334,genomic_feature_330,Other_basic
340,genomic_feature_340,Other_basic,0.0007217,genomic_feature_282,Other_basic
320,genomic_feature_320,Other_basic,0.00072074,genomic_feature_239,Other_basic
91,genomic_feature_91,Other_basic,0.00071616,genomic_feature_337,Other_basic
193,genomic_feature_193,Other_basic,0.00071534,genomic_feature_73,Other_basic
1,genomic_feature_1,Other_basic,0.00070787,genomic_feature_223,Other_basic
11,genomic_feature_11,Other_basic,0.00070488,genomic_feature_203,Other_basic
76,genomic_feature_76,Other_basic,0.00070406,genomic_feature_260,Other_basic
316,genomic_feature_316,Other_basic,0.00070365,genomic_feature_46,Other_basic
63,genomic_feature_63,Other_basic,0.00070173,genomic_feature_37,Other_basic
36,genomic_feature_36,Other_basic,0.00070085,genomic_feature_251,Other_basic
334,genomic_feature_334,Other_basic,0.0007004,genomic_feature_26,Other_basic
313,genomic_feature_313,Other_basic,0.00069435,genomic_feature_159,Other_basic
44,genomic_feature_44,Other_basic,0.00069189,genomic_feature_94,Other_basic
343,genomic_feature_343,Other_basic,0.00069162,genomic_feature_253,Other_basic
231,genomic_feature_231,Other_basic,0.0006908,genomic_feature_340,Other_basic
154,genomic_feature_154,Other_basic,0.00067985,genomic_feature_355,Other_basic
351,genomic_feature_351,Other_basic,0.0006793,genomic_feature_189,Other_basic
46,genomic_feature_46,Other_basic,0.00067129,genomic_feature_353,Other_basic
235,genomic_feature_235,Other_basic,0.00067055,genomic_feature_234,Other_basic
133,genomic_feature_133,Other_basic,0.00067008,genomic_feature_39,Other_basic
117,genomic_feature_117,Other_basic,0.00065992,genomic_feature_196,Other_basic
310,genomic_feature_310,Other_basic,0.00065432,genomic_feature_64,Other_basic
182,genomic_feature_182,Other_basic,0.00065313,genomic_feature_314,Other_basic
97,genomic_feature_97,Other_basic,0.00064881,genomic_feature_180,Other_basic
163,genomic_feature_163,Other_basic,0.00064837,genomic_feature_161,Other_basic
165,genomic_feature_165,Other_basic,0.00064695,genomic_feature_91,Other_basic
50,genomic_feature_50,Other_basic,0.00064397,genomic_feature_9,Other_basic
236,genomic_feature_236,Other_basic,0.00063786,genomic_feature_133,Other_basic
261,genomic_feature_261,Other_basic,0.0006374,genomic_feature_135,Other_basic
