assumed_order,feature_group,n_features,sum_mean_abs_shap,mean_abs_shap,max_abs_shap,mapping_option
K3_64 + K4_256 + Basic_36,K4_kmer,209,0.20784327,0.00099447,0.00495251,A
K3_64 + K4_256 + Basic_36,K3_kmer,56,0.07216813,0.00128872,0.00672182,A
K3_64 + K4_256 + Basic_36,GC_content,69,0.05550936,0.00080448,0.00426235,A
K3_64 + K4_256 + Basic_36,Skew,7,0.00694211,0.00099173,0.00202662,A
K3_64 + K4_256 + Basic_36,CpG_related,9,0.00556103,0.00061789,0.00115979,A
K3_64 + K4_256 + Basic_36,Other_basic,2,0.00390318,0.00195159,0.00318244,A
K3_64 + K4_256 + Basic_36,Nucleotide_composition,4,0.00302812,0.00075703,0.00166816,A
Basic_36 + K3_64 + K4_256,K4_kmer,209,0.17908997,0.00085689,0.00437269,B
Basic_36 + K3_64 + K4_256,GC_content,69,0.07741137,0.0011219,0.00439433,B
Basic_36 + K3_64 + K4_256,K3_kmer,56,0.07173151,0.00128092,0.00495658,B
Basic_36 + K3_64 + K4_256,Skew,7,0.0136638,0.00195197,0.00672182,B
Basic_36 + K3_64 + K4_256,CpG_related,9,0.00932185,0.00103576,0.0022566,B
Basic_36 + K3_64 + K4_256,Nucleotide_composition,4,0.00292157,0.00073039,0.00088702,B
Basic_36 + K3_64 + K4_256,Other_basic,2,0.00081513,0.00040756,0.00081513,B
