path,shape,column_used,n_names,n_generic,n_real_like,real_like_ratio,generic_ratio,groups,preview
/content/drive/MyDrive/Project_Protein/model/phase3_multimodal_integration/phase3_2_error_modality_contribution/results/phase3_2C_combined_logistic_regression_coefficients.csv,"(1379, 4)",feature,1379,0,344,0.24945612762871647,0.0,"{""Other_basic"": 1036, ""K4_kmer"": 256, ""K3_kmer"": 64, ""GC_content"": 16, ""CpG_related"": 6, ""Skew"": 1}",k4_GTAG; protbert_sw_40; protbert_sw_418; protbert_sw_822; k4_GGTA; k4_ACCA; k4_TCTG; protbert_sw_160; protbert_sw_976; protbert_sw_763; protbert_sw_555; k4_CTGT; k4_CCGA; k4_CCAT; protbert_sw_327
/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/results/phase8_all_expanded_enrichment_results.csv,"(811, 22)",name,811,0,53,0.06535141800246609,0.0,"{""Other_basic"": 810, ""CpG_related"": 1}","NADH dehydrogenase (ubiquinone) activity; respiratory chain complex I; NADH dehydrogenase complex; Mitochondrial complex I assembly model OXPHOS system; Electron transport chain OXPHOS system in mitochondria; respiratory electron transport chain; Impaired glucose tolerance; Respiratory electron transport; Insulin resistance; Insulin secretion; mitochondrial electron transport, NADH to ubiquinone; proton motive force-driven mitochondrial ATP synthesis; Complex I biogenesis; proton motive force-driven ATP synthesis; respiratory chain complex"
/content/drive/MyDrive/Project_Protein/model/phase2_2_genomic_analysis/results/phase2_2_random_forest_feature_importance.csv,"(355, 2)",feature,355,0,344,0.9690140845070423,0.0,"{""K4_kmer"": 256, ""K3_kmer"": 64, ""GC_content"": 16, ""Other_basic"": 12, ""CpG_related"": 6, ""Skew"": 1}",k4_TGAG; k4_AAGG; k4_CCCC; GC_content_bin_08; k4_CTGT; k4_CGCT; k3_TAG; k4_GATC; k4_AGTG; k4_CTTT; k4_GTAG; k4_CTCC; k4_TCAG; k4_CTCA; k3_GTA
/content/drive/MyDrive/Project_Protein/model/phase2_2_genomic_analysis/results/phase2_2_logistic_regression_coefficients.csv,"(355, 3)",feature,355,0,344,0.9690140845070423,0.0,"{""K4_kmer"": 256, ""K3_kmer"": 64, ""GC_content"": 16, ""Other_basic"": 12, ""CpG_related"": 6, ""Skew"": 1}",k4_CTGT; k4_CCGT; k4_ATCC; k4_AAGG; k4_GATC; k4_GTAG; k4_AAAG; k4_TGAG; k4_AACC; k4_TCTG; k4_TAGG; k4_ATGG; k4_TGAC; k4_GGTA; k4_CTCC
/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/enrichment_results/gprofiler_enrichment_Protein_only_ProtBERT_SW_top100.csv,"(106, 22)",name,106,0,9,0.08490566037735849,0.0,"{""Other_basic"": 105, ""CpG_related"": 1}","NADH dehydrogenase (ubiquinone) activity; respiratory chain complex I; NADH dehydrogenase complex; Mitochondrial complex I assembly model OXPHOS system; Electron transport chain OXPHOS system in mitochondria; respiratory electron transport chain; Impaired glucose tolerance; Respiratory electron transport; Insulin resistance; Insulin secretion; mitochondrial electron transport, NADH to ubiquinone; proton motive force-driven mitochondrial ATP synthesis; Complex I biogenesis; proton motive force-driven ATP synthesis; respiratory chain complex"
/content/drive/MyDrive/Project_Protein/model/phase3_multimodal_integration/phase3_2_error_modality_contribution/results/phase3_2C_top_genomic_features_combined_lr.csv,"(50, 4)",feature,50,0,50,1.0,0.0,"{""K4_kmer"": 45, ""K3_kmer"": 4, ""GC_content"": 1}",k4_GTAG; k4_GGTA; k4_ACCA; k4_TCTG; k4_CTGT; k4_CCGA; k4_CCAT; k4_TGAC; k4_ATCC; k4_CGAC; k4_GGTT; k4_GATC; k4_CTTT; k4_CAAG; k4_GAGA
/content/drive/MyDrive/Project_Protein/model/phase2_genomic_regulatory_baseline/results/phase2_1_genomic_feature_ablation_5fold_cv_v1.csv,"(20, 14)",feature_set,20,0,4,0.2,0.0,"{""Other_basic"": 16, ""CpG_related"": 4}",K3 + K4 + K5 + Basic; K3 + K4 + K5 + Basic; K3 + K4 + Basic; K4 + Basic; K3 + K4 + K5 + Basic; K4 + Basic; K4 + Basic; K3 + K4 + Basic; K3 + K4 + Basic; K3 + Basic; K3 + Basic; K3 + Basic; Basic GC/CpG/skew/bins; K3 + Basic; Basic GC/CpG/skew/bins
/content/drive/MyDrive/Project_Protein/model/phase14b_fix_genomic_feature_mapping/results/phase14b_feature_order_sensitivity_group_permutation.csv,"(14, 7)",feature_group,14,0,8,0.5714285714285714,0.0,"{""Other_basic"": 8, ""GC_content"": 2, ""Skew"": 2, ""CpG_related"": 2}",K4_kmer; GC_content; K3_kmer; Other_basic; Skew; CpG_related; Nucleotide_composition; K4_kmer; K3_kmer; CpG_related; GC_content; Skew; Other_basic; Nucleotide_composition
/content/drive/MyDrive/Project_Protein/model/phase14b_fix_genomic_feature_mapping/results/phase14b_feature_order_sensitivity_group_shap.csv,"(14, 7)",feature_group,14,0,8,0.5714285714285714,0.0,"{""Other_basic"": 8, ""GC_content"": 2, ""Skew"": 2, ""CpG_related"": 2}",K4_kmer; K3_kmer; GC_content; Skew; CpG_related; Other_basic; Nucleotide_composition; K4_kmer; GC_content; K3_kmer; Skew; CpG_related; Nucleotide_composition; Other_basic
/content/drive/MyDrive/Project_Protein/model/phase4_biological_validation_preparation/results/phase4_0A_final_master_comparison_table.csv,"(10, 13)",feature_type,10,0,2,0.2,0.0,"{""Other_basic"": 8, ""CpG_related"": 2}",protein embedding + genomic handcrafted; protein foundation embedding; genomic handcrafted k-mer + GC/CpG features; genomic handcrafted k-mer + GC/CpG features; protein foundation embedding; protein foundation embedding; protein foundation embedding; protein foundation embedding; protein foundation embedding; handcrafted protein descriptors
