path,suffix,size_kb,clue_count,sample
/content/drive/MyDrive/Project_Protein/model/phase3_multimodal_integration/features/phase3_0_feature_names_v1.json,.json,67.61,684,"{     ""n_protein_features"": 1024,     ""n_genomic_features"": 356,     ""n_combined_features"": 1380,     ""protein_feature_names"": [         ""protbert_sw_0"",         ""protbert_sw_1"",         ""protbert_sw_2"",         ""protbert_sw_3"",         ""protbert_sw_4"",         ""protbert_sw_5"",         ""protbert_sw_6"",         ""protbert_sw_7"",         ""protbert_sw_8"",         ""protbert_sw_9"",         ""protbert_sw_10"",         ""protbert_sw_11"",         ""protbert_sw_12"",         ""protbert_sw_13"",         ""protbert"
/content/drive/MyDrive/Project_Protein/model/phase2_2_genomic_analysis/results/phase2_2_random_forest_feature_importance.csv,.csv,10.45,342,"feature,importance k4_TGAG,0.015787169436277018 k4_AAGG,0.012512027614551 k4_CCCC,0.011546060611813586 GC_content_bin_08,0.011129794755988475 k4_CTGT,0.009442760656653646 k4_CGCT,0.007479500068918094 k3_TAG,0.007210608569194112 k4_GATC,0.006885416539039482 k4_AGTG,0.0068374918738333505 k4_CTTT,0.006661017514477441 k4_GTAG,0.006525332823638728 k4_CTCC,0.006467726048933097 k4_TCAG,0.0063855886706444785 k4_CTCA,0.006312376417510694 k3_GTA,0.006262440279197772 k3_CTG,0.005848521778040071 k3_CCC,0.00"
/content/drive/MyDrive/Project_Protein/model/phase2_2_genomic_analysis/results/phase2_2_logistic_regression_coefficients.csv,.csv,17.77,342,"feature,coefficient,abs_coefficient k4_CTGT,-0.03860162329009309,0.03860162329009309 k4_CCGT,-0.03494008075956582,0.03494008075956582 k4_ATCC,-0.03460357039883062,0.03460357039883062 k4_AAGG,0.03355827946287708,0.03355827946287708 k4_GATC,-0.030320488554606412,0.030320488554606412 k4_GTAG,-0.03007903787838481,0.03007903787838481 k4_AAAG,0.029626573867093782,0.029626573867093782 k4_TGAG,-0.029322006084515257,0.029322006084515257 k4_AACC,-0.028586672077077473,0.028586672077077473 k4_TCTG,-0.027517"
/content/drive/MyDrive/Project_Protein/model/phase3_multimodal_integration/phase3_2_error_modality_contribution/results/phase3_2C_combined_logistic_regression_coefficients.csv,.csv,87.44,342,"feature,coefficient,abs_coefficient,modality k4_GTAG,-0.03648944404573647,0.03648944404573647,genomic protbert_sw_40,-0.031692694461528774,0.031692694461528774,protein protbert_sw_418,-0.029147957667666702,0.029147957667666702,protein protbert_sw_822,0.027778686926175182,0.027778686926175182,protein k4_GGTA,-0.027391249076618055,0.027391249076618055,genomic k4_ACCA,-0.026826950416710817,0.026826950416710817,genomic k4_TCTG,-0.02639367870129794,0.02639367870129794,genomic protbert_sw_160,-0.02603"
/content/drive/MyDrive/Project_Protein/model/phase3_multimodal_integration/features/X_val_genomic_k3k4basic_v1.csv,.csv,1643.83,342,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase3_multimodal_integration/features/X_test_genomic_k3k4basic_v1.csv,.csv,1648.95,342,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase2_genomic_regulatory_baseline/features/X_val_k3_k4_plus_basic_v1.csv,.csv,1843.78,342,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase2_genomic_regulatory_baseline/features/X_test_k3_k4_plus_basic_v1.csv,.csv,1845.12,342,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase2_genomic_regulatory_baseline/features/X_val_k3_k4_k5_plus_basic_v1.csv,.csv,6801.38,342,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase2_genomic_regulatory_baseline/features/X_test_k3_k4_k5_plus_basic_v1.csv,.csv,6844.1,342,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase3_multimodal_integration/features/X_train_genomic_k3k4basic_v1.csv,.csv,7668.57,342,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase2_genomic_regulatory_baseline/features/X_train_k3_k4_plus_basic_v1.csv,.csv,8585.84,342,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase2_genomic_regulatory_baseline/features/X_train_k3_k4_k5_plus_basic_v1.csv,.csv,31807.2,342,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase2_genomic_regulatory_baseline/features/X_val_k4_plus_basic_v1.csv,.csv,1492.0,278,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase2_genomic_regulatory_baseline/features/X_test_k4_plus_basic_v1.csv,.csv,1493.21,278,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase2_genomic_regulatory_baseline/features/X_train_k4_plus_basic_v1.csv,.csv,6946.71,278,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase2_genomic_regulatory_baseline/features/X_val_k3_plus_basic_v1.csv,.csv,415.73,86,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
/content/drive/MyDrive/Project_Protein/model/phase2_genomic_regulatory_baseline/features/X_test_k3_plus_basic_v1.csv,.csv,415.9,86,"seq_length,A_count,C_count,G_count,T_count,A_frac,C_frac,G_frac,T_frac,GC_count,AT_count,GC_content,AT_content,CpG_count,CpG_density,CpG_observed_expected,GC_skew,AT_skew,purine_frac_AG,pyrimidine_frac_CT,GC_content_bin_01,GC_content_bin_02,GC_content_bin_03,GC_content_bin_04,GC_content_bin_05,GC_content_bin_06,GC_content_bin_07,GC_content_bin_08,GC_content_bin_09,GC_content_bin_10,GC_content_upstream_2kb,GC_content_downstream_500bp,GC_content_tss_near_500bp,CpG_count_upstream_2kb,CpG_count_down"
