gene,source_file,source_file_name,model_guess,gene_col,score_col,rank_col,score_value,rank_value,context_rank,context_score,context_list_name,context_theme,context_group,context_model_name
KCNJ11,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_FN_genes.csv,Genomic_only_K3K4Basic_FN_genes.csv,Protein_only,gene_symbol,score,rank,0.4550978798104344,163.0,163.0,0.4550978798104344,,,,
NDUFB1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_FN_genes.csv,Genomic_only_K3K4Basic_FN_genes.csv,Protein_only,gene_symbol,score,rank,0.4637072583930864,147.0,147.0,0.4637072583930864,,,,
NDUFB3,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_FN_genes.csv,Genomic_only_K3K4Basic_FN_genes.csv,Protein_only,gene_symbol,score,rank,0.4686270967886557,141.0,141.0,0.4686270967886557,,,,
ABCC8,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_FN_genes.csv,Genomic_only_K3K4Basic_FN_genes.csv,Protein_only,gene_symbol,score,rank,0.4815200410712282,131.0,131.0,0.4815200410712282,,,,
NDUFA13,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_FN_genes.csv,Genomic_only_K3K4Basic_FN_genes.csv,Protein_only,gene_symbol,score,rank,0.4873406628134159,126.0,126.0,0.4873406628134159,,,,
CACNA1D,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_TP_genes.csv,Genomic_only_K3K4Basic_TP_genes.csv,Protein_only,gene_symbol,score,rank,0.7038851731278976,11.0,11.0,0.7038851731278976,,,,
IGF2BP2,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_TP_genes.csv,Genomic_only_K3K4Basic_TP_genes.csv,Protein_only,gene_symbol,score,rank,0.6679954840020974,15.0,15.0,0.6679954840020974,,,,
INSR,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_TP_genes.csv,Genomic_only_K3K4Basic_TP_genes.csv,Protein_only,gene_symbol,score,rank,0.6153709565053702,33.0,33.0,0.6153709565053702,,,,
DPP4,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_TP_genes.csv,Genomic_only_K3K4Basic_TP_genes.csv,Protein_only,gene_symbol,score,rank,0.6147061541331904,34.0,34.0,0.6147061541331904,,,,
GAD1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_TP_genes.csv,Genomic_only_K3K4Basic_TP_genes.csv,Protein_only,gene_symbol,score,rank,0.6086926205080248,40.0,40.0,0.6086926205080248,,,,
