citation_key,gene_or_topic,pathway_group,support_statement,evidence_type,pmid_or_doi,use_in_manuscript
odawara1989insr,INSR,Insulin signalling,"Human diabetes has been associated with mutation in the tyrosine kinase domain of the insulin receptor, supporting INSR as a mechanistically relevant insulin-signalling gene.",gene-specific / diabetes mechanism,PMID:2544998,Use to support INSR and insulin-signalling interpretation.
regue2021igf2bp2,IGF2BP2,Beta-cell function,"Human IGF2BP2 variants are associated with increased T2D risk, and IGF2BP2 has been studied in pancreatic beta-cell function.",gene-specific / T2D risk / beta-cell,PMCID:PMC8076713,Use to support IGF2BP2 as a T2D genetic/beta-cell candidate.
deacon2019dpp4,DPP4,Glucose metabolism,DPP-4 regulates incretin physiology and glucose homeostasis and is a major therapeutic target in T2D.,gene-specific / diabetes pharmacology,PMCID:PMC6384237,Use to support DPP4 as glucose regulation / drug-target evidence.
ma2011mitochondrial_beta_cell,Mitochondrial function / OXPHOS,Mitochondrial function,Mitochondrial dysfunction is a central contributor to beta-cell failure in the evolution of T2D.,pathway-level / T2D mechanism,PMCID:PMC3216264,Use to support NDUF/OXPHOS pathway-level interpretation.
florez2008beta_cell_loci,Beta-cell genetic loci,Beta-cell function,T2D genetic loci often influence disease risk through impairment of beta-cell function and insulin secretion.,review / T2D genetic mechanism,DOI:10.1007/s00125-008-1025-9,Use to support HHEX/IGF2BP2/beta-cell locus interpretation.
hong2014ndufv1,NDUFV1,Mitochondrial function,NDUFV1 knockdown affects mitochondrial redox balance and insulin signalling-related cellular phenotypes.,gene/pathway-specific mitochondrial support,PMCID:PMC4106319,Use cautiously for NDUFV1 and mitochondrial complex I interpretation.
sladek2007gwas,HHEX / IGF2BP2 / T2D loci,T2D genetic risk,"Genome-wide association studies identified common variants associated with T2D risk, including loci near HHEX and IGF2BP2.",GWAS / T2D genetic association,PMID:17463246,Use to support T2D genetic-risk candidates.
lyssenko2009mtnr1b,MTNR1B,Beta-cell function,"Common variants near MTNR1B are associated with fasting glucose, impaired insulin secretion and T2D risk.",GWAS / insulin secretion,PMID:19060908,Use if MTNR1B appears in top-ranked candidates.
gloyn2004kcnj11,KCNJ11,Beta-cell function,KCNJ11 variants are associated with diabetes risk and insulin secretion through pancreatic beta-cell KATP channel biology.,gene-specific / insulin secretion,PMID:15021885,Use if KCNJ11 appears in candidate lists.
ashcroft2006katp,ABCC8 / KATP channel,Beta-cell function,KATP channels connect glucose metabolism to insulin secretion in pancreatic beta cells.,pathway/gene mechanism,PMID:16688117,Use if ABCC8/KCNJ11 interpretation is included.
wright2011sglt,SLC5A1 / SGLT,Glucose metabolism,Sodium-glucose cotransporters mediate glucose absorption and transport physiology.,glucose transport biology,PMID:21148467,Use to support SLC5A1 glucose transport interpretation.
