gene,pathway_primary,query,result_rank,pmid,title,journal,pubdate,authors,url
INSR,Insulin signalling,INSR type 2 diabetes,1,42328113,Genetic Evidence for the Benefits and Risks of Glucose-Lowering Drugs on Cardiovascular-Kidney-Metabolic Syndrome: A Drug-Target Mendelian Randomization Study.,International journal of medical sciences,2026,"Lu J, Sun S, Shang X, Jiang S, Deng Z",https://pubmed.ncbi.nlm.nih.gov/42328113/
INSR,Insulin signalling,INSR type 2 diabetes,2,42247987,Microalgae-derived astaxanthin modulates the hormone receptor network associated with type 2 diabetes mellitus: An in-silico investigation supported by experimental literature.,Computational biology and chemistry,2026 Oct,"Sazlı N, Karataş D",https://pubmed.ncbi.nlm.nih.gov/42247987/
INSR,Insulin signalling,INSR type 2 diabetes,3,42227366,Target Perturbation of Genetically Proxied Antidiabetic Drug Targets and Pneumonia Risk: A Mendelian Randomization Analysis.,Current topics in medicinal chemistry,2026 May 19,"Lin S, Xu H, Xia J, Xu F",https://pubmed.ncbi.nlm.nih.gov/42227366/
INSR,Insulin signalling,INSR type 2 diabetes,4,42216630,Caffeoylquinic Acids From Lonicera japonica Thunb. as Hypoglycemic Agents: Network Pharmacology and Pharmacological Validation.,Journal of diabetes research,2026,"Ye Y, Xu D, Zhang S, Yu H, Liu Y",https://pubmed.ncbi.nlm.nih.gov/42216630/
INSR,Insulin signalling,INSR type 2 diabetes,5,42200339,"Causal links between diabetes, gut microbiota, and colon cancer: insights from Mendelian randomization.",Endokrynologia Polska,2026,"Liu T, Tong Q",https://pubmed.ncbi.nlm.nih.gov/42200339/
INSR,Insulin signalling,INSR T2D Insulin signalling,1,42216630,Caffeoylquinic Acids From Lonicera japonica Thunb. as Hypoglycemic Agents: Network Pharmacology and Pharmacological Validation.,Journal of diabetes research,2026,"Ye Y, Xu D, Zhang S, Yu H, Liu Y",https://pubmed.ncbi.nlm.nih.gov/42216630/
INSR,Insulin signalling,INSR T2D Insulin signalling,2,41970998,Identification of novel genomic variants in diabetic nephropathy patients using whole-exome sequencing: a pilot investigation.,Frontiers in endocrinology,2026,"Mir R, Elfaki I, Almassabi RF, Almowallad S, Elnageeb ME",https://pubmed.ncbi.nlm.nih.gov/41970998/
INSR,Insulin signalling,INSR T2D Insulin signalling,3,41556164,Deciphering CD4+ Naive T cell-mediated divergent pathogenic links between type 2 diabetes and pathologic scarring via an integrated multi-omics approach.,"International journal of surgery (London, England)",2026 Jan 19,"Zhu G, Xu J, Guo G, Zhu F",https://pubmed.ncbi.nlm.nih.gov/41556164/
INSR,Insulin signalling,INSR T2D Insulin signalling,4,41320781,Butyrate-Mediated Upregulation of Insulin Pathway Gene Expression Suggests Potential Antidiabetic Effects.,Drug development research,2025 Dec,"Shapira E, Voinsky I, Klin H, Gurwitz D",https://pubmed.ncbi.nlm.nih.gov/41320781/
INSR,Insulin signalling,INSR T2D Insulin signalling,5,41163347,Is Predisposition to T2D Impacted by Polymorphisms in Genes Involved in Insulin Signaling and Cellular Bioenergetics?,"Acta physiologica (Oxford, England)",2025 Dec,"Pati B, Jastroch M, Bal NC",https://pubmed.ncbi.nlm.nih.gov/41163347/
INSR,Insulin signalling,INSR insulin signalling diabetes,1,42371338,4-Methylumbelliferone for type 1 diabetes therapy: evidence for β-cell protection via EGFR/PI3K/Akt signaling.,Journal of endocrinological investigation,2026 Jun 29,"Yang S, Zhu S, Yu X, Zhang W, Wang X",https://pubmed.ncbi.nlm.nih.gov/42371338/
INSR,Insulin signalling,INSR insulin signalling diabetes,2,42337344,Pancreatic α-cells are functionally heterogeneous and sex-dependently regulated by neighboring endocrine cells.,Communications biology,2026 Jun 23,"Huang YC, Slak Rupnik M, Rutter GA",https://pubmed.ncbi.nlm.nih.gov/42337344/
INSR,Insulin signalling,INSR insulin signalling diabetes,3,42324025,Microvascular dysfunction and neurovascular signalling impairment in diabetic silent myocardial ischemia.,Microvascular research,2026 Jun 21,Rajasekaran HK,https://pubmed.ncbi.nlm.nih.gov/42324025/
INSR,Insulin signalling,INSR insulin signalling diabetes,4,42262206,Exploring the anti-gout mechanism of Erding granules based on network pharmacology and experimental verification.,Pakistan journal of pharmaceutical sciences,2026 Aug,"Wang G, He L, Zhang Y, Tao X",https://pubmed.ncbi.nlm.nih.gov/42262206/
