sample_index,label,distance_to_positive_centroid,gene_symbol
0,0,25.280144,PSENEN
1,1,27.682217,PI16
2,0,30.686499,GPA33
3,0,21.740572,CFAP300
4,1,25.967905,KCNK16
5,1,24.187296,TM6SF2
6,0,28.188742,OSGIN2
7,0,29.638445,MOSMO
8,0,34.942116,IBA57
9,1,27.85748,STEAP1
10,1,36.921986,UGT3A1
11,1,28.873358,GTF2IRD2
12,1,30.393745,SNX2
13,0,35.69737,BNC1
14,0,29.704758,KCNK17
15,1,29.543667,VPS33A
16,0,32.97109,SMIM39
17,1,25.15863,UBE3B
18,0,31.90973,PNOC
19,0,28.134459,PROX1
20,1,33.008194,DNAH11
21,0,32.32553,NEXMIF
22,1,28.233656,SORCS2
23,1,28.08005,HAGHL
24,0,25.287893,ENPP3
25,1,29.280832,KCNG4
26,0,41.06531,GALNT10
27,0,32.747223,ALDH2
28,0,33.2127,CACNA1D
29,1,26.831482,OR2T34
30,0,26.862268,LIPC
31,1,36.11596,JADE1
32,0,24.802826,UBQLN4
33,1,30.383636,AKAP17A
34,1,22.09175,ATG16L1
35,0,28.275984,GAL3ST4
36,0,31.514137,SLC22A2
37,1,28.032488,EIF1
38,0,32.015965,EXOC6
39,0,26.221464,LEP
40,0,36.699326,THUMPD2
41,0,28.932365,RTN2
42,1,23.211746,CAMK1D
43,1,37.45444,USP48
44,0,31.880402,ATP4A
45,0,31.456148,CFAP119
46,1,23.403387,C6orf132
47,1,27.268154,EMSY
48,0,24.407663,YEATS2
49,1,33.707104,DCSTAMP
50,0,33.694683,ADARB1
51,0,41.478336,SLC26A9
52,1,35.276844,PPP2R2A
53,0,22.770973,PLEKHM2
54,1,38.027657,NDUFA3
55,1,31.090183,PROSER2
56,0,19.513464,FOXRED2
57,1,25.215836,IL10
58,1,22.08904,WIPI1
59,1,22.56664,COMMD8
60,1,31.713928,FGFR3
61,0,24.09844,ZFP92
62,0,25.46841,ADAMTS18
63,1,26.459743,PCSK5
64,1,34.78467,MICALL1
65,0,28.903894,CNTN2
66,0,25.72417,INF2
67,0,66.565315,DPP4
68,0,65.67195,SP9
69,1,27.61623,PLA2G3
70,0,40.068253,CATSPERE
71,1,31.220251,ITIH4
72,1,23.293318,KIF21B
73,0,30.278318,TMEM168
74,0,30.636045,NDUFA1
75,0,24.23677,CHPF2
76,1,30.553253,PTPRD
77,0,24.39569,EXOSC10
78,0,36.633163,FXR1
79,0,29.487217,CCND2
80,0,26.007397,POLR3A
81,1,28.296122,MAFF
82,1,30.405933,SPRY4
83,0,32.83453,HSPA4
84,1,24.468628,SHLD2
85,1,30.876644,POLR2B
86,0,33.982246,KICS2
87,0,34.12179,DIP2B
88,1,33.392204,RPP40
89,0,37.93998,HHIP
90,1,27.415318,ARAP1
91,1,30.205313,TTI2
92,0,39.857216,MED9
93,0,50.15983,TRAK2
94,0,33.978004,BAK1
95,1,27.40217,KIAA1549
96,0,23.81557,HMHB1
97,1,24.427513,BAHCC1
98,1,22.37685,ZNF169
99,0,42.31278,ABCB10
100,0,30.193281,RASGRP2
101,0,38.4241,PRR20C
102,1,52.145912,PTGFRN
103,0,36.934994,CTLA4
104,1,32.03492,BICRA
105,1,23.204111,CDC123
106,1,26.735676,SYNDIG1
107,1,26.329424,TMEM145
108,1,33.226116,DESI1
109,0,25.659454,DNAI2
110,0,33.594387,TMEM144
111,1,32.218445,PRKD1
112,0,23.76581,ZC3H4
113,1,31.02717,LDLRAD1
114,1,27.765913,WFS1
115,0,28.41635,ADGRE5
116,0,36.40439,ATF7IP2
117,0,28.475243,RALGAPA2
118,0,38.19496,UPK3BL1
119,0,29.7966,C11orf24
120,1,37.19655,NUP153
121,0,29.226456,SORT1
122,0,22.940416,ADA
123,0,28.398924,TPRA1
124,0,29.157366,XRCC2
125,0,24.391632,SPTBN4
126,0,28.287897,FAM221B
127,0,29.53999,MPPED2
128,0,21.83973,CLNS1A
129,1,29.353136,CFAP69
130,1,24.14003,ZFYVE21
131,1,32.37955,KDM4A
132,0,28.133081,DDX28
133,1,31.831614,AK8
134,0,25.809769,FTO
135,1,34.216244,MRPS16
136,0,52.07007,ADH1B
137,1,20.838894,DYNLT3
138,0,34.85712,PITRM1
139,0,24.033731,IL12B
140,1,30.879,PDE3B
141,0,32.574818,CCDC74B
142,0,33.91904,PCGF3
143,0,40.572716,SLC22A17
144,1,21.82376,WSCD2
145,0,21.561047,ATP8B4
146,0,26.604471,ACOT6
147,0,23.997717,UHRF1
148,0,26.52338,MRAP
149,1,35.88419,HSF2
150,1,28.77499,OR4D2
151,1,27.488876,PPM1F
152,0,35.430626,AMY2A
153,0,27.109657,LAMA1
154,0,35.401524,CDC42BPB
155,0,22.237974,TMEM121
156,1,31.90677,FAM185A
157,1,35.970806,CABIN1
158,0,36.681835,STPG2
159,0,23.657804,ATXN7L3
160,0,38.2899,WDR44
161,1,36.216393,KRT36
162,0,38.982025,NUDT15
163,1,30.808743,ZNF136
164,0,30.557495,SERINC2
165,0,28.058895,DCLK2
166,1,33.603077,IZUMO1R
167,0,24.949076,MFSD6L
168,0,38.108433,ZFHX3
169,0,49.591248,CCDC197
170,1,27.685818,TTI1
171,0,30.925146,XPC
172,1,18.56237,IRX6
173,1,30.660826,ITPKC
174,1,29.582283,OR2L5
175,0,33.77278,CDCA5
176,0,27.651672,ARPC5L
177,0,21.157099,TNFRSF6B
178,0,31.676472,U2AF1L4
179,1,28.563915,ZNF324B
180,0,51.078888,KIF3C
181,0,55.86918,SRP68
182,0,31.47786,NRF1
183,1,29.737164,ZNF326
184,1,36.22809,IGSF21
185,0,35.589058,ASAH1
186,1,32.205208,NPC1
187,0,20.462215,ZFAND3
188,1,33.264725,ADRA1D
189,0,29.410303,BACE2
190,0,29.055534,OR6M1
191,0,28.981459,LRRK1
192,0,46.720787,TEX101
193,1,23.598549,ZNRF3
194,0,34.375694,RASSF1
195,0,51.818226,TRIOBP
196,1,24.503551,EYA1
197,1,35.68929,KRT9
198,1,29.575605,UBE2E2
199,0,36.6672,ID4
200,0,42.549496,COQ6
201,0,41.7178,XXYLT1
202,0,47.55882,SCAF4
203,1,26.505995,ARMC8
204,1,26.852846,C20orf96
205,1,36.06334,BFSP2
206,1,21.994804,PCDHGB5
207,0,31.444973,CUL7
208,1,48.776615,ZNF704
209,1,32.66924,ZNF711
210,0,27.731804,COL23A1
211,1,23.02034,FABP9
212,1,20.681917,SBF1
213,1,24.047796,MEIS1
214,1,23.74981,MYO5C
215,0,30.72902,JARID2
216,1,32.300354,CCDC57
217,1,27.849989,TSHZ2
218,0,35.45936,RMC1
219,0,33.002983,SMIM41
220,1,38.227314,RAMP3
221,0,28.189346,XRN2
222,1,26.683271,CEP350
223,1,28.322664,ZCCHC8
224,1,27.22419,FAM149B1
225,0,33.386383,MS4A14
226,0,28.289095,GLRA1
227,0,32.676296,CDC42BPA
228,1,25.564499,ONECUT1
229,0,42.632465,FEM1C
230,1,21.858706,HMGA1
231,0,29.944319,CTTNBP2
232,1,19.876766,RBM23
233,1,36.48929,GDF7
234,0,36.27329,PDE8B
235,1,30.812645,OCIAD2
236,0,22.815506,ZCCHC9
237,0,31.6872,CST8
238,1,34.031708,NFATC2
239,1,32.126938,SLCO6A1
240,1,39.690563,DGLUCY
241,1,31.288834,USP27X
242,0,26.818636,QSER1
243,0,25.008913,PLCL2
244,0,25.96677,CEP295
245,1,24.644955,ST6GAL1
246,0,29.544098,RIN1
247,0,39.853577,SCART1
248,0,31.677185,EVI2A
249,0,35.71318,ROPN1
250,1,22.505629,CASS4
251,1,29.35143,SEPHS1
252,1,23.261375,HTT
253,0,21.11738,JADE2
254,1,39.773018,ZNF816
255,1,23.333538,INSR
256,1,40.857536,SCGN
257,0,30.692362,L3MBTL3
258,0,38.324562,ABTB3
259,0,26.58562,MTNAP1
260,0,26.978853,AKAP6
261,0,45.62805,ECE2
262,0,45.18331,GSTT4
263,1,29.101212,TECPR2
264,0,37.837383,PIKFYVE
265,1,23.496046,DMD
266,0,38.7454,RNPEPL1
267,0,39.774994,PHKA1
268,0,35.734856,NDUFV1
269,0,33.724804,RUNX3
270,1,29.932392,C4orf36
271,0,26.09773,COL13A1
272,0,38.73885,CELSR2
273,0,22.131298,NRAP
274,0,21.10605,HDHD5
275,1,25.4608,TENT5A
276,0,23.668762,CCDC8
277,0,26.201002,LRMDA
278,1,23.98672,BOD1L1
279,0,29.246122,TCTN3
280,0,43.944786,UBAP2
281,1,30.00098,FAM91A1
282,0,26.107658,DRD2
283,1,33.029377,TOGARAM1
284,0,28.242645,PAXIP1
285,1,32.666077,NUDT4B
286,0,29.15458,ADRA1B
287,1,34.41786,OR52E6
288,1,35.22158,XDH
289,0,34.732357,BORA
290,0,25.532484,LTBP3
291,1,33.85547,CCNJ
292,1,41.42555,ZNF579
293,0,22.27479,PRPF40A
294,1,31.515133,FBXL13
295,1,23.862965,SEPTIN3
296,0,37.550556,GBA2
297,1,33.38295,RNF216
298,0,39.739212,RAMP2
299,0,29.72903,CYFIP2
300,0,36.932186,PLEKHA1
301,1,23.145834,PLEKHG1
302,0,29.550804,TPK1
303,1,30.255318,ELF1
304,0,29.762682,ZNF416
305,1,29.439373,FAM90A26
