scenario_name,scenario_type,split_id,model_name,display_name,model_type,n_total_scenario,n_train,n_val,n_test,n_features,validation_mcc,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold
Original_All,original,1,Genomic_only_K3K4Basic,Genomic-only,random_forest,1806,1155,289,362,356,0.31732,0.61973,0.63847,0.58564,0.60265,0.50276,0.66851,0.54819,0.17367,121,60,90,91,0.52448
Original_All,original,1,Protein_only_ProtBERT_SW,Protein-only,svm_rbf,1806,1155,289,362,1024,0.44042,0.73371,0.72644,0.64917,0.59712,0.91713,0.38122,0.72331,0.35337,69,112,15,166,0.36778
Original_All,original,1,Handcrafted_multimodal,Handcrafted multimodal,svm_rbf,1806,1155,289,362,1380,0.42834,0.7338,0.74059,0.69613,0.7351,0.61326,0.77901,0.66867,0.39777,141,40,70,111,0.54435
Original_All,original,1,DNABERT2_multimodal,DNABERT-2 multimodal,svm_rbf,1806,1155,289,362,1792,0.46068,0.75294,0.74895,0.69337,0.68041,0.72928,0.65746,0.704,0.38774,119,62,49,132,0.47642
Original_All,original,2,Genomic_only_K3K4Basic,Genomic-only,random_forest,1806,1156,289,361,356,0.25259,0.57103,0.5958,0.54017,0.54054,0.55249,0.52778,0.54645,0.08029,95,85,81,100,0.47923
Original_All,original,2,Protein_only_ProtBERT_SW,Protein-only,svm_rbf,1806,1156,289,361,1024,0.41751,0.71544,0.67867,0.65928,0.61789,0.83978,0.47778,0.71194,0.34078,86,94,29,152,0.42303
Original_All,original,2,Handcrafted_multimodal,Handcrafted multimodal,svm_rbf,1806,1156,289,361,1380,0.43177,0.71145,0.68823,0.65097,0.62222,0.77348,0.52778,0.68966,0.31085,95,85,41,140,0.43062
Original_All,original,2,DNABERT2_multimodal,DNABERT-2 multimodal,svm_rbf,1806,1156,289,361,1792,0.43949,0.71937,0.69391,0.63712,0.63298,0.65746,0.61667,0.64499,0.27436,111,69,62,119,0.4843
Original_All,original,3,Genomic_only_K3K4Basic,Genomic-only,random_forest,1806,1156,289,361,356,0.31462,0.6949,0.69182,0.6482,0.6875,0.54696,0.75,0.60923,0.30322,135,45,82,99,0.52164
Original_All,original,3,Protein_only_ProtBERT_SW,Protein-only,svm_rbf,1806,1156,289,361,1024,0.32201,0.69494,0.69597,0.62881,0.58868,0.86188,0.39444,0.69955,0.29007,71,109,25,156,0.35599
