scenario_name,comparison,model_a,model_b,metric,mean_delta,sd_delta,ci95_low,ci95_high,wins_model_a,wins_model_b,ties,wilcoxon_p,wilcoxon_bh_fdr_within_scenario
Easy_Negatives_Farthest,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,pr_auc,-0.01186,0.0123,-0.01791,-0.00574,2,13,0,0.00537,0.02148
Easy_Negatives_Farthest,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,mcc,0.00535,0.03705,-0.01251,0.02322,8,7,0,0.59949,0.77574
Easy_Negatives_Farthest,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,roc_auc,-0.00639,0.00814,-0.01041,-0.00247,3,12,0,0.01147,0.0306
Easy_Negatives_Farthest,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,f1,0.01216,0.04715,-0.00884,0.03739,9,6,0,0.63867,0.77574
Easy_Negatives_Farthest,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.00583,0.01397,-0.0009,0.01257,11,4,0,0.11824,0.27026
Easy_Negatives_Farthest,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,mcc,0.00578,0.07788,-0.02873,0.04731,7,8,0,0.89038,0.94974
Easy_Negatives_Farthest,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.00259,0.01164,-0.00282,0.00827,9,6,0,0.3028,0.60559
Easy_Negatives_Farthest,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,f1,0.02531,0.13494,-0.02683,0.10083,7,8,0,1.0,1.0
Easy_Negatives_Farthest,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,pr_auc,-0.00603,0.02133,-0.0164,0.00433,5,10,0,0.3894,0.62305
Easy_Negatives_Farthest,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,mcc,0.01114,0.06402,-0.01934,0.04437,7,8,0,0.67877,0.77574
