gene_symbol,n_external_sets,external_sets,external_evidence_strength
ABCC8,3,Beta_cell_function_or_development; Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion,high_multi_source
ADAMTS9,1,Known_T2D_GWAS_or_genetic_risk,single_source
ADCY5,1,Known_T2D_GWAS_or_genetic_risk,single_source
AKT2,1,Glucose_metabolism_transport_or_insulin_secretion,single_source
CACNA1D,1,Beta_cell_function_or_development,single_source
CAMK1D,1,Known_T2D_GWAS_or_genetic_risk,single_source
CDC123,1,Known_T2D_GWAS_or_genetic_risk,single_source
CDKAL1,1,Known_T2D_GWAS_or_genetic_risk,single_source
CDKN2B,1,Known_T2D_GWAS_or_genetic_risk,single_source
DGKB,1,Known_T2D_GWAS_or_genetic_risk,single_source
DPP4,2,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion,moderate_two_source
DUSP9,1,Known_T2D_GWAS_or_genetic_risk,single_source
FTO,1,Known_T2D_GWAS_or_genetic_risk,single_source
G6PC2,1,Glucose_metabolism_transport_or_insulin_secretion,single_source
GAD1,1,Beta_cell_function_or_development,single_source
GCK,4,Beta_cell_function_or_development; Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion; Known_T2D_GWAS_or_genetic_risk,high_multi_source
GCKR,2,Glucose_metabolism_transport_or_insulin_secretion; Known_T2D_GWAS_or_genetic_risk,moderate_two_source
GIPR,3,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion; Known_T2D_GWAS_or_genetic_risk,high_multi_source
GLIS3,2,Beta_cell_function_or_development; Known_T2D_GWAS_or_genetic_risk,moderate_two_source
GLP1R,2,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion,moderate_two_source
GRB14,1,Known_T2D_GWAS_or_genetic_risk,single_source
HHEX,1,Known_T2D_GWAS_or_genetic_risk,single_source
HK1,1,Glucose_metabolism_transport_or_insulin_secretion,single_source
HMGA2,1,Known_T2D_GWAS_or_genetic_risk,single_source
HNF1A,1,Beta_cell_function_or_development,single_source
HNF1B,1,Beta_cell_function_or_development,single_source
HNF4A,1,Beta_cell_function_or_development,single_source
IGF2BP2,1,Known_T2D_GWAS_or_genetic_risk,single_source
INS,1,Beta_cell_function_or_development,single_source
INSR,3,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion; Known_T2D_GWAS_or_genetic_risk,high_multi_source
IRS1,2,Glucose_metabolism_transport_or_insulin_secretion; Known_T2D_GWAS_or_genetic_risk,moderate_two_source
IRS2,1,Glucose_metabolism_transport_or_insulin_secretion,single_source
ISL1,1,Beta_cell_function_or_development,single_source
JAZF1,1,Known_T2D_GWAS_or_genetic_risk,single_source
KCNJ11,4,Beta_cell_function_or_development; Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion; Known_T2D_GWAS_or_genetic_risk,high_multi_source
KCNQ1,1,Known_T2D_GWAS_or_genetic_risk,single_source
MAEA,1,Known_T2D_GWAS_or_genetic_risk,single_source
MGAM,1,Diabetes_drug_targets_or_pharmacology,single_source
MTNR1B,2,Beta_cell_function_or_development; Known_T2D_GWAS_or_genetic_risk,moderate_two_source
NDUFA1,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFA10,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFA11,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFA12,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFA13,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFA2,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFA3,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFA5,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFA6,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFA7,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFA8,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFA9,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFB1,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFB10,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFB11,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFB2,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFB3,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFB4,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFB5,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFB6,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFB7,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFB8,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFB9,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFS1,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFS2,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFS3,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFS4,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFS5,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFS6,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFS7,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFS8,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFV1,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFV2,1,Mitochondrial_OXPHOS_complex_I,single_source
NDUFV3,1,Mitochondrial_OXPHOS_complex_I,single_source
NEUROD1,1,Beta_cell_function_or_development,single_source
NKX6-1,1,Beta_cell_function_or_development,single_source
NOTCH2,1,Known_T2D_GWAS_or_genetic_risk,single_source
PAX4,1,Beta_cell_function_or_development,single_source
PCSK1,2,Beta_cell_function_or_development; Glucose_metabolism_transport_or_insulin_secretion,moderate_two_source
PDX1,1,Beta_cell_function_or_development,single_source
PIK3R1,1,Glucose_metabolism_transport_or_insulin_secretion,single_source
PPARG,2,Diabetes_drug_targets_or_pharmacology; Known_T2D_GWAS_or_genetic_risk,moderate_two_source
PROX1,1,Known_T2D_GWAS_or_genetic_risk,single_source
SLC2A2,1,Glucose_metabolism_transport_or_insulin_secretion,single_source
SLC30A8,2,Beta_cell_function_or_development; Known_T2D_GWAS_or_genetic_risk,moderate_two_source
SLC5A1,1,Glucose_metabolism_transport_or_insulin_secretion,single_source
SLC5A2,2,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion,moderate_two_source
TCF7L2,1,Known_T2D_GWAS_or_genetic_risk,single_source
THADA,1,Known_T2D_GWAS_or_genetic_risk,single_source
TP53INP1,1,Known_T2D_GWAS_or_genetic_risk,single_source
TSPAN8,1,Known_T2D_GWAS_or_genetic_risk,single_source
WFS1,1,Known_T2D_GWAS_or_genetic_risk,single_source
