sample_index,gene_symbol,true_label,mean_percentile_rank,sd_percentile_rank,mean_rank,best_rank,consensus_rank,external_sets,n_external_sets,is_external_supported,n_external_sets_external,external_sets_external,external_evidence_strength,is_current_negative,is_current_positive
268,NDUFV1,0,0.95373975,0.0252286738504028,84.5,28,22,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
585,NDUFA12,0,0.85997225,0.143208328562215,253.75,30,158,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
727,NDUFS7,0,0.7613570000000001,0.0723712135359541,431.75,278,339,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
628,NDUFB10,0,0.7520775,0.1828741991288,448.5,198,360,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
810,GIPR,0,0.7254845,0.1053753053123295,496.5,348,413,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion; Known_T2D_GWAS_or_genetic_risk,3,True,3.0,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion; Known_T2D_GWAS_or_genetic_risk,high_multi_source,True,False
607,NDUFA9,0,0.71731325,0.0893876975814718,511.25,423,431,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
328,NDUFB4,0,0.6981995,0.0849163643808816,545.75,359,470,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
514,NDUFB5,0,0.667036,0.1647978655666794,602.0,354,539,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
403,NDUFA10,0,0.65637125,0.114421178652599,621.25,456,561,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
320,NDUFB8,0,0.6051245000000001,0.2739269179939544,713.75,341,678,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
829,MTNR1B,0,0.57562325,0.2031922145955646,767.0,267,743,Beta_cell_function_or_development; Known_T2D_GWAS_or_genetic_risk,2,True,2.0,Beta_cell_function_or_development; Known_T2D_GWAS_or_genetic_risk,moderate_two_source,True,False
19,PROX1,0,0.57562325,0.0487532575757764,767.0,643,743,Known_T2D_GWAS_or_genetic_risk,1,True,1.0,Known_T2D_GWAS_or_genetic_risk,single_source,True,False
1187,NDUFS8,0,0.5716065,0.0107269717845563,774.25,757,749,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
1570,GLIS3,0,0.52520775,0.2013687854863558,858.0,383,856,Beta_cell_function_or_development; Known_T2D_GWAS_or_genetic_risk,2,True,2.0,Beta_cell_function_or_development; Known_T2D_GWAS_or_genetic_risk,moderate_two_source,True,False
324,TSPAN8,0,0.42562325,0.0492199736650003,1037.75,943,1061,Known_T2D_GWAS_or_genetic_risk,1,True,1.0,Known_T2D_GWAS_or_genetic_risk,single_source,True,False
1221,JAZF1,0,0.42077575,0.1365731046543083,1046.5,700,1073,Known_T2D_GWAS_or_genetic_risk,1,True,1.0,Known_T2D_GWAS_or_genetic_risk,single_source,True,False
938,KCNQ1,0,0.41565075,0.0262380365928931,1055.75,1006,1082,Known_T2D_GWAS_or_genetic_risk,1,True,1.0,Known_T2D_GWAS_or_genetic_risk,single_source,True,False
619,NDUFS5,0,0.4152355,0.0529046517961007,1056.5,934,1083,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
684,NDUFV3,0,0.40928,0.1920461899387748,1067.25,685,1096,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
28,CACNA1D,0,0.3699445,0.0309666359651803,1138.25,1072,1181,Beta_cell_function_or_development,1,True,1.0,Beta_cell_function_or_development,single_source,True,False
688,CDKN2B,0,0.30678675,0.0909346956387751,1252.25,1049,1316,Known_T2D_GWAS_or_genetic_risk,1,True,1.0,Known_T2D_GWAS_or_genetic_risk,single_source,True,False
1624,NDUFB3,0,0.301662,0.2309348668362286,1261.5,648,1324,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
692,NDUFA5,0,0.29058175,0.0925087989918616,1281.5,1112,1342,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
1302,ADCY5,0,0.27631575,0.110230906898126,1307.25,1148,1370,Known_T2D_GWAS_or_genetic_risk,1,True,1.0,Known_T2D_GWAS_or_genetic_risk,single_source,True,False
