model_name,display_name,top_n_negative_ranked,observed_external_supported_negatives,random_mean,random_sd,fold_enrichment_vs_random,empirical_p,external_supported_negative_genes_in_topn,empirical_bh_fdr_global,empirical_bh_fdr_within_topn
DNABERT2_multimodal,DNABERT-2 multimodal,25,2,1.2118,1.05203,1.65044,0.34473,NDUFA12; NDUFV1,0.97223,0.72306
DNABERT2_multimodal,DNABERT-2 multimodal,50,3,2.426,1.50631,1.2366,0.44191,NDUFA12; NDUFB10; NDUFV1,0.97223,0.92362
DNABERT2_multimodal,DNABERT-2 multimodal,100,6,4.8782,2.00603,1.22996,0.35373,GIPR; NDUFA12; NDUFA9; NDUFB10; NDUFB5; NDUFV1,0.97223,0.88142
DNABERT2_multimodal,DNABERT-2 multimodal,150,8,7.3574,2.42298,1.08734,0.46411,GIPR; NDUFA10; NDUFA12; NDUFA9; NDUFB10; NDUFB5; NDUFS7; NDUFV1,0.97223,0.61881
DNABERT2_multimodal,DNABERT-2 multimodal,200,10,9.714,2.70652,1.02944,0.5211,GIPR; NDUFA10; NDUFA12; NDUFA9; NDUFB10; NDUFB4; NDUFB5; NDUFB8; NDUFS7; NDUFV1,0.97223,0.69799
Genomic_only_K3K4Basic,Genomic-only,25,1,1.2356,1.0729,0.80932,0.72306,NDUFA12,0.97223,0.72306
Genomic_only_K3K4Basic,Genomic-only,50,2,2.4046,1.47856,0.83174,0.71326,NDUFA12; NDUFV1,0.97223,0.92362
Genomic_only_K3K4Basic,Genomic-only,100,3,4.8408,2.03241,0.61973,0.88142,MTNR1B; NDUFA12; NDUFV1,0.97223,0.88142
Genomic_only_K3K4Basic,Genomic-only,150,5,7.2842,2.40437,0.68642,0.87542,MTNR1B; NDUFA12; NDUFB4; NDUFS7; NDUFV1,0.97223,0.87542
Genomic_only_K3K4Basic,Genomic-only,200,5,9.7228,2.66176,0.51426,0.9856,MTNR1B; NDUFA12; NDUFB4; NDUFS7; NDUFV1,0.9856,0.9856
Handcrafted_multimodal,Handcrafted multimodal,25,1,1.216,1.05032,0.82237,0.72106,NDUFV1,0.97223,0.72306
Handcrafted_multimodal,Handcrafted multimodal,50,1,2.4152,1.49414,0.41404,0.92042,NDUFV1,0.97223,0.92362
Handcrafted_multimodal,Handcrafted multimodal,100,4,4.8912,2.01876,0.8178,0.74685,NDUFA12; NDUFB10; NDUFS7; NDUFV1,0.97223,0.88142
Handcrafted_multimodal,Handcrafted multimodal,150,9,7.3424,2.40805,1.22576,0.30434,GIPR; NDUFA12; NDUFA9; NDUFB10; NDUFB4; NDUFB5; NDUFB8; NDUFS7; NDUFV1,0.97223,0.60868
Handcrafted_multimodal,Handcrafted multimodal,200,11,9.7078,2.70027,1.13311,0.37612,GIPR; NDUFA10; NDUFA12; NDUFA9; NDUFB10; NDUFB4; NDUFB5; NDUFB8; NDUFS7; NDUFV1; PROX1,0.97223,0.69799
Protein_only_ProtBERT_SW,Protein-only,25,1,1.2168,1.06828,0.82183,0.71986,NDUFV1,0.97223,0.72306
Protein_only_ProtBERT_SW,Protein-only,50,1,2.4446,1.46498,0.40906,0.92362,NDUFV1,0.97223,0.92362
Protein_only_ProtBERT_SW,Protein-only,100,5,4.8652,2.03378,1.02771,0.55489,GIPR; GLIS3; NDUFB10; NDUFB8; NDUFV1,0.97223,0.88142
Protein_only_ProtBERT_SW,Protein-only,150,9,7.3036,2.37128,1.23227,0.29754,GIPR; GLIS3; NDUFA10; NDUFA9; NDUFB10; NDUFB5; NDUFB8; NDUFS7; NDUFV1,0.97223,0.60868
Protein_only_ProtBERT_SW,Protein-only,200,10,9.768,2.70238,1.02375,0.5235,GIPR; GLIS3; NDUFA10; NDUFA12; NDUFA9; NDUFB10; NDUFB5; NDUFB8; NDUFS7; NDUFV1,0.97223,0.69799
