row_index,gene_id,gene_symbol,uniprot_accession,label,sequence_clean_length,n_windows,window_size,stride,representation
0,ENSG00000205155,PSENEN,Q9NZ42,0,101,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
1,ENSG00000164530,PI16,Q6UXB8,1,463,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
2,ENSG00000143167,GPA33,Q99795,0,319,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
3,ENSG00000137691,CFAP300,Q9BRQ4,0,267,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
4,ENSG00000095981,KCNK16,Q96T55,1,309,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
5,ENSG00000213996,TM6SF2,Q9BZW4,1,377,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
6,ENSG00000164823,OSGIN2,Q9Y236,0,505,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
7,ENSG00000185716,MOSMO,Q8NHV5,0,167,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
8,ENSG00000181873,IBA57,Q5T440,0,356,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
9,ENSG00000164647,STEAP1,Q9UHE8,1,339,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
10,ENSG00000145626,UGT3A1,Q6NUS8,0,523,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
11,ENSG00000196275,GTF2IRD2,Q86UP8,1,949,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
12,ENSG00000205302,SNX2,O60749,0,519,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
13,ENSG00000169594,BNC1,Q01954,0,994,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
14,ENSG00000124780,KCNK17,Q96T54,1,332,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
15,ENSG00000139719,VPS33A,Q96AX1,0,596,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
16,ENSG00000284479,SMIM39,A0A1B0GW54,0,56,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
17,ENSG00000151148,UBE3B,Q7Z3V4,0,1068,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
18,ENSG00000168081,PNOC,Q13519,1,176,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
19,ENSG00000117707,PROX1,Q92786,1,737,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
20,ENSG00000105877,DNAH11,Q96DT5,0,4516,5,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
21,ENSG00000050030,NEXMIF,Q5QGS0,0,1516,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
22,ENSG00000184985,SORCS2,Q96PQ0,1,1159,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
23,ENSG00000103253,HAGHL,Q6PII5,0,290,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
24,ENSG00000154269,ENPP3,O14638,1,875,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
25,ENSG00000168418,KCNG4,Q8TDN1,0,519,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
26,ENSG00000164574,GALNT10,Q86SR1,1,603,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
27,ENSG00000111275,ALDH2,P05091,1,517,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
28,ENSG00000157388,CACNA1D,Q01668,1,2161,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
29,ENSG00000183310,OR2T34,Q8NGX1,0,318,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
30,ENSG00000166035,LIPC,P11150,1,499,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
31,ENSG00000077684,JADE1,Q6IE81,0,842,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
32,ENSG00000160803,UBQLN4,Q9NRR5,0,601,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
33,ENSG00000197976,AKAP17A,Q02040,0,695,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
34,ENSG00000085978,ATG16L1,Q676U5,1,607,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
35,ENSG00000197093,GAL3ST4,Q96RP7,0,486,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
36,ENSG00000112499,SLC22A2,O15244,1,555,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
37,ENSG00000173812,EIF1,P41567,0,113,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
38,ENSG00000138190,EXOC6,Q8TAG9,1,804,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
39,ENSG00000174697,LEP,P41159,1,167,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
40,ENSG00000138050,THUMPD2,Q9BTF0,0,503,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
41,ENSG00000125744,RTN2,O75298,0,545,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
42,ENSG00000183049,CAMK1D,Q8IU85,1,385,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
43,ENSG00000090686,USP48,Q86UV5,1,1035,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
44,ENSG00000105675,ATP4A,P20648,1,1035,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
45,ENSG00000196118,CFAP119,A1A4V9,0,331,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
