row_index,gene_id,gene_symbol,uniprot_accession,label,sequence_clean_length,truncated,used_length,max_aa_length,representation,true_label,pred_score,pred_label,threshold,model_name,error_type
127,ENSG00000198089,SFI1,A8K8P3,1,1242,True,1022,1022,ProtBERT_truncated_1022,1,0.15009290604141398,0,0.3800000000000003,Logistic Regression,FN
61,ENSG00000156920,ADGRG4,Q8IZF6,1,3080,True,1022,1022,ProtBERT_truncated_1022,1,0.2094333871784867,0,0.3800000000000003,Logistic Regression,FN
103,ENSG00000103932,RPAP1,Q9BWH6,1,1393,True,1022,1022,ProtBERT_truncated_1022,1,0.21159976987056664,0,0.3800000000000003,Logistic Regression,FN
53,ENSG00000203760,CENPW,Q5EE01,1,88,False,88,1022,ProtBERT_truncated_1022,1,0.24012998901129656,0,0.3800000000000003,Logistic Regression,FN
204,ENSG00000144712,CAND2,O75155,1,1236,True,1022,1022,ProtBERT_truncated_1022,1,0.25577069180792056,0,0.3800000000000003,Logistic Regression,FN
175,ENSG00000008710,PKD1,P98161,1,4303,True,1022,1022,ProtBERT_truncated_1022,1,0.272444353891311,0,0.3800000000000003,Logistic Regression,FN
198,ENSG00000187240,DYNC2H1,Q8NCM8,1,4307,True,1022,1022,ProtBERT_truncated_1022,1,0.2916729449346051,0,0.3800000000000003,Logistic Regression,FN
59,ENSG00000153820,SPHKAP,Q2M3C7,1,1700,True,1022,1022,ProtBERT_truncated_1022,1,0.3121974115985479,0,0.3800000000000003,Logistic Regression,FN
264,ENSG00000188352,FOCAD,Q5VW36,1,1801,True,1022,1022,ProtBERT_truncated_1022,1,0.3200288526657325,0,0.3800000000000003,Logistic Regression,FN
11,ENSG00000160185,UBASH3A,P57075,1,661,False,661,1022,ProtBERT_truncated_1022,1,0.33328162759584895,0,0.3800000000000003,Logistic Regression,FN
94,ENSG00000185436,IFNLR1,Q8IU57,1,520,False,520,1022,ProtBERT_truncated_1022,1,0.3351502918546992,0,0.3800000000000003,Logistic Regression,FN
203,ENSG00000056972,TRAF3IP2,O43734,1,574,False,574,1022,ProtBERT_truncated_1022,1,0.33954406758085504,0,0.3800000000000003,Logistic Regression,FN
197,ENSG00000126266,FFAR1,O14842,1,300,False,300,1022,ProtBERT_truncated_1022,1,0.3426155512724117,0,0.3800000000000003,Logistic Regression,FN
60,ENSG00000074755,ZZEF1,O43149,1,2961,True,1022,1022,ProtBERT_truncated_1022,1,0.34492367569040805,0,0.3800000000000003,Logistic Regression,FN
40,ENSG00000087448,KLHL42,Q9P2K6,1,505,False,505,1022,ProtBERT_truncated_1022,1,0.34666192318360617,0,0.3800000000000003,Logistic Regression,FN
105,ENSG00000138771,SHROOM3,Q8TF72,1,1996,True,1022,1022,ProtBERT_truncated_1022,1,0.35099545386433423,0,0.3800000000000003,Logistic Regression,FN
211,ENSG00000140464,PML,P29590,1,882,False,882,1022,ProtBERT_truncated_1022,1,0.3515865714680386,0,0.3800000000000003,Logistic Regression,FN
243,ENSG00000072310,SREBF1,P36956,1,1147,True,1022,1022,ProtBERT_truncated_1022,1,0.3550928854462955,0,0.3800000000000003,Logistic Regression,FN
191,ENSG00000112282,MED23,Q9ULK4,1,1368,True,1022,1022,ProtBERT_truncated_1022,1,0.35550223973009626,0,0.3800000000000003,Logistic Regression,FN
268,ENSG00000198625,MDM4,O15151,1,490,False,490,1022,ProtBERT_truncated_1022,1,0.36691956193085457,0,0.3800000000000003,Logistic Regression,FN
