row_index,gene_id,gene_symbol,uniprot_accession,label,sequence_clean_length,n_windows,window_size,stride,representation,true_label,pred_score,pred_label,threshold,model_name,error_type
188,ENSG00000078687,TNRC6C,Q9HCJ0,0,1936,2,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.8854282605332446,1,0.4250000000000003,Logistic Regression,FP
2,ENSG00000185262,UBALD2,Q8IYN6,0,164,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.8068489464455101,1,0.4250000000000003,Logistic Regression,FP
134,ENSG00000213782,DDX47,Q9H0S4,0,455,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.7597563172170221,1,0.4250000000000003,Logistic Regression,FP
0,ENSG00000177542,SLC25A22,Q9H936,0,323,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.7584989013584541,1,0.4250000000000003,Logistic Regression,FP
96,ENSG00000182575,NXPH3,O95157,0,252,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.7579684054255148,1,0.4250000000000003,Logistic Regression,FP
227,ENSG00000189108,IL1RAPL2,Q9NP60,0,686,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.7528181162667813,1,0.4250000000000003,Logistic Regression,FP
184,ENSG00000110881,ASIC1,P78348,0,528,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.7506063781055156,1,0.4250000000000003,Logistic Regression,FP
79,ENSG00000134287,ARF3,P61204,0,181,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.7485368609497643,1,0.4250000000000003,Logistic Regression,FP
182,ENSG00000074695,LMAN1,P49257,0,510,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.7477213570510944,1,0.4250000000000003,Logistic Regression,FP
8,ENSG00000111711,GOLT1B,Q9Y3E0,0,138,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.7275380958270006,1,0.4250000000000003,Logistic Regression,FP
91,ENSG00000160221,GATD3,P0DPI2,0,268,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.7216677533710261,1,0.4250000000000003,Logistic Regression,FP
220,ENSG00000187325,TAF9B,Q9HBM6,0,251,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.7146895218183862,1,0.4250000000000003,Logistic Regression,FP
142,ENSG00000165443,PHYHIPL,Q96FC7,0,376,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.7069352519421648,1,0.4250000000000003,Logistic Regression,FP
224,ENSG00000157851,DPYSL5,Q9BPU6,0,564,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.7030194327117127,1,0.4250000000000003,Logistic Regression,FP
217,ENSG00000196376,SLC35F1,Q5T1Q4,0,408,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.6995104230453211,1,0.4250000000000003,Logistic Regression,FP
153,ENSG00000143393,PI4KB,Q9UBF8,0,816,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.6942943013924988,1,0.4250000000000003,Logistic Regression,FP
200,ENSG00000108091,CCDC6,Q16204,0,474,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.6931397994828329,1,0.4250000000000003,Logistic Regression,FP
225,ENSG00000074219,TEAD2,Q15562,0,447,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.6916964070674247,1,0.4250000000000003,Logistic Regression,FP
66,ENSG00000164303,ENPP6,Q6UWR7,0,440,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.69079633956408,1,0.4250000000000003,Logistic Regression,FP
100,ENSG00000128040,SPINK2,P20155,0,84,1,1022,1022,ProtBERT_sliding_window_1022_stride_1022,0,0.6809826480829893,1,0.4250000000000003,Logistic Regression,FP
