sample_index,gene_symbol,true_label,mean_percentile_rank,sd_percentile_rank,mean_rank,best_rank,consensus_rank,external_sets_x,n_external_sets_x,is_external_supported,n_curated_pathways,curated_pathways,is_pathway_supported,n_external_sets_y,external_sets_y,n_external_sets,external_sets,relabel_audit_priority,external_evidence_strength,case_interpretation
386,ATP4B,1,0.99598,0.00469,8.25,1,1,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
560,VDR,1,0.99127,0.00878,16.75,1,2,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
454,ZC3H13,1,0.98795,0.01199,22.75,4,3,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
878,B4GALNT1,1,0.98463,0.01526,28.75,14,4,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
389,CACNA2D3,1,0.98102,0.01853,35.25,7,5,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
309,GMDS,1,0.97825,0.01655,40.25,5,6,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
1232,ETS1,1,0.97701,0.02146,42.5,13,7,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
1701,GRM8,1,0.97576,0.04626,44.75,2,8,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
534,FEZF1,1,0.97382,0.04352,48.25,5,9,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
21,NEXMIF,0,0.97258,0.05227,50.5,1,10,,0,False,0,,False,,,0,,,,High-ranked current-negative candidate requiring audit
1685,RBM27,1,0.9723,0.01958,51.0,6,11,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
1438,DTYMK,1,0.9705,0.02256,54.25,9,12,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
1019,JAG1,1,0.96856,0.02273,57.75,14,13,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
634,DENND2A,1,0.96759,0.02911,59.5,9,14,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
1014,LRRIQ1,0,0.96759,0.02861,59.5,13,14,,0,False,0,,False,,,0,,,,High-ranked current-negative candidate requiring audit
612,SMARCAD1,0,0.96385,0.0137,66.25,38,16,,0,False,0,,False,,,0,,,,High-ranked current-negative candidate requiring audit
575,MLXIPL,1,0.96357,0.05996,66.75,8,17,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
1792,HHIPL1,1,0.95956,0.02848,74.0,26,18,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
338,TAF2,1,0.95762,0.02695,77.5,31,19,,0,False,0,,False,,,0,,,,Known/current-positive high-confidence recovery
