gene_symbol,found_in_candidate_universe,true_label,consensus_rank,mean_percentile_rank,best_rank,n_curated_pathways,curated_pathways,n_external_sets,external_sets,relabel_audit_priority,case_interpretation,dnabert2_minus_handcrafted_rank_delta,dnabert2_minus_handcrafted_score_delta,model_rank_summary
INSR,True,1,290,0.78476,162,4,Glucose_metabolism_transport; Incretin_diabetes_pharmacology; Insulin_signalling; Known_T2D_GWAS_loci,0,,,Lower-priority / background candidate,-68,0.0273,"Genomic-only: rank 162, score 0.647; DNABERT-2 multimodal: rank 395, score 0.684; Handcrafted multimodal: rank 463, score 0.656; Protein-only: rank 538, score 0.625"
IRS1,True,1,159,0.85983,117,3,Glucose_metabolism_transport; Insulin_signalling; Known_T2D_GWAS_loci,0,,,Known/current-positive high-confidence recovery,124,-0.03588,"Handcrafted multimodal: rank 117, score 0.781; Protein-only: rank 237, score 0.718; DNABERT-2 multimodal: rank 241, score 0.745; Genomic-only: rank 421, score 0.571"
GCK,True,1,236,0.81565,98,5,Beta_cell_function_development; Glucose_metabolism_transport; Incretin_diabetes_pharmacology; Insulin_secretion_KATP_Ca; Known_T2D_GWAS_loci,0,,,Lower-priority / background candidate,-45,0.02845,"Protein-only: rank 98, score 0.766; DNABERT-2 multimodal: rank 256, score 0.741; Handcrafted multimodal: rank 301, score 0.713; Genomic-only: rank 680, score 0.521"
GCKR,True,1,131,0.87687,6,2,Glucose_metabolism_transport; Known_T2D_GWAS_loci,0,,,Known/current-positive high-confidence recovery,31,-0.02512,"Protein-only: rank 6, score 0.841; Handcrafted multimodal: rank 10, score 0.865; DNABERT-2 multimodal: rank 41, score 0.840; Genomic-only: rank 836, score 0.497"
DPP4,True,0,1515,0.21648,1322,1,Incretin_diabetes_pharmacology,0,,low,Lower-priority / background candidate,-4,-0.01255,"Genomic-only: rank 1322, score 0.434; DNABERT-2 multimodal: rank 1438, score 0.301; Handcrafted multimodal: rank 1442, score 0.313; Protein-only: rank 1459, score 0.311"
GIPR,True,0,413,0.72548,348,3,Incretin_diabetes_pharmacology; Insulin_secretion_KATP_Ca; Known_T2D_GWAS_loci,0,,high,Current-negative but pathway-supported hypothesis candidate,-48,0.0214,"Protein-only: rank 348, score 0.686; DNABERT-2 multimodal: rank 408, score 0.680; Handcrafted multimodal: rank 456, score 0.658; Genomic-only: rank 774, score 0.506"
KCNJ11,True,1,1081,0.4162,724,3,Incretin_diabetes_pharmacology; Insulin_secretion_KATP_Ca; Known_T2D_GWAS_loci,0,,,Current-positive low-rank / possible model miss,-86,0.02112,"Genomic-only: rank 724, score 0.514; Protein-only: rank 1037, score 0.459; DNABERT-2 multimodal: rank 1186, score 0.392; Handcrafted multimodal: rank 1272, score 0.371"
ABCC8,True,1,864,0.51981,543,2,Incretin_diabetes_pharmacology; Insulin_secretion_KATP_Ca,0,,,Lower-priority / background candidate,-567,0.20316,"Genomic-only: rank 543, score 0.546; DNABERT-2 multimodal: rank 645, score 0.594; Protein-only: rank 1071, score 0.448; Handcrafted multimodal: rank 1212, score 0.391"
PDX1,True,1,1091,0.41136,668,1,Beta_cell_function_development,0,,,Current-positive low-rank / possible model miss,147,-0.06027,"Genomic-only: rank 668, score 0.525; Handcrafted multimodal: rank 1121, score 0.422; Protein-only: rank 1197, score 0.408; DNABERT-2 multimodal: rank 1268, score 0.361"
NEUROD1,True,1,1105,0.40485,131,1,Beta_cell_function_development,0,,,Current-positive low-rank / possible model miss,-153,0.04813,"Genomic-only: rank 131, score 0.659; DNABERT-2 multimodal: rank 1125, score 0.415; Handcrafted multimodal: rank 1278, score 0.367; Protein-only: rank 1767, score 0.190"
