sample_index,gene_symbol,true_label,mean_percentile_rank,sd_percentile_rank,mean_rank,best_rank,consensus_rank,external_sets_x,n_external_sets_x,is_external_supported,n_curated_pathways,curated_pathways,is_pathway_supported,n_external_sets_y,external_sets_y,n_external_sets,external_sets,relabel_audit_priority,external_evidence_strength,case_interpretation
1737,TRAF3IP2,1,0.00637,0.00684,1794.5,1777,1806,,0,False,0,,False,,,0,,,,Current-positive low-rank / possible model miss
1502,NDUFAF3,1,0.01939,0.02399,1771.0,1707,1802,,0,False,0,,False,,,0,,,,Current-positive low-rank / possible model miss
787,ZNF573,1,0.02161,0.00412,1767.0,1760,1799,,0,False,0,,False,,,0,,,,Current-positive low-rank / possible model miss
791,TIMP4,1,0.02978,0.05476,1752.25,1604,1792,,0,False,0,,False,,,0,,,,Current-positive low-rank / possible model miss
715,NTNG1,1,0.03864,0.0464,1736.25,1619,1787,,0,False,0,,False,,,0,,,,Current-positive low-rank / possible model miss
352,RAB27B,1,0.07465,0.00719,1671.25,1653,1752,,0,False,0,,False,,,0,,,,Current-positive low-rank / possible model miss
438,PCDHGA8,1,0.07521,0.08887,1670.25,1432,1751,,0,False,0,,False,,,0,,,,Current-positive low-rank / possible model miss
1706,NDUFB2,1,0.08906,0.08021,1645.25,1434,1731,Mitochondrial_OXPHOS_complex_I,1,False,1,Mitochondrial_complex_I_OXPHOS,True,1.0,Mitochondrial_OXPHOS_complex_I,0,,,,Current-positive low-rank / possible model miss
770,CFAP47,1,0.09862,0.10044,1628.0,1359,1723,,0,False,0,,False,,,0,,,,Current-positive low-rank / possible model miss
1692,BRWD3,1,0.09972,0.06513,1626.0,1503,1722,,0,False,0,,False,,,0,,,,Current-positive low-rank / possible model miss
395,MSRA,1,0.10222,0.03918,1621.5,1533,1718,,0,False,0,,False,,,0,,,,Current-positive low-rank / possible model miss
1100,ZCCHC7,1,0.10457,0.09384,1617.25,1368,1714,,0,False,0,,False,,,0,,,,Current-positive low-rank / possible model miss
1387,SLC5A2,1,0.11468,0.06838,1599.0,1474,1698,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion,2,False,2,Glucose_metabolism_transport; Incretin_diabetes_pharmacology,True,2.0,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion,0,,,,Current-positive low-rank / possible model miss
1581,HSD17B12,1,0.1162,0.08808,1596.25,1370,1697,,0,False,0,,False,,,0,,,,Current-positive low-rank / possible model miss
