gene_symbol,true_label,consensus_rank,mean_percentile_rank,best_rank,n_curated_pathways,curated_pathways,n_external_sets,relabel_audit_priority,case_interpretation,dnabert2_minus_handcrafted_rank_delta,model_rank_summary
NDUFV1,0,22,0.9537,28,1,Mitochondrial_complex_I_OXPHOS,0,high,Current-negative but pathway-supported hypothesis candidate,67,"Handcrafted multimodal: rank 28, score 0.831; Protein-only: rank 77, score 0.779; DNABERT-2 multimodal: rank 95, score 0.809; Genomic-only: rank 138, score 0.656"
NDUFS6,1,90,0.9051,120,1,Mitochondrial_complex_I_OXPHOS,0,,Known/current-positive high-confidence recovery,-56,"Genomic-only: rank 120, score 0.663; DNABERT-2 multimodal: rank 151, score 0.783; Handcrafted multimodal: rank 207, score 0.745; Protein-only: rank 211, score 0.727"
NDUFB11,1,95,0.9012,55,1,Mitochondrial_complex_I_OXPHOS,0,,Known/current-positive high-confidence recovery,-40,"DNABERT-2 multimodal: rank 55, score 0.828; Handcrafted multimodal: rank 95, score 0.795; Protein-only: rank 167, score 0.740; Genomic-only: rank 400, score 0.576"
NDUFA7,1,107,0.8958,28,1,Mitochondrial_complex_I_OXPHOS,0,,Known/current-positive high-confidence recovery,-95,"DNABERT-2 multimodal: rank 28, score 0.853; Handcrafted multimodal: rank 123, score 0.779; Protein-only: rank 145, score 0.746; Genomic-only: rank 460, score 0.561"
NKX6-1,1,115,0.89,23,1,Beta_cell_function_development,0,,Known/current-positive high-confidence recovery,-30,"DNABERT-2 multimodal: rank 23, score 0.855; Protein-only: rank 39, score 0.806; Handcrafted multimodal: rank 53, score 0.815; Genomic-only: rank 683, score 0.521"
GCKR,1,131,0.8769,6,2,Glucose_metabolism_transport; Known_T2D_GWAS_loci,0,,Known/current-positive high-confidence recovery,31,"Protein-only: rank 6, score 0.841; Handcrafted multimodal: rank 10, score 0.865; DNABERT-2 multimodal: rank 41, score 0.840; Genomic-only: rank 836, score 0.497"
NDUFA12,0,158,0.86,30,1,Mitochondrial_complex_I_OXPHOS,0,high,Current-negative but pathway-supported hypothesis candidate,-181,"Genomic-only: rank 30, score 0.717; DNABERT-2 multimodal: rank 98, score 0.806; Handcrafted multimodal: rank 279, score 0.719; Protein-only: rank 608, score 0.603"
IRS1,1,159,0.8598,117,3,Glucose_metabolism_transport; Insulin_signalling; Known_T2D_GWAS_loci,0,,Known/current-positive high-confidence recovery,124,"Handcrafted multimodal: rank 117, score 0.781; Protein-only: rank 237, score 0.718; DNABERT-2 multimodal: rank 241, score 0.745; Genomic-only: rank 421, score 0.571"
CDC123,1,168,0.8558,48,1,Known_T2D_GWAS_loci,0,,Known/current-positive high-confidence recovery,-213,"Genomic-only: rank 48, score 0.701; DNABERT-2 multimodal: rank 61, score 0.824; Handcrafted multimodal: rank 274, score 0.721; Protein-only: rank 662, score 0.586"
ADAMTS9,1,229,0.8191,180,1,Known_T2D_GWAS_loci,0,,Lower-priority / background candidate,-24,"DNABERT-2 multimodal: rank 180, score 0.770; Protein-only: rank 186, score 0.735; Handcrafted multimodal: rank 204, score 0.746; Genomic-only: rank 740, score 0.512"
