model_name,sample_index,gene_symbol,true_label,mean_oof_score,sd_oof_score,mean_threshold,pred_vote_rate,n_oof_predictions,aggregated_pred_label,outcome,rank_desc,percentile_rank,display_name
DNABERT2_multimodal,0,PSENEN,0,0.44969,0.05447,0.49048,0.4,5,0,TN,1034,0.4277,DNABERT-2 multimodal
DNABERT2_multimodal,1,PI16,1,0.73537,0.03321,0.53503,1.0,5,1,TP,267,0.85263,DNABERT-2 multimodal
DNABERT2_multimodal,2,GPA33,0,0.32018,0.04,0.4971,0.0,5,0,TN,1379,0.23656,DNABERT-2 multimodal
DNABERT2_multimodal,3,CFAP300,0,0.43657,0.02531,0.47533,0.2,5,0,TN,1067,0.40942,DNABERT-2 multimodal
DNABERT2_multimodal,4,KCNK16,1,0.8002,0.0298,0.4697,1.0,5,1,TP,116,0.93629,DNABERT-2 multimodal
DNABERT2_multimodal,5,TM6SF2,1,0.2815,0.03547,0.50723,0.0,5,0,FN,1492,0.17396,DNABERT-2 multimodal
DNABERT2_multimodal,6,OSGIN2,0,0.56388,0.06555,0.46065,0.8,5,1,FP,730,0.59612,DNABERT-2 multimodal
DNABERT2_multimodal,7,MOSMO,0,0.52724,0.06008,0.49898,0.8,5,1,FP,826,0.54294,DNABERT-2 multimodal
DNABERT2_multimodal,8,IBA57,0,0.3394,0.05398,0.48207,0.0,5,0,TN,1325,0.26648,DNABERT-2 multimodal
DNABERT2_multimodal,9,STEAP1,1,0.75371,0.04089,0.46893,1.0,5,1,TP,216,0.88089,DNABERT-2 multimodal
DNABERT2_multimodal,10,UGT3A1,1,0.63239,0.01505,0.45861,1.0,5,1,TP,531,0.70637,DNABERT-2 multimodal
DNABERT2_multimodal,11,GTF2IRD2,1,0.69536,0.09399,0.51975,1.0,5,1,TP,367,0.79723,DNABERT-2 multimodal
DNABERT2_multimodal,12,SNX2,1,0.38118,0.036,0.46772,0.0,5,0,FN,1203,0.33407,DNABERT-2 multimodal
DNABERT2_multimodal,13,BNC1,0,0.63116,0.07804,0.52113,0.8,5,1,FP,536,0.7036,DNABERT-2 multimodal
DNABERT2_multimodal,14,KCNK17,0,0.72897,0.05778,0.54311,1.0,5,1,FP,283,0.84377,DNABERT-2 multimodal
DNABERT2_multimodal,15,VPS33A,1,0.55214,0.0792,0.50078,0.8,5,1,TP,756,0.58172,DNABERT-2 multimodal
DNABERT2_multimodal,16,SMIM39,0,0.23152,0.04444,0.54691,0.0,5,0,TN,1655,0.08366,DNABERT-2 multimodal
DNABERT2_multimodal,17,UBE3B,1,0.68308,0.0644,0.50882,1.0,5,1,TP,397,0.78061,DNABERT-2 multimodal
DNABERT2_multimodal,18,PNOC,0,0.29934,0.06136,0.51797,0.0,5,0,TN,1444,0.20055,DNABERT-2 multimodal
DNABERT2_multimodal,19,PROX1,0,0.54003,0.03828,0.5394,0.4,5,0,TN,787,0.56454,DNABERT-2 multimodal
DNABERT2_multimodal,20,DNAH11,1,0.85134,0.02029,0.5328,1.0,5,1,TP,30,0.98393,DNABERT-2 multimodal
DNABERT2_multimodal,21,NEXMIF,0,0.8908,0.02468,0.49938,1.0,5,1,FP,3,0.99889,DNABERT-2 multimodal
DNABERT2_multimodal,22,SORCS2,1,0.37434,0.02764,0.54697,0.0,5,0,FN,1220,0.32465,DNABERT-2 multimodal
DNABERT2_multimodal,23,HAGHL,1,0.44024,0.0592,0.46784,0.4,5,0,FN,1061,0.41274,DNABERT-2 multimodal
DNABERT2_multimodal,24,ENPP3,0,0.24057,0.04286,0.48433,0.0,5,0,TN,1630,0.09751,DNABERT-2 multimodal
DNABERT2_multimodal,25,KCNG4,1,0.43679,0.05784,0.55922,0.2,5,0,FN,1065,0.41053,DNABERT-2 multimodal
DNABERT2_multimodal,26,GALNT10,0,0.39262,0.06293,0.49772,0.0,5,0,TN,1185,0.34404,DNABERT-2 multimodal
DNABERT2_multimodal,27,ALDH2,0,0.21781,0.01229,0.44989,0.0,5,0,TN,1691,0.06371,DNABERT-2 multimodal
DNABERT2_multimodal,28,CACNA1D,0,0.41307,0.07157,0.49375,0.2,5,0,TN,1129,0.37507,DNABERT-2 multimodal
DNABERT2_multimodal,29,OR2T34,1,0.71457,0.04882,0.45496,1.0,5,1,TP,323,0.82161,DNABERT-2 multimodal
DNABERT2_multimodal,30,LIPC,0,0.33742,0.09401,0.55309,0.0,5,0,TN,1335,0.26094,DNABERT-2 multimodal
DNABERT2_multimodal,31,JADE1,1,0.71943,0.04009,0.54705,1.0,5,1,TP,312,0.8277,DNABERT-2 multimodal
DNABERT2_multimodal,32,UBQLN4,0,0.529,0.08735,0.49974,0.6,5,1,FP,818,0.54737,DNABERT-2 multimodal
DNABERT2_multimodal,33,AKAP17A,1,0.72714,0.04983,0.51046,1.0,5,1,TP,289,0.84044,DNABERT-2 multimodal
DNABERT2_multimodal,34,ATG16L1,1,0.39744,0.027,0.46797,0.2,5,0,FN,1172,0.35125,DNABERT-2 multimodal
DNABERT2_multimodal,35,GAL3ST4,0,0.36931,0.04614,0.49583,0.0,5,0,TN,1239,0.31413,DNABERT-2 multimodal
DNABERT2_multimodal,36,SLC22A2,0,0.37377,0.03852,0.52488,0.0,5,0,TN,1223,0.32299,DNABERT-2 multimodal
DNABERT2_multimodal,37,EIF1,1,0.57076,0.07211,0.58024,0.6,5,1,TP,706,0.60942,DNABERT-2 multimodal
DNABERT2_multimodal,38,EXOC6,0,0.66087,0.03424,0.49039,1.0,5,1,FP,457,0.74737,DNABERT-2 multimodal
DNABERT2_multimodal,39,LEP,0,0.48609,0.06431,0.53809,0.4,5,0,TN,924,0.48864,DNABERT-2 multimodal
DNABERT2_multimodal,40,THUMPD2,0,0.18679,0.02665,0.52528,0.0,5,0,TN,1749,0.03158,DNABERT-2 multimodal
DNABERT2_multimodal,41,RTN2,0,0.50982,0.05906,0.51036,0.4,5,0,TN,868,0.51967,DNABERT-2 multimodal
DNABERT2_multimodal,42,CAMK1D,1,0.35013,0.04873,0.4907,0.0,5,0,FN,1295,0.2831,DNABERT-2 multimodal
DNABERT2_multimodal,43,USP48,1,0.83909,0.02987,0.48322,1.0,5,1,TP,43,0.97673,DNABERT-2 multimodal
DNABERT2_multimodal,44,ATP4A,0,0.2784,0.02614,0.53138,0.0,5,0,TN,1506,0.1662,DNABERT-2 multimodal
DNABERT2_multimodal,45,CFAP119,0,0.5491,0.03948,0.53487,0.6,5,1,FP,764,0.57729,DNABERT-2 multimodal
DNABERT2_multimodal,46,C6ORF132,1,0.63706,0.07976,0.47169,1.0,5,1,TP,520,0.71246,DNABERT-2 multimodal
DNABERT2_multimodal,47,EMSY,1,0.67649,0.0741,0.50672,0.8,5,1,TP,417,0.76953,DNABERT-2 multimodal
DNABERT2_multimodal,48,YEATS2,0,0.54052,0.04007,0.50147,0.8,5,1,FP,785,0.56565,DNABERT-2 multimodal
DNABERT2_multimodal,49,DCSTAMP,1,0.60581,0.03714,0.54752,0.8,5,1,TP,608,0.66371,DNABERT-2 multimodal
DNABERT2_multimodal,50,ADARB1,0,0.20407,0.06609,0.52946,0.0,5,0,TN,1717,0.04931,DNABERT-2 multimodal
DNABERT2_multimodal,51,SLC26A9,0,0.37119,0.02879,0.44408,0.0,5,0,TN,1231,0.31856,DNABERT-2 multimodal
