top_k,model_a,model_a_display,model_b,model_b_display,n_overlap,jaccard,overlap_genes
50,DNABERT2_multimodal,DNABERT-2 multimodal,Genomic_only_K3K4Basic,Genomic-only,7,0.07527,AKAP11; ATP4B; B4GALNT1; DTYMK; HCN4; VDR; ZC3H13
50,DNABERT2_multimodal,DNABERT-2 multimodal,Handcrafted_multimodal,Handcrafted multimodal,30,0.42857,ATP13A1; ATP4B; B4GALNT1; BMAL1; CACNA2D3; COLGALT1; DENND2A; DNAH11; EBAG9; EMILIN2; ETS1; FEZF1; GCKR; GMDS; GRM8; HAUS6; HHIPL1; LRMDA; LRRIQ1; METTL25B; MLXIPL; NEXMIF; NSD3; PNLIP; RBM27; SEPTIN4; THEMIS; VDR; ZC3H13; ZNF747
50,DNABERT2_multimodal,DNABERT-2 multimodal,Protein_only_ProtBERT_SW,Protein-only,21,0.26582,ATP13A1; ATP4B; BMAL1; CACNA2D3; COLGALT1; EBAG9; ETS1; FEZF1; GCKR; GMDS; GRM8; HAUS6; JAG1; METTL25B; MLXIPL; NEXMIF; NKX6-1; THEMIS; VDR; ZC3H13; ZNF747
50,Genomic_only_K3K4Basic,Genomic-only,Handcrafted_multimodal,Handcrafted multimodal,5,0.05263,ATP4B; B4GALNT1; COBLL1; VDR; ZC3H13
50,Genomic_only_K3K4Basic,Genomic-only,Protein_only_ProtBERT_SW,Protein-only,3,0.03093,ATP4B; VDR; ZC3H13
50,Handcrafted_multimodal,Handcrafted multimodal,Protein_only_ProtBERT_SW,Protein-only,26,0.35135,ATP13A1; ATP4B; BMAL1; CACNA2D3; CCDC188; COLGALT1; EBAG9; ETS1; FEZF1; GCKR; GMDS; GPC5; GRM8; HAUS6; KCNK16; MARCHF10; METTL25B; MLXIPL; NEXMIF; PRSS37; SLC2A7; THEMIS; TOGARAM1; VDR; ZC3H13; ZNF747
100,DNABERT2_multimodal,DNABERT-2 multimodal,Genomic_only_K3K4Basic,Genomic-only,30,0.17647,AKAP11; ATP4B; B4GALNT1; CACNA2D3; CAPN10; CDC123; COQ5; DENND2A; DNAH11; DNMT3A; DTYMK; ETS1; FABP9; GMDS; HCN4; KMT5B; MTOR; NBPF3; NDUFA12; P2RY12; PLA2G3; PNLIP; RBM27; RNF216; SMARCAD1; TAF11L9; TAF2; VDR; ZC3H12C; ZC3H13
100,DNABERT2_multimodal,DNABERT-2 multimodal,Handcrafted_multimodal,Handcrafted multimodal,62,0.44928,ACADS; AOC1; ATP13A1; ATP4B; B4GALNT1; BMAL1; CACNA2D3; CCDC188; CCDC57; COLGALT1; DENND2A; DNAH11; DTYMK; EBAG9; EMILIN2; EML5; ETS1; FEZF1; GCKR; GMDS; GRM8; HAUS6; HCN4; HHIPL1; HMGCR; IGF2BP3; JAG1; KMT5B; LRMDA; LRRC74A; LRRIQ1; METTL25B; MLXIPL; NDUFB11; NDUFV1; NEXMIF; NKX6-1; NSD3; OCRL; PHGDH; PLA2G3; PNLIP; RAET1L; RBM27; RGS18; RLF; SEPTIN4; SLC2A7; SMARCAD1; SSX5; TAF11L9; TAF2; THEMIS; TLCD4; TNRC6A; TSC22D2; VDR; ZC3H12C; ZC3H13; ZNF329; ZNF462; ZNF747
100,DNABERT2_multimodal,DNABERT-2 multimodal,Protein_only_ProtBERT_SW,Protein-only,42,0.26582,ACADS; APOL5; ATP13A1; ATP4B; B4GALNT1; BMAL1; CACNA2D3; CCDC188; COLGALT1; DTYMK; EBAG9; EMILIN2; EML5; ETS1; FEZF1; GCKR; GMDS; GRM8; HAUS6; HHIPL1; HMGA1; JAG1; LRRC74A; LRRIQ1; METTL25B; MLXIPL; MYO5C; NBPF9; NDUFV1; NEXMIF; NKX6-1; RBM27; RGS18; SEPTIN4; SLC2A7; SMARCAD1; THEMIS; VDR; VWA5B1; ZC3H13; ZNF462; ZNF747
100,Genomic_only_K3K4Basic,Genomic-only,Handcrafted_multimodal,Handcrafted multimodal,27,0.15607,ATP4B; B4GALNT1; CACNA2D3; CDH24; CLIC5; COBLL1; DENND2A; DNAH11; DTYMK; ETS1; GMDS; HCN4; IL17REL; KMT5B; OSBPL5; PACRG; PLA2G3; PNLIP; RBM27; SEC14L3; SMARCAD1; SYTL2; TAF11L9; TAF2; VDR; ZC3H12C; ZC3H13
100,Genomic_only_K3K4Basic,Genomic-only,Protein_only_ProtBERT_SW,Protein-only,10,0.05263,ATP4B; B4GALNT1; CACNA2D3; DTYMK; ETS1; GMDS; RBM27; SMARCAD1; VDR; ZC3H13
100,Handcrafted_multimodal,Handcrafted multimodal,Protein_only_ProtBERT_SW,Protein-only,56,0.38889,ACADS; ACSL1; ANK1; ATP13A1; ATP4B; B4GALNT1; BMAL1; BPTF; CACNA2D3; CCDC188; COL23A1; COLGALT1; DTYMK; E4F1; EBAG9; EMILIN2; EML5; EPHA7; ETS1; FADS2; FEZF1; FGFR4; GCKR; GMDS; GPC5; GRM8; HAUS6; HHIPL1; JAG1; KCNK16; LIPH; LRRC74A; LRRIQ1; MARCHF10; MEOX2; METTL25B; MLXIPL; NDUFV1; NEXMIF; NKX6-1; NLRC3; PRSS37; RBM27; RGS18; RPAP1; SCAND3; SEPTIN4; SLC2A7; SMARCAD1; THEMIS; TOGARAM1; VDR; ZC3H13; ZNF431; ZNF462; ZNF747
