split_id,fusion_model,fusion_type,n_train,n_val,n_test,validation_mcc,selected_weight_protein,selected_weight_genomic,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,meta_feature_names
1,Protein_only,single_modality,1155,289,362,0.31741,,,0.72754,0.70898,0.66022,0.71642,0.53039,0.79006,0.60952,0.33182,143,38,85,96,0.60258,
1,Handcrafted_genomic_only,single_modality,1155,289,362,0.21735,,,0.62013,0.65338,0.58011,0.68354,0.29834,0.86188,0.41538,0.19395,156,25,127,54,0.58044,
1,DNABERT2_genomic_only,single_modality,1155,289,362,0.2512,,,0.67208,0.66905,0.59945,0.57031,0.80663,0.39227,0.66819,0.21854,71,110,35,146,0.39681,
1,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1155,289,362,0.32242,,,0.74258,0.72489,0.69613,0.69613,0.69613,0.69613,0.69613,0.39227,126,55,55,126,0.51368,
1,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1155,289,362,0.37537,,,0.75312,0.74296,0.68785,0.77869,0.52486,0.85083,0.62706,0.3974,154,27,86,95,0.61321,
1,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1155,289,362,0.35948,0.65,0.35,0.73902,0.7302,0.62983,0.76404,0.37569,0.88398,0.5037,0.30152,160,21,113,68,0.61113,
1,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1155,289,362,0.3545,0.6,0.4,0.75059,0.74832,0.63536,0.79518,0.36464,0.90608,0.5,0.322,164,17,115,66,0.61565,
1,Stacking_Protein_HandcraftedGenomic,stacking,1155,289,362,0.34087,,,0.73725,0.72469,0.62983,0.74737,0.39227,0.8674,0.51449,0.29511,157,24,110,71,0.59393,protein_score; handcrafted_genomic_score
1,Stacking_Protein_DNABERT2Genomic,stacking,1155,289,362,0.33095,,,0.74738,0.7436,0.63812,0.78409,0.38122,0.89503,0.51301,0.322,162,19,112,69,0.59836,protein_score; dnabert2_genomic_score
1,Stacking_Protein_Handcrafted_DNABERT2,stacking,1155,289,362,0.33948,,,0.74812,0.74214,0.62707,0.81944,0.32597,0.92818,0.4664,0.31834,168,13,122,59,0.61345,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
2,Protein_only,single_modality,1156,289,361,0.37452,,,0.72859,0.71678,0.65651,0.61966,0.80556,0.50829,0.70048,0.32861,92,89,35,145,0.44506,
2,Handcrafted_genomic_only,single_modality,1156,289,361,0.37791,,,0.59362,0.5817,0.5651,0.56571,0.55,0.58011,0.55775,0.13017,105,76,81,99,0.491,
2,DNABERT2_genomic_only,single_modality,1156,289,361,0.33344,,,0.61667,0.59083,0.59003,0.63115,0.42778,0.75138,0.50993,0.18938,136,45,103,77,0.59418,
2,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1156,289,361,0.39711,,,0.72428,0.72113,0.65097,0.66875,0.59444,0.70718,0.62941,0.30359,128,53,73,107,0.56226,
2,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1156,289,361,0.391,,,0.70508,0.67817,0.6482,0.63874,0.67778,0.61878,0.65768,0.29706,112,69,58,122,0.47626,
