split_id,fusion_model,fusion_type,pr_auc,metric,rank,mcc,roc_auc,f1
1,Protein_only,single_modality,0.70898,pr_auc,8.0,,,
1,Handcrafted_genomic_only,single_modality,0.65338,pr_auc,10.0,,,
1,DNABERT2_genomic_only,single_modality,0.66905,pr_auc,9.0,,,
1,Early_fusion_Protein_HandcraftedGenomic,early_fusion,0.72489,pr_auc,6.0,,,
1,Early_fusion_Protein_DNABERT2Genomic,early_fusion,0.74296,pr_auc,3.0,,,
1,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.7302,pr_auc,5.0,,,
1,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.74832,pr_auc,1.0,,,
1,Stacking_Protein_HandcraftedGenomic,stacking,0.72469,pr_auc,7.0,,,
1,Stacking_Protein_DNABERT2Genomic,stacking,0.7436,pr_auc,2.0,,,
1,Stacking_Protein_Handcrafted_DNABERT2,stacking,0.74214,pr_auc,4.0,,,
2,Protein_only,single_modality,0.71678,pr_auc,3.0,,,
2,Handcrafted_genomic_only,single_modality,0.5817,pr_auc,10.0,,,
2,DNABERT2_genomic_only,single_modality,0.59083,pr_auc,9.0,,,
2,Early_fusion_Protein_HandcraftedGenomic,early_fusion,0.72113,pr_auc,1.0,,,
2,Early_fusion_Protein_DNABERT2Genomic,early_fusion,0.67817,pr_auc,7.0,,,
2,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.67549,pr_auc,8.0,,,
2,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.71638,pr_auc,4.0,,,
2,Stacking_Protein_HandcraftedGenomic,stacking,0.71451,pr_auc,5.0,,,
2,Stacking_Protein_DNABERT2Genomic,stacking,0.718,pr_auc,2.0,,,
2,Stacking_Protein_Handcrafted_DNABERT2,stacking,0.71159,pr_auc,6.0,,,
3,Protein_only,single_modality,0.67965,pr_auc,9.0,,,
3,Handcrafted_genomic_only,single_modality,0.6667,pr_auc,10.0,,,
3,DNABERT2_genomic_only,single_modality,0.71099,pr_auc,5.0,,,
3,Early_fusion_Protein_HandcraftedGenomic,early_fusion,0.70983,pr_auc,6.0,,,
3,Early_fusion_Protein_DNABERT2Genomic,early_fusion,0.73539,pr_auc,2.0,,,
3,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.68798,pr_auc,8.0,,,
3,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.7405,pr_auc,1.0,,,
3,Stacking_Protein_HandcraftedGenomic,stacking,0.69195,pr_auc,7.0,,,
3,Stacking_Protein_DNABERT2Genomic,stacking,0.73035,pr_auc,4.0,,,
3,Stacking_Protein_Handcrafted_DNABERT2,stacking,0.73106,pr_auc,3.0,,,
4,Protein_only,single_modality,0.70956,pr_auc,8.0,,,
4,Handcrafted_genomic_only,single_modality,0.65865,pr_auc,10.0,,,
4,DNABERT2_genomic_only,single_modality,0.66017,pr_auc,9.0,,,
4,Early_fusion_Protein_HandcraftedGenomic,early_fusion,0.72487,pr_auc,4.0,,,
4,Early_fusion_Protein_DNABERT2Genomic,early_fusion,0.71618,pr_auc,7.0,,,
4,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.72904,pr_auc,1.0,,,
4,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.72585,pr_auc,2.0,,,
4,Stacking_Protein_HandcraftedGenomic,stacking,0.72488,pr_auc,3.0,,,
4,Stacking_Protein_DNABERT2Genomic,stacking,0.72462,pr_auc,5.0,,,
4,Stacking_Protein_Handcrafted_DNABERT2,stacking,0.72396,pr_auc,6.0,,,
5,Protein_only,single_modality,0.67801,pr_auc,8.0,,,
5,Handcrafted_genomic_only,single_modality,0.64483,pr_auc,9.0,,,
5,DNABERT2_genomic_only,single_modality,0.64378,pr_auc,10.0,,,
5,Early_fusion_Protein_HandcraftedGenomic,early_fusion,0.70797,pr_auc,2.0,,,
5,Early_fusion_Protein_DNABERT2Genomic,early_fusion,0.71121,pr_auc,1.0,,,
5,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.69143,pr_auc,6.0,,,
5,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.68725,pr_auc,7.0,,,
5,Stacking_Protein_HandcraftedGenomic,stacking,0.69539,pr_auc,4.0,,,
5,Stacking_Protein_DNABERT2Genomic,stacking,0.69346,pr_auc,5.0,,,
5,Stacking_Protein_Handcrafted_DNABERT2,stacking,0.69736,pr_auc,3.0,,,
6,Protein_only,single_modality,0.66909,pr_auc,8.0,,,
6,Handcrafted_genomic_only,single_modality,0.64275,pr_auc,9.0,,,
6,DNABERT2_genomic_only,single_modality,0.62742,pr_auc,10.0,,,
6,Early_fusion_Protein_HandcraftedGenomic,early_fusion,0.68455,pr_auc,4.0,,,
6,Early_fusion_Protein_DNABERT2Genomic,early_fusion,0.68607,pr_auc,2.0,,,
6,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.69506,pr_auc,1.0,,,
6,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.68132,pr_auc,7.0,,,
6,Stacking_Protein_HandcraftedGenomic,stacking,0.68194,pr_auc,6.0,,,
6,Stacking_Protein_DNABERT2Genomic,stacking,0.68217,pr_auc,5.0,,,
6,Stacking_Protein_Handcrafted_DNABERT2,stacking,0.68492,pr_auc,3.0,,,
7,Protein_only,single_modality,0.68665,pr_auc,8.0,,,
7,Handcrafted_genomic_only,single_modality,0.67886,pr_auc,10.0,,,
7,DNABERT2_genomic_only,single_modality,0.68362,pr_auc,9.0,,,
7,Early_fusion_Protein_HandcraftedGenomic,early_fusion,0.71463,pr_auc,5.0,,,
7,Early_fusion_Protein_DNABERT2Genomic,early_fusion,0.71372,pr_auc,6.0,,,
7,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.72948,pr_auc,3.0,,,
7,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.72365,pr_auc,4.0,,,
7,Stacking_Protein_HandcraftedGenomic,stacking,0.71144,pr_auc,7.0,,,
7,Stacking_Protein_DNABERT2Genomic,stacking,0.73266,pr_auc,2.0,,,
7,Stacking_Protein_Handcrafted_DNABERT2,stacking,0.73974,pr_auc,1.0,,,
8,Protein_only,single_modality,0.71646,pr_auc,8.0,,,
8,Handcrafted_genomic_only,single_modality,0.6453,pr_auc,10.0,,,
8,DNABERT2_genomic_only,single_modality,0.64848,pr_auc,9.0,,,
8,Early_fusion_Protein_HandcraftedGenomic,early_fusion,0.71781,pr_auc,7.0,,,
8,Early_fusion_Protein_DNABERT2Genomic,early_fusion,0.72418,pr_auc,6.0,,,
8,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.73385,pr_auc,5.0,,,
8,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.73713,pr_auc,3.0,,,
8,Stacking_Protein_HandcraftedGenomic,stacking,0.73408,pr_auc,4.0,,,
8,Stacking_Protein_DNABERT2Genomic,stacking,0.74125,pr_auc,1.0,,,
8,Stacking_Protein_Handcrafted_DNABERT2,stacking,0.74114,pr_auc,2.0,,,
9,Protein_only,single_modality,0.6903,pr_auc,7.0,,,
9,Handcrafted_genomic_only,single_modality,0.64116,pr_auc,10.0,,,
9,DNABERT2_genomic_only,single_modality,0.64784,pr_auc,9.0,,,
9,Early_fusion_Protein_HandcraftedGenomic,early_fusion,0.71397,pr_auc,2.0,,,
9,Early_fusion_Protein_DNABERT2Genomic,early_fusion,0.71654,pr_auc,1.0,,,
9,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.69385,pr_auc,6.0,,,
9,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.69,pr_auc,8.0,,,
9,Stacking_Protein_HandcraftedGenomic,stacking,0.69872,pr_auc,4.0,,,
9,Stacking_Protein_DNABERT2Genomic,stacking,0.69803,pr_auc,5.0,,,
9,Stacking_Protein_Handcrafted_DNABERT2,stacking,0.70295,pr_auc,3.0,,,
10,Protein_only,single_modality,0.71896,pr_auc,7.0,,,
10,Handcrafted_genomic_only,single_modality,0.6518,pr_auc,9.0,,,
10,DNABERT2_genomic_only,single_modality,0.61723,pr_auc,10.0,,,
10,Early_fusion_Protein_HandcraftedGenomic,early_fusion,0.7375,pr_auc,1.0,,,
10,Early_fusion_Protein_DNABERT2Genomic,early_fusion,0.73393,pr_auc,2.0,,,
10,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.72055,pr_auc,6.0,,,
10,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.7008,pr_auc,8.0,,,
10,Stacking_Protein_HandcraftedGenomic,stacking,0.72696,pr_auc,3.0,,,
10,Stacking_Protein_DNABERT2Genomic,stacking,0.72114,pr_auc,5.0,,,
10,Stacking_Protein_Handcrafted_DNABERT2,stacking,0.72461,pr_auc,4.0,,,
11,Protein_only,single_modality,0.68917,pr_auc,9.0,,,
