fusion_model,fusion_type,metric,mean_rank,sd_rank,n_rank1,n_evaluations
Stacking_Protein_HandcraftedGenomic,stacking,f1,4.2,2.33605,4,15
Protein_only,single_modality,f1,4.33333,2.71679,3,15
Early_fusion_Protein_DNABERT2Genomic,early_fusion,f1,4.53333,2.89992,4,15
Stacking_Protein_DNABERT2Genomic,stacking,f1,4.73333,2.15362,0,15
Stacking_Protein_Handcrafted_DNABERT2,stacking,f1,4.73333,2.68506,2,15
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,f1,5.0,2.53546,1,15
Early_fusion_Protein_HandcraftedGenomic,early_fusion,f1,5.06667,2.71153,1,15
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,f1,5.53333,2.50333,0,15
DNABERT2_genomic_only,single_modality,f1,8.2,2.54109,0,15
Handcrafted_genomic_only,single_modality,f1,8.6,2.1974,0,15
Early_fusion_Protein_DNABERT2Genomic,early_fusion,mcc,3.73333,2.81493,5,15
Stacking_Protein_DNABERT2Genomic,stacking,mcc,3.73333,2.08624,2,15
Stacking_Protein_Handcrafted_DNABERT2,stacking,mcc,3.73333,1.94447,2,15
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,mcc,4.13333,1.55226,0,15
Early_fusion_Protein_HandcraftedGenomic,early_fusion,mcc,5.0,2.85357,2,15
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,mcc,5.06667,2.91466,3,15
Stacking_Protein_HandcraftedGenomic,stacking,mcc,5.13333,1.50555,0,15
Protein_only,single_modality,mcc,6.0,2.29907,1,15
DNABERT2_genomic_only,single_modality,mcc,8.8,1.69874,0,15
Handcrafted_genomic_only,single_modality,mcc,9.6,0.63246,0,15
Stacking_Protein_Handcrafted_DNABERT2,stacking,pr_auc,3.4,1.63881,2,15
Early_fusion_Protein_DNABERT2Genomic,early_fusion,pr_auc,3.86667,2.61498,3,15
Stacking_Protein_DNABERT2Genomic,stacking,pr_auc,3.86667,1.40746,1,15
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,pr_auc,4.2,2.70449,3,15
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,pr_auc,4.46667,2.35635,3,15
Early_fusion_Protein_HandcraftedGenomic,early_fusion,pr_auc,4.53333,2.13363,2,15
Stacking_Protein_HandcraftedGenomic,stacking,pr_auc,4.93333,1.90738,0,15
Protein_only,single_modality,pr_auc,7.13333,2.26358,1,15
DNABERT2_genomic_only,single_modality,pr_auc,9.06667,1.27988,0,15
Handcrafted_genomic_only,single_modality,pr_auc,9.53333,0.63994,0,15
Early_fusion_Protein_DNABERT2Genomic,early_fusion,roc_auc,2.93333,2.54858,7,15
Stacking_Protein_Handcrafted_DNABERT2,stacking,roc_auc,3.0,1.36277,2,15
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,roc_auc,3.86667,2.41622,3,15
Stacking_Protein_DNABERT2Genomic,stacking,roc_auc,3.86667,0.74322,0,15
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,roc_auc,4.53333,2.35635,2,15
Early_fusion_Protein_HandcraftedGenomic,early_fusion,roc_auc,5.0,1.88982,0,15
Stacking_Protein_HandcraftedGenomic,stacking,roc_auc,5.53333,1.45733,0,15
Protein_only,single_modality,roc_auc,7.26667,1.86956,1,15
DNABERT2_genomic_only,single_modality,roc_auc,9.06667,0.2582,0,15
Handcrafted_genomic_only,single_modality,roc_auc,9.93333,0.2582,0,15
