fusion_model,fusion_type,metric,mean,sd,ci95_low,ci95_high,n_folds
DNABERT2_genomic_only,single_modality,pr_auc,0.65065,0.03329,0.6344,0.66686,15
DNABERT2_genomic_only,single_modality,roc_auc,0.65827,0.02759,0.64458,0.6717,15
DNABERT2_genomic_only,single_modality,mcc,0.23668,0.04613,0.21531,0.25997,15
DNABERT2_genomic_only,single_modality,f1,0.54607,0.0707,0.5109,0.58123,15
DNABERT2_genomic_only,single_modality,accuracy,0.60982,0.02211,0.59978,0.62076,15
DNABERT2_genomic_only,single_modality,precision,0.66207,0.05799,0.63415,0.68912,15
DNABERT2_genomic_only,single_modality,recall,0.48768,0.13965,0.4231,0.56161,15
DNABERT2_genomic_only,single_modality,specificity,0.73212,0.14265,0.65615,0.79572,15
Early_fusion_Protein_DNABERT2Genomic,early_fusion,pr_auc,0.71577,0.02066,0.70598,0.72531,15
Early_fusion_Protein_DNABERT2Genomic,early_fusion,roc_auc,0.73203,0.02132,0.72196,0.74216,15
Early_fusion_Protein_DNABERT2Genomic,early_fusion,mcc,0.33877,0.05364,0.31215,0.36467,15
Early_fusion_Protein_DNABERT2Genomic,early_fusion,f1,0.65015,0.06249,0.61815,0.67886,15
Early_fusion_Protein_DNABERT2Genomic,early_fusion,accuracy,0.66518,0.02779,0.65164,0.67884,15
Early_fusion_Protein_DNABERT2Genomic,early_fusion,precision,0.68324,0.05088,0.66061,0.70955,15
Early_fusion_Protein_DNABERT2Genomic,early_fusion,recall,0.63864,0.12372,0.57539,0.69465,15
Early_fusion_Protein_DNABERT2Genomic,early_fusion,specificity,0.69179,0.10381,0.64474,0.74453,15
Early_fusion_Protein_HandcraftedGenomic,early_fusion,pr_auc,0.71449,0.01471,0.70717,0.72135,15
Early_fusion_Protein_HandcraftedGenomic,early_fusion,roc_auc,0.72548,0.01945,0.71619,0.73477,15
Early_fusion_Protein_HandcraftedGenomic,early_fusion,mcc,0.31894,0.04423,0.29775,0.34048,15
Early_fusion_Protein_HandcraftedGenomic,early_fusion,f1,0.6365,0.0463,0.61399,0.65868,15
Early_fusion_Protein_HandcraftedGenomic,early_fusion,accuracy,0.65615,0.02161,0.64577,0.66696,15
Early_fusion_Protein_HandcraftedGenomic,early_fusion,precision,0.67848,0.0473,0.65827,0.70295,15
Early_fusion_Protein_HandcraftedGenomic,early_fusion,recall,0.61163,0.09774,0.56475,0.65871,15
Early_fusion_Protein_HandcraftedGenomic,early_fusion,specificity,0.70059,0.09102,0.65783,0.74399,15
Handcrafted_genomic_only,single_modality,pr_auc,0.64548,0.02586,0.63233,0.65741,15
Handcrafted_genomic_only,single_modality,roc_auc,0.6394,0.02545,0.62728,0.65247,15
Handcrafted_genomic_only,single_modality,mcc,0.20711,0.04195,0.18676,0.22792,15
Handcrafted_genomic_only,single_modality,f1,0.5164,0.09336,0.47067,0.56098,15
Handcrafted_genomic_only,single_modality,accuracy,0.59525,0.0233,0.58443,0.60692,15
Handcrafted_genomic_only,single_modality,precision,0.64551,0.0456,0.62349,0.66742,15
Handcrafted_genomic_only,single_modality,recall,0.45641,0.15426,0.38377,0.53177,15
Handcrafted_genomic_only,single_modality,specificity,0.73434,0.1341,0.66762,0.79605,15
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,pr_auc,0.71738,0.02585,0.70418,0.72953,15
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,roc_auc,0.7307,0.02065,0.72074,0.74051,15
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,mcc,0.32684,0.04166,0.30686,0.34724,15
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,f1,0.64877,0.05915,0.61753,0.67612,15
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,accuracy,0.65855,0.02147,0.64839,0.66932,15
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,precision,0.67178,0.04852,0.64969,0.6975,15
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,recall,0.64852,0.13219,0.58376,0.71167,15
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,specificity,0.66843,0.12006,0.61032,0.72703,15
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,pr_auc,0.71312,0.02117,0.7027,0.72345,15
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,roc_auc,0.72541,0.02048,0.71569,0.73544,15
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,mcc,0.32047,0.04469,0.29846,0.34097,15
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,f1,0.63504,0.0527,0.60747,0.65896,15
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,accuracy,0.65577,0.02278,0.64452,0.66636,15
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,precision,0.67873,0.04338,0.65781,0.69953,15
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,recall,0.61159,0.1167,0.55602,0.66997,15
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,specificity,0.69976,0.11031,0.64136,0.7497,15
Protein_only,single_modality,pr_auc,0.69649,0.02286,0.68608,0.70879,15
Protein_only,single_modality,roc_auc,0.71324,0.02071,0.70322,0.72364,15
Protein_only,single_modality,mcc,0.3009,0.03795,0.28219,0.31915,15
Protein_only,single_modality,f1,0.65108,0.07934,0.60754,0.68323,15
Protein_only,single_modality,accuracy,0.64231,0.02259,0.63074,0.65289,15
Protein_only,single_modality,precision,0.64178,0.05325,0.61806,0.66915,15
Protein_only,single_modality,recall,0.69839,0.16626,0.60994,0.7707,15
Protein_only,single_modality,specificity,0.5862,0.15714,0.51588,0.66694,15
Stacking_Protein_DNABERT2Genomic,stacking,pr_auc,0.71929,0.02029,0.70922,0.72907,15
Stacking_Protein_DNABERT2Genomic,stacking,roc_auc,0.73168,0.01889,0.72271,0.74075,15
Stacking_Protein_DNABERT2Genomic,stacking,mcc,0.32848,0.03928,0.30983,0.34773,15
Stacking_Protein_DNABERT2Genomic,stacking,f1,0.64277,0.06757,0.60733,0.67468,15
Stacking_Protein_DNABERT2Genomic,stacking,accuracy,0.658,0.02143,0.6479,0.66883,15
Stacking_Protein_DNABERT2Genomic,stacking,precision,0.67808,0.05532,0.65293,0.70572,15
Stacking_Protein_DNABERT2Genomic,stacking,recall,0.63813,0.14758,0.56243,0.70944,15
Stacking_Protein_DNABERT2Genomic,stacking,specificity,0.67769,0.1334,0.61154,0.74196,15
Stacking_Protein_HandcraftedGenomic,stacking,pr_auc,0.71189,0.01819,0.70309,0.72134,15
Stacking_Protein_HandcraftedGenomic,stacking,roc_auc,0.72503,0.01794,0.7167,0.73401,15
Stacking_Protein_HandcraftedGenomic,stacking,mcc,0.31314,0.03235,0.29832,0.32976,15
Stacking_Protein_HandcraftedGenomic,stacking,f1,0.64592,0.06262,0.61264,0.67456,15
Stacking_Protein_HandcraftedGenomic,stacking,accuracy,0.64914,0.01565,0.64189,0.65725,15
Stacking_Protein_HandcraftedGenomic,stacking,precision,0.65894,0.05424,0.63412,0.68611,15
Stacking_Protein_HandcraftedGenomic,stacking,recall,0.66437,0.15771,0.58262,0.73953,15
Stacking_Protein_HandcraftedGenomic,stacking,specificity,0.63379,0.15262,0.56007,0.71094,15
Stacking_Protein_Handcrafted_DNABERT2,stacking,pr_auc,0.72101,0.01961,0.71139,0.73041,15
Stacking_Protein_Handcrafted_DNABERT2,stacking,roc_auc,0.73344,0.01846,0.72481,0.74213,15
Stacking_Protein_Handcrafted_DNABERT2,stacking,mcc,0.33056,0.04055,0.31092,0.35095,15
Stacking_Protein_Handcrafted_DNABERT2,stacking,f1,0.64623,0.06642,0.61107,0.6759,15
Stacking_Protein_Handcrafted_DNABERT2,stacking,accuracy,0.6591,0.02378,0.64747,0.67092,15
Stacking_Protein_Handcrafted_DNABERT2,stacking,precision,0.67777,0.05653,0.65166,0.70556,15
Stacking_Protein_Handcrafted_DNABERT2,stacking,recall,0.64407,0.14465,0.5716,0.71469,15
Stacking_Protein_Handcrafted_DNABERT2,stacking,specificity,0.67396,0.13926,0.60101,0.73888,15
