fusion_model,fusion_type,pr_auc_mean,pr_auc_sd,mcc_mean,mcc_sd,roc_auc_mean,roc_auc_sd,f1_mean,f1_sd
Stacking_Protein_Handcrafted_DNABERT2,stacking,0.72101,0.01961,0.33056,0.04055,0.73344,0.01846,0.64623,0.06642
Stacking_Protein_DNABERT2Genomic,stacking,0.71929,0.02029,0.32848,0.03928,0.73168,0.01889,0.64277,0.06757
Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.71738,0.02585,0.32684,0.04166,0.7307,0.02065,0.64877,0.05915
Early_fusion_Protein_DNABERT2Genomic,early_fusion,0.71577,0.02066,0.33877,0.05364,0.73203,0.02132,0.65015,0.06249
Early_fusion_Protein_HandcraftedGenomic,early_fusion,0.71449,0.01471,0.31894,0.04423,0.72548,0.01945,0.6365,0.0463
Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.71312,0.02117,0.32047,0.04469,0.72541,0.02048,0.63504,0.0527
Stacking_Protein_HandcraftedGenomic,stacking,0.71189,0.01819,0.31314,0.03235,0.72503,0.01794,0.64592,0.06262
Protein_only,single_modality,0.69649,0.02286,0.3009,0.03795,0.71324,0.02071,0.65108,0.07934
DNABERT2_genomic_only,single_modality,0.65065,0.03329,0.23668,0.04613,0.65827,0.02759,0.54607,0.0707
Handcrafted_genomic_only,single_modality,0.64548,0.02586,0.20711,0.04195,0.6394,0.02545,0.5164,0.09336
