split_id,fusion_model,fusion_type,selected_weight_protein,selected_weight_genomic,validation_mcc
1,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.65,0.35,0.35948
1,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.6,0.4,0.3545
2,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.3,0.7,0.45411
2,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.55,0.45,0.43031
3,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.8,0.2,0.337
3,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.4,0.6,0.391
4,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.45,0.55,0.41771
4,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.6,0.4,0.40272
5,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.35,0.65,0.4414
5,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.8,0.2,0.43836
6,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.45,0.55,0.41269
6,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.55,0.45,0.41943
7,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.45,0.55,0.36354
7,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.2,0.8,0.37757
8,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.5,0.5,0.40577
8,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.4,0.6,0.41603
9,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.9,0.1,0.44253
9,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.95,0.05,0.43814
10,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.35,0.65,0.35139
10,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.4,0.6,0.35194
11,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.35,0.65,0.41226
11,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.5,0.5,0.4223
12,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.65,0.35,0.45372
12,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.4,0.6,0.44163
13,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.35,0.65,0.47007
13,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.5,0.5,0.44175
14,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.65,0.35,0.35852
14,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.7,0.3,0.37628
15,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,0.5,0.5,0.45555
15,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,0.55,0.45,0.47404
