split_id,model_name,n_features,features,validation_mcc,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold
1,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.16108,0.64833,0.66055,0.51934,0.5102,0.96685,0.07182,0.66794,0.08671,13,168,6,175,0.2511
2,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.22183,0.60998,0.60056,0.54017,0.63462,0.18333,0.89503,0.28448,0.11158,162,19,147,33,0.63512
3,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.19612,0.63066,0.63036,0.5928,0.58639,0.62222,0.56354,0.60377,0.18607,102,79,68,112,0.49795
4,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.27002,0.68505,0.64547,0.60942,0.57519,0.8453,0.37222,0.68456,0.24699,67,113,28,153,0.43167
5,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.30922,0.595,0.60556,0.52632,0.52551,0.56906,0.48333,0.54642,0.05259,87,93,78,103,0.50956
6,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.30922,0.61946,0.63109,0.59669,0.59259,0.61878,0.57459,0.60541,0.19356,104,77,69,112,0.51713
7,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.22654,0.66955,0.65139,0.60111,0.63636,0.46667,0.73481,0.53846,0.20916,133,48,96,84,0.54364
8,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.2118,0.65009,0.62941,0.61773,0.62353,0.58889,0.64641,0.60571,0.2357,117,64,74,106,0.53956
9,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.34945,0.62431,0.62705,0.58172,0.69737,0.29282,0.87222,0.41245,0.20241,157,23,128,53,0.59515
10,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.21959,0.61964,0.61468,0.5651,0.54959,0.73481,0.39444,0.62884,0.13748,71,109,48,133,0.43666
11,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.26213,0.63029,0.64039,0.59392,0.61486,0.50276,0.68508,0.55319,0.19105,124,57,90,91,0.55093
12,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.27155,0.61504,0.59671,0.55125,0.60714,0.28333,0.81768,0.38636,0.11953,148,33,129,51,0.60322
13,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.3492,0.66572,0.65713,0.60942,0.70103,0.37778,0.83978,0.49097,0.24539,152,29,112,68,0.58964
14,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.22987,0.62634,0.62196,0.57064,0.55118,0.77348,0.36667,0.64368,0.15344,66,114,41,140,0.41883
15,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.25639,0.63398,0.63001,0.57895,0.66667,0.32044,0.83889,0.43284,0.18627,151,29,123,58,0.5744
16,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.23594,0.6248,0.61828,0.57735,0.71875,0.25414,0.90055,0.37551,0.20275,163,18,135,46,0.62298
17,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.24284,0.65463,0.63844,0.59003,0.5708,0.71667,0.46409,0.63547,0.18679,84,97,51,129,0.46484
18,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.24446,0.62452,0.63431,0.54294,0.52322,0.93889,0.14917,0.67197,0.14347,27,154,11,169,0.30929
19,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.26481,0.61301,0.58783,0.53463,0.56701,0.30387,0.76667,0.39568,0.07956,138,42,126,55,0.58011
20,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.2247,0.63487,0.64053,0.58172,0.55906,0.78453,0.37778,0.65287,0.17771,68,112,39,142,0.45505
21,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.20728,0.62281,0.65107,0.58011,0.6,0.48066,0.67956,0.53374,0.16349,123,58,94,87,0.53425
22,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.25996,0.63944,0.63625,0.5374,0.51988,0.94444,0.1326,0.67061,0.13188,24,157,10,170,0.32969
23,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.203,0.68177,0.63124,0.5651,0.53651,0.93889,0.19337,0.68283,0.19832,35,146,11,169,0.37415
24,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.24674,0.619,0.60644,0.55956,0.64103,0.27624,0.84444,0.3861,0.14662,152,28,131,50,0.59979
25,Nuisance_only_LogisticRegression,13,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length,0.26713,0.59131,0.58215,0.55402,0.59091,0.35912,0.75,0.44674,0.11853,135,45,116,65,0.58891
