test_sample_index,test_gene_symbol,test_label,nearest_trainval_sample_index,nearest_trainval_gene_symbol,nearest_trainval_label,nearest_trainval_split,max_cosine_similarity_to_trainval,similarity_risk
1535,SCGB1D2,1,727,NDUFS7,0,train,0.5321047,lower_similarity
1536,KCNB2,1,285,NUDT4B,1,train,0.5915839,lower_similarity
1537,HMGB1,0,1505,MFHAS1,0,val,0.5344943,lower_similarity
1538,GLP2R,0,25,KCNG4,1,train,0.63899326,lower_similarity
1539,SLC30A8,0,178,U2AF1L4,0,train,0.6886842,lower_similarity
1540,SLC25A22,1,1098,E4F1,1,train,0.7099965,lower_similarity
1541,CDKN2C,0,1053,RAB11FIP4,0,train,0.7395852,lower_similarity
1542,UBALD2,0,773,SIGLEC9,1,train,0.45920157,lower_similarity
1543,HECTD1,1,1479,LPA,1,val,0.8565888,lower_similarity
1544,TMEM132B,1,689,TCP11X1,0,train,0.6950436,lower_similarity
1545,RAP1GAP,1,1526,RBMS1,1,val,0.69746923,lower_similarity
1546,RAB41,1,1355,PCDHGB1,0,val,0.6180326,lower_similarity
1547,C1ORF167,0,3,CFAP300,0,train,0.6992104,lower_similarity
1548,GOLT1B,0,530,FOXD4L5,1,train,0.7409257,lower_similarity
1549,PAAF1,0,1136,CHFR,1,train,0.7193322,lower_similarity
1550,PIAS1,0,962,KRT2,0,train,0.7755754,lower_similarity
1551,UBASH3A,1,557,ZBTB14,1,train,0.7845999,lower_similarity
1552,CEP43,0,304,ZNF416,0,train,0.77924824,lower_similarity
1553,CRISP1,1,299,CYFIP2,0,train,0.6399492,lower_similarity
1554,SPMIP10,0,1136,CHFR,1,train,0.61847216,lower_similarity
1555,P4HA2,1,1412,NOL4,0,val,0.82144064,lower_similarity
1556,C10ORF71,0,1186,RHOG,0,train,0.9362917,lower_similarity
1557,NDUFA13,1,1311,PCDH17,1,val,0.66932875,lower_similarity
1558,GAL3ST2,1,338,TAF2,1,train,0.7614069,lower_similarity
1559,XKR6,1,1405,C2ORF80,1,val,0.6736053,lower_similarity
1560,ZFP64,0,966,ZBTB39,1,train,0.5959281,lower_similarity
1561,LINGO1,0,381,TNKS1BP1,1,train,0.76431376,lower_similarity
1562,EXOC2,0,490,USP54,1,train,0.7401824,lower_similarity
1563,CERKL,0,1302,ADCY5,0,val,0.64470553,lower_similarity
1564,B3GNT7,1,843,NEGR1,0,train,0.57956743,lower_similarity
1565,CCDC83,1,285,NUDT4B,1,train,0.8978619,lower_similarity
