protein_embedding_cluster,n_samples,n_positive,n_negative,genes,positive_rate
0,14,10,4,EXOC6; NRF1; MEIS1; ZDHHC13; YKT6; FHOD1; P2RY12; STARD10; KCNQ1; NUP133; NDUFS8; ZNF879; KDM5A; MMRN2,0.7143
1,16,11,5,ABCB10; PABPC4; SCHIP1; FYTTD1; UBE2E3; ISL1; FNDC3B; SETD1B; RAMP1; SLC1A2; B3GLCT; KCNJ11; LIMCH1; BMP8A; ZNF654; PPP2R1A,0.6875
2,17,8,9,CHPF2; MTNAP1; SPRY2; ZC3H11B; TLR4; RBBP6; SCN5A; CLCA4; NFAT5; CDKAL1; SOX12; FAM83G; WDR6; TRPS1; MTHFD2; BRICD5; LDOC1,0.4706
3,27,15,12,KCNK16; JADE1; ITIH4; KDM4A; WDR3; DNMT3A; ATP4B; RIOX2; ATP13A1; NDUFS7; PRMT6; COA7; TESPA1; HDAC4; E4F1; ABCA13; RGS17; KMT5C; TCF12; ARHGAP5,0.5556
4,7,4,3,COL13A1; AGMO; ZNF512B; AGTR2; CPEB3; NXPH3; PTPN21,0.5714
5,42,20,22,SNX2; EMSY; WFS1; CDC42BPB; DCLK2; OR6M1; CCDC8; ADRA1B; TPK1; CCSER1; KCNIP4; TNKS1BP1; SRP54; FUT9; KCNK4; FOXN3; ATAD2; NTNG1; ABCA6; LAMC1,0.4762
6,8,4,4,UBQLN4; DYNC2I2; ATXN7; REEP3; ZNF354B; PEAK1; POC5; IL1RAPL2,0.5
7,12,6,6,NRAP; FBXW7; TANK; FBRSL1; ARHGAP15; DZIP3; NOC3L; TSPAN15; ZNF746; RSPH10B2; MBOAT1; CROCC2,0.5
8,20,4,16,MED9; PRR20C; RMC1; CACNG4; HIVEP1; MYO19; NDUFAF5; FAM163A; ZNF573; USP6NL; SPATA31A7; TMC3; RPS19; NARS2; SUGP2; ANKFN1; KLHL42; GAA; CEP104; NDNF,0.2
9,15,9,6,PTGFRN; ZNF704; ABCA8; ICE1; THEMIS; MRPS14; APOL5; NBPF9; TRIM66; ADAMTS9; FGD5; FN3KRP; FMO5; FCHSD2; MEOX2,0.6
10,14,10,4,PLA2G3; NFATC2; ELF1; ZC3H13; MAEA; CCN5; HIVEP2; JAG1; RREB1; IL23R; BEND2; AKAP11; IGSF23; MED23,0.7143
11,19,12,7,YEATS2; TMEM121; JADE2; PRPF40A; VEGFA; GTF2IRD1; C20ORF173; AP3B1; MAP3K1; B4GALNT1; TYK2; HNF4A; ZNF276; CAT; ALOXE3; SF3B4; ETS2; ARF3; OR2W3,0.6316
12,50,17,33,CFAP300; ADAMTS18; PCSK5; CDC123; DNAI2; ZFYVE21; MFSD6L; SBF1; XRN2; RBM23; PLCL2; INSR; LTBP3; RSAD1; TSPAN8; SAG; FST; CA10; ITIH6; IFNW1,0.34
13,16,8,8,RTN2; NDUFA1; CFAP69; CCT2; HHEX; ARG1; GMPPA; ZNF268; GIPR; CBLN4; GAD1; VPS72; WSCD1; METTL1; TNRC6C; MS4A7,0.5
14,20,10,10,COMMD8; TNFRSF6B; HMGA1; POLR2D; ACTL7A; TRIM73; TCAF1; AOC1; GNL2; PTPRM; TMEM94; RNF180; EYA2; UBALD2; C3ORF70; HYLS1; PLEKHH2; SREBF1; MDM4; ZBTB38,0.5
15,3,0,3,PSMD13; APPBP2; CLRN1,0.0
16,35,17,18,EXOSC10; ASAH1; LRRK1; CST11; TSPEAR; MLXIPL; RBPJ; PDGFC; FSCN3; ARID3B; CCDC110; ZMIZ1; SI; ZNF664; TET2; RLF; SEC14L3; ALDH16A1; SLC45A4; C2CD4D,0.4857
17,19,11,8,DCSTAMP; CDC42BPA; ALG13; CPQ; STK40; TOR1AIP1; RNF112; SINHCAF; RPTOR; SOX18; ZNF800; CYP19A1; CALY; TECTA; SVIL; PRICKLE1; NDUFAF3; ARHGAP22; PDILT,0.5789
18,36,12,24,OSGIN2; KCNG4; PROSER2; C11ORF24; FAM221B; PDE3B; ZNF324B; NUDT4B; LAMA3; NDUFAB1; RAB42; PCYOX1; NYNRIN; ZNF343; NDUFB10; DENND2A; DROSHA; NFX1; RPA4; PLCZ1,0.3333
19,9,5,4,CATSPERE; OCIAD2; SWT1; KRT2; OR11L1; PATJ; APIP; NEUROD1; SLC5A1,0.5556
20,5,1,4,HSPA4; PHKA1; ZNF579; TMEM230; PFN3,0.2
21,18,10,8,KRT36; NDUFV1; CELSR2; NLRC3; ZNF446; UBAP1; COQ5; COA6; DYNC2I1; ZNF26; TRIM11; KRT3; DGKB; LINGO2; AFF3; AP3S2; EIF5A2; LIPF,0.5556
22,17,5,12,NUP153; CUL7; SYNJ2; SCAND3; UCMA; EML1; DDB1; ESPN; LDHB; QSOX1; CEP192; BBX; GHDC; EXOC2; NDUFAF1; PKD1; CCDC6,0.2941
23,17,7,10,LDLRAD1; SCGN; ABCA7; CLEC18A; PRDM7; CLEC14A; BMAL1; EBAG9; UAP1L1; GFI1; CDKN1C; CTRB2; OTOG; EXD2; WASHC2C; B3GNT7; IPO7,0.4118
24,3,2,1,DPP4; ARL9; TSKU,0.6667
25,17,11,6,UBE2E2; SYDE2; NAA60; TAF11L9; SOX7; VN1R2; NDUFA2; ERN1; ZBTB39; MAPK8IP1; CRTC1; TLE4; ZFP64; CTBP1; NPEPL1; SNX11; RPAP1,0.6471
26,22,11,11,MRPS16; U2AF1L4; TSHZ2; RAMP3; NADK2; JPH2; SLCO5A1; MS4A6A; PTCH1; BRD3OS; EPHA7; SARDH; BRD3; IFFO2; MGAM2; PEAK3; SLC67A1; PRR12; PCDH11Y; TBC1D3,0.5
27,18,6,12,PNOC; ATP4A; ADGRE5; PDE8B; AASDHPPT; ANKRD16; GPATCH2; OLFML1; CWH43; C1ORF174; SGCZ; TLE1; STARD7; SUN5; WDR20; C7ORF25; MRPS18C; TAF9B,0.3333
28,24,10,14,TTI2; CDCA5; MSRA; IL1B; C11ORF52; MEIS2; LYRM7; CPNE4; ARID5B; CCDC13; PPFIA4; CFAP47; TUBB4A; ARHGAP9; TNIP1; GPD2; COL27A1; DIPK2B; LCE2D; MAP2K5,0.4167
29,19,11,8,PPP2R2A; SLC22A17; ROPN1; NDUFA12; ZEB2; GSDMC; SBF2; MTNR1B; LEPR; ZNF827; PRKN; GMIP; SLX4; ALPK2; XRN1; CFAP44; SCYGR5; LPP; TMEM106B,0.5789
30,16,8,8,SMIM39; ENPP3; IRX6; TCF4; MOB1B; WDR7; YTHDC2; GSG1L; VPS35L; LIPM; SUPT3H; SIDT1; MYL7; ANKRD24; SLC30A4; APOL2,0.5
31,8,4,4,TCTN3; RAMP2; TMEM87B; NEUROG3; RSPO3; SLC28A2; CLEC18B; MATCAP2,0.5
32,10,3,7,ADARB1; TRIOBP; CHRNA1; IL2RA; DEPDC1B; ETF1; ZNF257; MTSS2; CCNF; DPYSL5,0.3
33,40,23,17,TPRA1; IL12B; EYA1; ARMC8; PBX4; GRIN2D; DNASE1; KIF26A; GRAMD2B; TCP11X1; SIPA1; EIF2AK1; ZSWIM9; ZNF814; CTSH; TMEM17; KBTBD3; NMI; ATP2A3; HNF1A,0.575
