sample_index,gene_symbol,label,split_origin,protein_embedding_cluster
0,PSENEN,0,train,54
1,PI16,1,train,60
2,GPA33,0,train,119
3,CFAP300,0,train,12
4,KCNK16,1,train,3
5,TM6SF2,1,train,42
6,OSGIN2,0,train,18
7,MOSMO,0,train,116
8,IBA57,0,train,84
9,STEAP1,1,train,109
10,UGT3A1,0,train,89
11,GTF2IRD2,1,train,74
12,SNX2,0,train,5
13,BNC1,0,train,38
14,KCNK17,1,train,46
15,VPS33A,0,train,106
16,SMIM39,0,train,30
17,UBE3B,0,train,91
18,PNOC,1,train,27
19,PROX1,1,train,46
20,DNAH11,0,train,106
21,NEXMIF,0,train,73
22,SORCS2,1,train,90
23,HAGHL,0,train,94
24,ENPP3,1,train,30
25,KCNG4,0,train,18
26,GALNT10,1,train,108
27,ALDH2,1,train,96
28,CACNA1D,1,train,93
29,OR2T34,0,train,38
30,LIPC,1,train,85
31,JADE1,0,train,3
32,UBQLN4,0,train,6
33,AKAP17A,0,train,48
34,ATG16L1,1,train,50
35,GAL3ST4,0,train,61
36,SLC22A2,1,train,81
37,EIF1,0,train,48
38,EXOC6,1,train,0
39,LEP,1,train,114
40,THUMPD2,0,train,44
41,RTN2,0,train,13
42,CAMK1D,1,train,60
43,USP48,1,train,73
44,ATP4A,1,train,27
45,CFAP119,0,train,50
46,C6ORF132,0,train,100
47,EMSY,1,train,5
48,YEATS2,0,train,11
49,DCSTAMP,1,train,17
50,ADARB1,1,train,32
51,SLC26A9,1,train,87
52,PPP2R2A,1,train,29
53,PLEKHM2,1,train,67
54,NDUFA3,1,train,83
55,PROSER2,0,train,18
56,FOXRED2,0,train,114
57,IL10,1,train,91
58,WIPI1,1,train,76
59,COMMD8,0,train,14
60,FGFR3,1,train,102
61,ZFP92,0,train,114
62,ADAMTS18,1,train,12
63,PCSK5,0,train,12
64,MICALL1,0,train,81
65,CNTN2,1,train,42
66,INF2,0,train,86
67,DPP4,1,train,24
68,SP9,1,train,51
69,PLA2G3,0,train,10
70,CATSPERE,0,train,19
71,ITIH4,1,train,3
72,KIF21B,0,train,67
73,TMEM168,0,train,67
74,NDUFA1,1,train,13
75,CHPF2,0,train,2
76,PTPRD,1,train,78
77,EXOSC10,0,train,16
78,FXR1,1,train,118
79,CCND2,1,train,104
80,POLR3A,0,train,90
81,MAFF,1,train,109
82,SPRY4,1,train,74
83,HSPA4,1,train,20
84,SHLD2,0,train,76
85,POLR2B,0,train,117
86,KICS2,0,train,43
87,DIP2B,0,train,52
88,RPP40,0,train,45
89,HHIP,1,train,47
90,ARAP1,1,train,46
91,TTI2,0,train,28
92,MED9,0,train,8
93,TRAK2,0,train,112
94,BAK1,1,train,115
95,KIAA1549,0,train,85
96,HMHB1,1,train,114
97,BAHCC1,0,train,114
98,ZNF169,1,train,86
99,ABCB10,1,train,1
100,RASGRP2,0,train,110
101,PRR20C,0,train,8
102,PTGFRN,1,train,9
103,CTLA4,1,train,85
104,BICRA,0,train,54
105,CDC123,1,train,12
106,SYNDIG1,1,train,91
107,TMEM145,0,train,74
108,DESI1,0,train,119
109,DNAI2,0,train,12
110,TMEM144,1,train,47
111,PRKD1,1,train,47
112,ZC3H4,1,train,91
113,LDLRAD1,0,train,23
114,WFS1,1,train,5
115,ADGRE5,0,train,27
116,ATF7IP2,0,train,98
117,RALGAPA2,0,train,78
118,UPK3BL1,0,train,104
119,C11ORF24,0,train,18
120,NUP153,0,train,22
121,SORT1,1,train,58
