split_id,cv_type,n_train,n_test,validation_mcc,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,feature_set
1,random_cv,1444,362,0.31741,0.72754,0.70898,0.66022,0.71642,0.53039,0.79006,0.60952,0.33182,143,38,85,96,0.60258,Protein_only
2,random_cv,1445,361,0.37452,0.72859,0.71678,0.65651,0.61966,0.80556,0.50829,0.70048,0.32861,92,89,35,145,0.44506,Protein_only
3,random_cv,1445,361,0.30335,0.70684,0.67965,0.65374,0.69784,0.53889,0.76796,0.60815,0.31529,139,42,83,97,0.55575,Protein_only
4,random_cv,1445,361,0.37396,0.71581,0.70956,0.65651,0.6278,0.77348,0.53889,0.69307,0.3214,97,83,41,140,0.42324,Protein_only
5,random_cv,1445,361,0.42146,0.68696,0.67801,0.62604,0.6036,0.74033,0.51111,0.66501,0.25836,92,88,47,134,0.41879,Protein_only
1,cluster_group_cv,1444,362,0.36283,0.71604,0.72276,0.64088,0.61132,0.85714,0.40462,0.71366,0.29523,70,103,27,162,0.37262,Protein_only
2,cluster_group_cv,1445,361,0.40711,0.67149,0.6528,0.61496,0.58824,0.68571,0.54839,0.63325,0.236,102,84,55,120,0.47107,Protein_only
3,cluster_group_cv,1445,361,0.33808,0.74155,0.69605,0.65374,0.60081,0.85143,0.46774,0.70449,0.34398,87,99,26,149,0.35612,Protein_only
4,cluster_group_cv,1445,361,0.43265,0.70094,0.66819,0.61773,0.5498,0.84663,0.42929,0.66667,0.29831,85,113,25,138,0.41286,Protein_only
5,cluster_group_cv,1445,361,0.36468,0.63842,0.64203,0.63158,0.64286,0.76119,0.46875,0.69704,0.24101,75,85,48,153,0.4289,Protein_only
1,random_cv,1444,362,0.37537,0.75312,0.74296,0.68785,0.77869,0.52486,0.85083,0.62706,0.3974,154,27,86,95,0.61321,Early_fusion_Protein_DNABERT2
2,random_cv,1445,361,0.391,0.70508,0.67817,0.6482,0.63874,0.67778,0.61878,0.65768,0.29706,112,69,58,122,0.47626,Early_fusion_Protein_DNABERT2
3,random_cv,1445,361,0.34465,0.75074,0.73539,0.68421,0.66337,0.74444,0.62431,0.70157,0.3714,113,68,46,134,0.46221,Early_fusion_Protein_DNABERT2
4,random_cv,1445,361,0.36426,0.72851,0.71618,0.62881,0.76404,0.37569,0.88333,0.5037,0.30049,159,21,113,68,0.65274,Early_fusion_Protein_DNABERT2
5,random_cv,1445,361,0.43031,0.70651,0.71121,0.6205,0.6746,0.46961,0.77222,0.55375,0.25367,139,41,96,85,0.59437,Early_fusion_Protein_DNABERT2
1,cluster_group_cv,1444,362,0.39177,0.74086,0.76478,0.67127,0.67157,0.72487,0.61272,0.6972,0.34001,106,67,52,137,0.49303,Early_fusion_Protein_DNABERT2
2,cluster_group_cv,1445,361,0.41123,0.6933,0.69187,0.62604,0.67544,0.44,0.80108,0.53287,0.2592,149,37,98,77,0.61271,Early_fusion_Protein_DNABERT2
3,cluster_group_cv,1445,361,0.35237,0.7467,0.69648,0.67036,0.74138,0.49143,0.83871,0.59107,0.35331,156,30,89,86,0.56916,Early_fusion_Protein_DNABERT2
4,cluster_group_cv,1445,361,0.44981,0.71761,0.6622,0.59834,0.53689,0.80368,0.42929,0.64373,0.24771,85,113,32,131,0.39258,Early_fusion_Protein_DNABERT2
5,cluster_group_cv,1445,361,0.4344,0.67491,0.69582,0.66482,0.66129,0.81592,0.475,0.73051,0.31165,76,84,37,164,0.40665,Early_fusion_Protein_DNABERT2
1,random_cv,1444,362,0.32242,0.74258,0.72489,0.69613,0.69613,0.69613,0.69613,0.69613,0.39227,126,55,55,126,0.51368,Early_fusion_Protein_Handcrafted
2,random_cv,1445,361,0.39711,0.72428,0.72113,0.65097,0.66875,0.59444,0.70718,0.62941,0.30359,128,53,73,107,0.56226,Early_fusion_Protein_Handcrafted
3,random_cv,1445,361,0.34258,0.72864,0.70983,0.65097,0.64674,0.66111,0.64088,0.65385,0.30205,116,65,61,119,0.49192,Early_fusion_Protein_Handcrafted
4,random_cv,1445,361,0.37308,0.72726,0.72487,0.65097,0.65714,0.63536,0.66667,0.64607,0.30216,120,60,66,115,0.48061,Early_fusion_Protein_Handcrafted
5,random_cv,1445,361,0.41952,0.70611,0.70797,0.66759,0.65969,0.69613,0.63889,0.67742,0.33559,115,65,55,126,0.47879,Early_fusion_Protein_Handcrafted
1,cluster_group_cv,1444,362,0.36752,0.74429,0.76929,0.66298,0.63454,0.83598,0.47399,0.72146,0.33414,82,91,31,158,0.41005,Early_fusion_Protein_Handcrafted
2,cluster_group_cv,1445,361,0.43616,0.68074,0.66803,0.62881,0.62424,0.58857,0.66667,0.60588,0.25607,124,62,72,103,0.53002,Early_fusion_Protein_Handcrafted
3,cluster_group_cv,1445,361,0.33209,0.73771,0.69591,0.65651,0.74757,0.44,0.86022,0.55396,0.33226,160,26,98,77,0.60302,Early_fusion_Protein_Handcrafted
4,cluster_group_cv,1445,361,0.40404,0.70261,0.6557,0.61496,0.5531,0.76687,0.4899,0.64267,0.26409,97,101,38,125,0.42074,Early_fusion_Protein_Handcrafted
5,cluster_group_cv,1445,361,0.39072,0.66377,0.68663,0.60388,0.6686,0.57214,0.64375,0.61662,0.21473,103,57,86,115,0.53575,Early_fusion_Protein_Handcrafted
