sample_index,gene_symbol,label,gene_symbol_length,gene_symbol_length_bin
2,GPA33,0,5,len_5
7,MOSMO,0,5,len_5
8,IBA57,0,5,len_5
19,PROX1,0,5,len_5
24,ENPP3,0,5,len_5
27,ALDH2,0,5,len_5
38,EXOC6,0,5,len_5
44,ATP4A,0,5,len_5
61,ZFP92,0,5,len_5
65,CNTN2,0,5,len_5
75,CHPF2,0,5,len_5
79,CCND2,0,5,len_5
83,HSPA4,0,5,len_5
86,KICS2,0,5,len_5
87,DIP2B,0,5,len_5
93,TRAK2,0,5,len_5
96,HMHB1,0,5,len_5
103,CTLA4,0,5,len_5
109,DNAI2,0,5,len_5
112,ZC3H4,0,5,len_5
121,SORT1,0,5,len_5
123,TPRA1,0,5,len_5
124,XRCC2,0,5,len_5
132,DDX28,0,5,len_5
136,ADH1B,0,5,len_5
139,IL12B,0,5,len_5
142,PCGF3,0,5,len_5
146,ACOT6,0,5,len_5
147,UHRF1,0,5,len_5
152,AMY2A,0,5,len_5
153,LAMA1,0,5,len_5
158,STPG2,0,5,len_5
160,WDR44,0,5,len_5
165,DCLK2,0,5,len_5
168,ZFHX3,0,5,len_5
175,CDCA5,0,5,len_5
180,KIF3C,0,5,len_5
181,SRP68,0,5,len_5
185,ASAH1,0,5,len_5
189,BACE2,0,5,len_5
190,OR6M1,0,5,len_5
191,LRRK1,0,5,len_5
226,GLRA1,0,5,len_5
229,FEM1C,0,5,len_5
234,PDE8B,0,5,len_5
242,QSER1,0,5,len_5
243,PLCL2,0,5,len_5
248,EVI2A,0,5,len_5
249,ROPN1,0,5,len_5
258,ABTB3,0,5,len_5
260,AKAP6,0,5,len_5
262,GSTT4,0,5,len_5
267,PHKA1,0,5,len_5
269,RUNX3,0,5,len_5
274,HDHD5,0,5,len_5
276,CCDC8,0,5,len_5
277,LRMDA,0,5,len_5
279,TCTN3,0,5,len_5
280,UBAP2,0,5,len_5
290,LTBP3,0,5,len_5
298,RAMP2,0,5,len_5
