split_id,model_name,n_train,n_val,n_test,validation_mcc,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,matched_repeat,matching_strategy,n_matched_total
1,Protein_only,1126,282,352,0.36475,0.71752,0.70545,0.64489,0.59696,0.89205,0.39773,0.71526,0.33335,70,106,19,157,0.34562,1,gene_symbol_length_bin_matched,1760
2,Protein_only,1126,282,352,0.31132,0.72253,0.70457,0.64489,0.69173,0.52273,0.76705,0.59547,0.29883,135,41,84,92,0.6015,1,gene_symbol_length_bin_matched,1760
3,Protein_only,1126,282,352,0.35093,0.72175,0.69223,0.625,0.58029,0.90341,0.34659,0.70667,0.30097,61,115,17,159,0.33115,1,gene_symbol_length_bin_matched,1760
4,Protein_only,1126,282,352,0.34424,0.70547,0.69495,0.64205,0.60776,0.80114,0.48295,0.69118,0.29966,85,91,35,141,0.40683,1,gene_symbol_length_bin_matched,1760
5,Protein_only,1126,282,352,0.37818,0.67972,0.6852,0.62784,0.59657,0.78977,0.46591,0.67971,0.27025,82,94,37,139,0.38611,1,gene_symbol_length_bin_matched,1760
6,Protein_only,1126,282,352,0.34347,0.7085,0.67726,0.65625,0.64398,0.69886,0.61364,0.6703,0.31364,108,68,53,123,0.4658,1,gene_symbol_length_bin_matched,1760
7,Protein_only,1126,282,352,0.32122,0.70283,0.68836,0.64489,0.67586,0.55682,0.73295,0.61059,0.29438,129,47,78,98,0.54667,1,gene_symbol_length_bin_matched,1760
8,Protein_only,1126,282,352,0.42503,0.6834,0.66487,0.6108,0.66667,0.44318,0.77841,0.53242,0.2352,137,39,98,78,0.60411,1,gene_symbol_length_bin_matched,1760
9,Protein_only,1126,282,352,0.28438,0.76803,0.77982,0.69034,0.77236,0.53977,0.84091,0.63545,0.39921,148,28,81,95,0.58706,1,gene_symbol_length_bin_matched,1760
10,Protein_only,1126,282,352,0.29857,0.70377,0.68836,0.63068,0.6036,0.76136,0.5,0.67337,0.27078,88,88,42,134,0.41541,1,gene_symbol_length_bin_matched,1760
11,Protein_only,1126,282,352,0.37899,0.74157,0.73626,0.66193,0.66474,0.65341,0.67045,0.65903,0.32391,118,58,61,115,0.5108,1,gene_symbol_length_bin_matched,1760
12,Protein_only,1126,282,352,0.43238,0.72795,0.71466,0.6392,0.60699,0.78977,0.48864,0.68642,0.29196,86,90,37,139,0.44643,1,gene_symbol_length_bin_matched,1760
13,Protein_only,1126,282,352,0.34247,0.71194,0.68356,0.59091,0.55298,0.94886,0.23295,0.69874,0.26041,41,135,9,167,0.2843,1,gene_symbol_length_bin_matched,1760
14,Protein_only,1126,282,352,0.40927,0.67914,0.64519,0.61932,0.63636,0.55682,0.68182,0.59394,0.24052,120,56,78,98,0.54427,1,gene_symbol_length_bin_matched,1760
15,Protein_only,1126,282,352,0.42992,0.70109,0.68803,0.63068,0.6036,0.76136,0.5,0.67337,0.27078,88,88,42,134,0.40578,1,gene_symbol_length_bin_matched,1760
1,Early_fusion_Protein_Handcrafted,1126,282,352,0.35817,0.74141,0.73565,0.65341,0.6015,0.90909,0.39773,0.72398,0.35703,70,106,16,160,0.3461,1,gene_symbol_length_bin_matched,1760
2,Early_fusion_Protein_Handcrafted,1126,282,352,0.32257,0.72182,0.71494,0.63636,0.78571,0.375,0.89773,0.50769,0.31991,158,18,110,66,0.70691,1,gene_symbol_length_bin_matched,1760
3,Early_fusion_Protein_Handcrafted,1126,282,352,0.3654,0.73793,0.72523,0.67614,0.66146,0.72159,0.63068,0.69022,0.35374,111,65,49,127,0.4499,1,gene_symbol_length_bin_matched,1760
4,Early_fusion_Protein_Handcrafted,1126,282,352,0.34775,0.72927,0.71003,0.60795,0.70652,0.36932,0.84659,0.48507,0.2457,149,27,111,65,0.66972,1,gene_symbol_length_bin_matched,1760
5,Early_fusion_Protein_Handcrafted,1126,282,352,0.3635,0.70312,0.70569,0.65057,0.68027,0.56818,0.73295,0.6192,0.30531,129,47,76,100,0.56512,1,gene_symbol_length_bin_matched,1760
6,Early_fusion_Protein_Handcrafted,1126,282,352,0.33099,0.73111,0.72837,0.67614,0.64486,0.78409,0.56818,0.70769,0.36078,100,76,38,138,0.42994,1,gene_symbol_length_bin_matched,1760
7,Early_fusion_Protein_Handcrafted,1126,282,352,0.35683,0.72298,0.70821,0.6392,0.72072,0.45455,0.82386,0.55749,0.29959,145,31,96,80,0.59443,1,gene_symbol_length_bin_matched,1760
8,Early_fusion_Protein_Handcrafted,1126,282,352,0.41979,0.70632,0.70191,0.62784,0.6009,0.76136,0.49432,0.67168,0.26532,87,89,42,134,0.42944,1,gene_symbol_length_bin_matched,1760
9,Early_fusion_Protein_Handcrafted,1126,282,352,0.28044,0.77692,0.77587,0.6875,0.64865,0.81818,0.55682,0.72362,0.3885,98,78,32,144,0.42089,1,gene_symbol_length_bin_matched,1760
10,Early_fusion_Protein_Handcrafted,1126,282,352,0.34924,0.70593,0.70029,0.64773,0.63265,0.70455,0.59091,0.66667,0.29738,104,72,52,124,0.46388,1,gene_symbol_length_bin_matched,1760
11,Early_fusion_Protein_Handcrafted,1126,282,352,0.36905,0.72973,0.73186,0.64773,0.61818,0.77273,0.52273,0.68687,0.30514,92,84,40,136,0.40515,1,gene_symbol_length_bin_matched,1760
12,Early_fusion_Protein_Handcrafted,1126,282,352,0.40302,0.7604,0.75436,0.63636,0.59231,0.875,0.39773,0.70642,0.31036,70,106,22,154,0.36545,1,gene_symbol_length_bin_matched,1760
13,Early_fusion_Protein_Handcrafted,1126,282,352,0.36119,0.72534,0.71063,0.63068,0.72115,0.42614,0.83523,0.53571,0.28643,147,29,101,75,0.64065,1,gene_symbol_length_bin_matched,1760
14,Early_fusion_Protein_Handcrafted,1126,282,352,0.41186,0.70955,0.6606,0.68466,0.6776,0.70455,0.66477,0.69081,0.36961,117,59,52,124,0.49198,1,gene_symbol_length_bin_matched,1760
15,Early_fusion_Protein_Handcrafted,1126,282,352,0.41877,0.70419,0.69898,0.61364,0.57634,0.85795,0.36932,0.6895,0.26049,65,111,25,151,0.33105,1,gene_symbol_length_bin_matched,1760
1,Early_fusion_Protein_DNABERT2,1126,282,352,0.39921,0.73476,0.72719,0.66477,0.6859,0.60795,0.72159,0.64458,0.33169,127,49,69,107,0.5627,1,gene_symbol_length_bin_matched,1760
2,Early_fusion_Protein_DNABERT2,1126,282,352,0.34766,0.73718,0.71114,0.66761,0.69281,0.60227,0.73295,0.64438,0.33813,129,47,70,106,0.53182,1,gene_symbol_length_bin_matched,1760
3,Early_fusion_Protein_DNABERT2,1126,282,352,0.36405,0.76343,0.74546,0.70739,0.6973,0.73295,0.68182,0.71468,0.41532,120,56,47,129,0.45752,1,gene_symbol_length_bin_matched,1760
4,Early_fusion_Protein_DNABERT2,1126,282,352,0.34476,0.72371,0.70877,0.63636,0.70339,0.47159,0.80114,0.56463,0.28886,141,35,93,83,0.62183,1,gene_symbol_length_bin_matched,1760
5,Early_fusion_Protein_DNABERT2,1126,282,352,0.41186,0.70661,0.70993,0.65057,0.64021,0.6875,0.61364,0.66301,0.30196,108,68,55,121,0.4737,1,gene_symbol_length_bin_matched,1760
6,Early_fusion_Protein_DNABERT2,1126,282,352,0.36321,0.72966,0.72001,0.64205,0.73148,0.44886,0.83523,0.55634,0.30801,147,29,97,79,0.64023,1,gene_symbol_length_bin_matched,1760
7,Early_fusion_Protein_DNABERT2,1126,282,352,0.38145,0.73015,0.71996,0.65625,0.69504,0.55682,0.75568,0.6183,0.31887,133,43,78,98,0.54691,1,gene_symbol_length_bin_matched,1760
8,Early_fusion_Protein_DNABERT2,1126,282,352,0.42503,0.71531,0.71423,0.63352,0.59438,0.84091,0.42614,0.69647,0.29348,75,101,28,148,0.37804,1,gene_symbol_length_bin_matched,1760
9,Early_fusion_Protein_DNABERT2,1126,282,352,0.29399,0.77925,0.75423,0.71023,0.65948,0.86932,0.55114,0.75,0.4435,97,79,23,153,0.40336,1,gene_symbol_length_bin_matched,1760
10,Early_fusion_Protein_DNABERT2,1126,282,352,0.40759,0.72353,0.71654,0.67045,0.64563,0.75568,0.58523,0.69634,0.34597,103,73,43,133,0.45003,1,gene_symbol_length_bin_matched,1760
11,Early_fusion_Protein_DNABERT2,1126,282,352,0.39689,0.71872,0.7283,0.63352,0.60352,0.77841,0.48864,0.6799,0.27902,86,90,39,137,0.3801,1,gene_symbol_length_bin_matched,1760
12,Early_fusion_Protein_DNABERT2,1126,282,352,0.38914,0.75617,0.74095,0.69886,0.65487,0.84091,0.55682,0.73632,0.41482,98,78,28,148,0.40525,1,gene_symbol_length_bin_matched,1760
13,Early_fusion_Protein_DNABERT2,1126,282,352,0.38693,0.7367,0.71151,0.6392,0.59533,0.86932,0.40909,0.7067,0.31359,72,104,23,153,0.3303,1,gene_symbol_length_bin_matched,1760
14,Early_fusion_Protein_DNABERT2,1126,282,352,0.34001,0.73625,0.69605,0.62784,0.57895,0.9375,0.31818,0.71584,0.32565,56,120,11,165,0.30253,1,gene_symbol_length_bin_matched,1760
15,Early_fusion_Protein_DNABERT2,1126,282,352,0.43268,0.7189,0.71436,0.60511,0.56679,0.89205,0.31818,0.69316,0.2567,56,120,19,157,0.30198,1,gene_symbol_length_bin_matched,1760
1,Protein_only,1126,282,352,0.30608,0.75504,0.72999,0.69034,0.69822,0.67045,0.71023,0.68406,0.38098,125,51,58,118,0.53419,2,gene_symbol_length_bin_matched,1760
2,Protein_only,1126,282,352,0.32992,0.71717,0.67941,0.66193,0.64467,0.72159,0.60227,0.68097,0.32619,106,70,49,127,0.45774,2,gene_symbol_length_bin_matched,1760
3,Protein_only,1126,282,352,0.36749,0.69401,0.66793,0.63636,0.71053,0.46023,0.8125,0.55862,0.29141,143,33,95,81,0.61225,2,gene_symbol_length_bin_matched,1760
4,Protein_only,1126,282,352,0.43332,0.6979,0.69157,0.64205,0.62376,0.71591,0.56818,0.66667,0.28724,100,76,50,126,0.46961,2,gene_symbol_length_bin_matched,1760
5,Protein_only,1126,282,352,0.36305,0.76175,0.78003,0.69034,0.64378,0.85227,0.52841,0.7335,0.40237,93,83,26,150,0.40488,2,gene_symbol_length_bin_matched,1760
6,Protein_only,1126,282,352,0.36119,0.68905,0.63726,0.5625,0.64103,0.28409,0.84091,0.3937,0.15049,148,28,126,50,0.7113,2,gene_symbol_length_bin_matched,1760
