model_name,matching_strategy,metric,mean,sd,ci95_low,ci95_high,n_folds
Early_fusion_Protein_DNABERT2,gene_symbol_length_bin_matched,pr_auc,0.72211,0.0254,0.71631,0.72765,75
Early_fusion_Protein_DNABERT2,gene_symbol_length_bin_matched,roc_auc,0.7332,0.02172,0.72829,0.73795,75
Early_fusion_Protein_DNABERT2,gene_symbol_length_bin_matched,mcc,0.33136,0.04675,0.32105,0.34187,75
Early_fusion_Protein_DNABERT2,gene_symbol_length_bin_matched,f1,0.65875,0.06172,0.64465,0.67242,75
Early_fusion_Protein_DNABERT2,gene_symbol_length_bin_matched,accuracy,0.6583,0.02609,0.65246,0.66435,75
Early_fusion_Protein_DNABERT2,gene_symbol_length_bin_matched,precision,0.66533,0.05592,0.65293,0.67855,75
Early_fusion_Protein_DNABERT2,gene_symbol_length_bin_matched,recall,0.68227,0.14899,0.64856,0.71561,75
Early_fusion_Protein_DNABERT2,gene_symbol_length_bin_matched,specificity,0.63432,0.15242,0.59916,0.66864,75
Early_fusion_Protein_Handcrafted,gene_symbol_length_bin_matched,pr_auc,0.71996,0.03033,0.71308,0.72686,75
Early_fusion_Protein_Handcrafted,gene_symbol_length_bin_matched,roc_auc,0.72844,0.02464,0.72288,0.73386,75
Early_fusion_Protein_Handcrafted,gene_symbol_length_bin_matched,mcc,0.32201,0.04742,0.31142,0.33266,75
Early_fusion_Protein_Handcrafted,gene_symbol_length_bin_matched,f1,0.65462,0.06488,0.6393,0.66895,75
Early_fusion_Protein_Handcrafted,gene_symbol_length_bin_matched,accuracy,0.65424,0.02699,0.64814,0.66053,75
Early_fusion_Protein_Handcrafted,gene_symbol_length_bin_matched,precision,0.65934,0.05,0.64799,0.67103,75
Early_fusion_Protein_Handcrafted,gene_symbol_length_bin_matched,recall,0.67826,0.14847,0.64303,0.71083,75
Early_fusion_Protein_Handcrafted,gene_symbol_length_bin_matched,specificity,0.63023,0.14695,0.59705,0.66417,75
Protein_only,gene_symbol_length_bin_matched,pr_auc,0.70044,0.03249,0.6933,0.70768,75
Protein_only,gene_symbol_length_bin_matched,roc_auc,0.71543,0.02456,0.70987,0.72092,75
Protein_only,gene_symbol_length_bin_matched,mcc,0.29797,0.04582,0.28793,0.30784,75
Protein_only,gene_symbol_length_bin_matched,f1,0.64474,0.07518,0.62765,0.66095,75
Protein_only,gene_symbol_length_bin_matched,accuracy,0.64019,0.02461,0.63481,0.64561,75
Protein_only,gene_symbol_length_bin_matched,precision,0.64391,0.05718,0.6313,0.65713,75
Protein_only,gene_symbol_length_bin_matched,recall,0.68348,0.16752,0.64636,0.72038,75
Protein_only,gene_symbol_length_bin_matched,specificity,0.59689,0.16231,0.56068,0.63144,75
