split_id,model_name,n_train,n_val,n_test,validation_mcc,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,feature_columns
1,Nuisance_all_including_gene_symbol_length,1155,289,362,0.16108,0.64833,0.66055,0.51934,0.5102,0.96685,0.07182,0.66794,0.08671,13,168,6,175,0.2511,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
2,Nuisance_all_including_gene_symbol_length,1156,289,361,0.22183,0.60998,0.60056,0.54017,0.63462,0.18333,0.89503,0.28448,0.11158,162,19,147,33,0.63512,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
3,Nuisance_all_including_gene_symbol_length,1156,289,361,0.19612,0.63066,0.63036,0.5928,0.58639,0.62222,0.56354,0.60377,0.18607,102,79,68,112,0.49795,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
4,Nuisance_all_including_gene_symbol_length,1156,289,361,0.27002,0.68505,0.64547,0.60942,0.57519,0.8453,0.37222,0.68456,0.24699,67,113,28,153,0.43167,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
5,Nuisance_all_including_gene_symbol_length,1156,289,361,0.30922,0.595,0.60556,0.52632,0.52551,0.56906,0.48333,0.54642,0.05259,87,93,78,103,0.50956,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
6,Nuisance_all_including_gene_symbol_length,1155,289,362,0.30922,0.61946,0.63109,0.59669,0.59259,0.61878,0.57459,0.60541,0.19356,104,77,69,112,0.51713,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
7,Nuisance_all_including_gene_symbol_length,1156,289,361,0.22654,0.66955,0.65139,0.60111,0.63636,0.46667,0.73481,0.53846,0.20916,133,48,96,84,0.54364,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
8,Nuisance_all_including_gene_symbol_length,1156,289,361,0.2118,0.65009,0.62941,0.61773,0.62353,0.58889,0.64641,0.60571,0.2357,117,64,74,106,0.53956,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
9,Nuisance_all_including_gene_symbol_length,1156,289,361,0.34945,0.62431,0.62705,0.58172,0.69737,0.29282,0.87222,0.41245,0.20241,157,23,128,53,0.59515,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
10,Nuisance_all_including_gene_symbol_length,1156,289,361,0.21959,0.61964,0.61468,0.5651,0.54959,0.73481,0.39444,0.62884,0.13748,71,109,48,133,0.43666,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
