model_name,metric,mean,sd,ci95_low,ci95_high,n_folds
Gene_symbol_length_only,pr_auc,0.49941,0.01633,0.49344,0.50573,25
Gene_symbol_length_only,roc_auc,0.49261,0.02449,0.48365,0.50226,25
Gene_symbol_length_only,mcc,-0.01341,0.04787,-0.03134,0.00496,25
Gene_symbol_length_only,f1,0.40841,0.2917,0.2897,0.52353,25
Gene_symbol_length_only,accuracy,0.49657,0.00992,0.4927,0.50034,25
Gene_symbol_length_only,precision,0.45914,0.12459,0.4044,0.50029,25
Gene_symbol_length_only,recall,0.55827,0.45177,0.37724,0.73881,25
Gene_symbol_length_only,specificity,0.43364,0.4487,0.25355,0.61638,25
Nuisance_all_including_gene_symbol_length,pr_auc,0.62675,0.02095,0.6183,0.63424,25
Nuisance_all_including_gene_symbol_length,roc_auc,0.63318,0.02407,0.62414,0.64239,25
Nuisance_all_including_gene_symbol_length,mcc,0.16428,0.05124,0.14405,0.18336,25
Nuisance_all_including_gene_symbol_length,f1,0.54146,0.11987,0.49496,0.58475,25
Nuisance_all_including_gene_symbol_length,accuracy,0.5711,0.02755,0.55989,0.58143,25
Nuisance_all_including_gene_symbol_length,precision,0.59598,0.05856,0.57454,0.61897,25
Nuisance_all_including_gene_symbol_length,recall,0.56576,0.25158,0.46994,0.65944,25
Nuisance_all_including_gene_symbol_length,specificity,0.57659,0.26154,0.47663,0.67364,25
Nuisance_genomic_summary_only,pr_auc,0.59839,0.02682,0.5873,0.60827,25
Nuisance_genomic_summary_only,roc_auc,0.5995,0.02925,0.58757,0.61069,25
Nuisance_genomic_summary_only,mcc,0.11119,0.05148,0.09203,0.13098,25
Nuisance_genomic_summary_only,f1,0.40397,0.21333,0.31774,0.48612,25
Nuisance_genomic_summary_only,accuracy,0.54164,0.02491,0.53212,0.55122,25
Nuisance_genomic_summary_only,precision,0.6066,0.07625,0.57734,0.6351,25
Nuisance_genomic_summary_only,recall,0.41224,0.32278,0.28894,0.54162,25
Nuisance_genomic_summary_only,specificity,0.67136,0.3136,0.5436,0.79083,25
Nuisance_protein_summary_only,pr_auc,0.57379,0.02904,0.5633,0.58533,25
Nuisance_protein_summary_only,roc_auc,0.59928,0.02588,0.58953,0.60919,25
Nuisance_protein_summary_only,mcc,0.13782,0.05907,0.11552,0.16006,25
Nuisance_protein_summary_only,f1,0.56832,0.14948,0.50366,0.6185,25
Nuisance_protein_summary_only,accuracy,0.56003,0.03362,0.54752,0.57283,25
Nuisance_protein_summary_only,precision,0.56268,0.04876,0.54517,0.58252,25
Nuisance_protein_summary_only,recall,0.64852,0.24411,0.55142,0.73778,25
Nuisance_protein_summary_only,specificity,0.47151,0.24888,0.37528,0.5677,25
Nuisance_pure_feature_summaries_no_gene_symbol,pr_auc,0.62603,0.02137,0.61757,0.63387,25
Nuisance_pure_feature_summaries_no_gene_symbol,roc_auc,0.63467,0.02496,0.62538,0.64425,25
Nuisance_pure_feature_summaries_no_gene_symbol,mcc,0.17033,0.04131,0.1537,0.18595,25
Nuisance_pure_feature_summaries_no_gene_symbol,f1,0.54585,0.11053,0.50428,0.58536,25
Nuisance_pure_feature_summaries_no_gene_symbol,accuracy,0.57564,0.02401,0.56628,0.58474,25
Nuisance_pure_feature_summaries_no_gene_symbol,precision,0.59936,0.05081,0.58094,0.61896,25
Nuisance_pure_feature_summaries_no_gene_symbol,recall,0.56097,0.23071,0.47462,0.64463,25
Nuisance_pure_feature_summaries_no_gene_symbol,specificity,0.59057,0.23808,0.50203,0.67861,25
