comparison,model_a,model_b,top_k,metric,model_a_value,model_b_value,delta
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,10,precision_at_k,0.7,0.9,-0.2
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,10,recall_at_k,0.00775,0.00997,-0.00222
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,10,enrichment_factor_at_k,1.4,1.8,-0.4
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,10,ndcg_at_k,0.7218,0.9216,-0.1998
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,10,average_precision_at_k,0.75119,0.94678,-0.19559
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,25,precision_at_k,0.8,0.92,-0.12
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,25,recall_at_k,0.02215,0.02547,-0.00332
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,25,enrichment_factor_at_k,1.6,1.84,-0.24
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,25,ndcg_at_k,0.78381,0.92611,-0.1423
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,25,average_precision_at_k,0.75673,0.9244,-0.16767
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,50,precision_at_k,0.88,0.78,0.1
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,50,recall_at_k,0.04873,0.04319,0.00554
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,50,enrichment_factor_at_k,1.76,1.56,0.2
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,50,ndcg_at_k,0.84981,0.81838,0.03143
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,50,average_precision_at_k,0.81281,0.87777,-0.06496
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,100,precision_at_k,0.83,0.84,-0.01
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,100,recall_at_k,0.09192,0.09302,-0.0011
